t,type,level,bytes
-29.912,flush_begin,0,0
-29.896,flush_end,0,6638552
-29.886,flush_begin,0,0
-29.869,flush_end,0,6638554
-29.860,flush_begin,0,0
-29.844,flush_end,0,6638553
-29.835,flush_begin,0,0
-29.818,flush_end,0,6638553
-29.808,flush_begin,0,0
-29.793,flush_end,0,6638553
-29.784,flush_begin,0,0
-29.767,flush_end,0,6638554
-29.757,flush_begin,0,0
-29.742,flush_end,0,6638552
-29.733,flush_begin,0,0
-29.717,flush_end,0,6638554
-29.708,flush_begin,0,0
-29.693,flush_end,0,6638554
-29.684,flush_begin,0,0
-29.669,flush_end,0,6638552
-29.660,flush_begin,0,0
-29.644,flush_end,0,6638553
-29.635,flush_begin,0,0
-29.619,flush_end,0,6638553
-29.612,flush_begin,0,0
-29.597,flush_end,0,6638554
-29.588,flush_begin,0,0
-29.573,flush_end,0,6638552
-29.564,flush_begin,0,0
-29.548,flush_end,0,6638554
-29.539,flush_begin,0,0
-29.523,flush_end,0,6638554
-29.507,trivial_move,3,6638552
-29.506,flush_begin,0,0
-29.491,flush_end,0,6638552
-29.475,trivial_move,3,6638554
-29.475,flush_begin,0,0
-29.459,flush_end,0,6638555
-29.443,trivial_move,3,6638553
-29.443,flush_begin,0,0
-29.427,flush_end,0,6638553
-29.411,trivial_move,3,6638553
-29.410,flush_begin,0,0
-29.395,flush_end,0,6638553
-29.379,trivial_move,3,6638553
-29.379,flush_begin,0,0
-29.363,flush_end,0,6638552
-29.345,trivial_move,3,6638554
-29.345,flush_begin,0,0
-29.327,flush_end,0,6638554
-29.308,trivial_move,3,6638552
-29.308,flush_begin,0,0
-29.292,flush_end,0,6638554
-29.274,trivial_move,3,6638554
-29.274,flush_begin,0,0
-29.257,flush_end,0,6638552
-29.241,trivial_move,3,6638554
-29.241,flush_begin,0,0
-29.225,flush_end,0,6638554
-29.209,trivial_move,3,6638552
-29.208,flush_begin,0,0
-29.192,flush_end,0,6638553
-29.174,trivial_move,3,6638553
-29.174,flush_begin,0,0
-29.159,flush_end,0,6638553
-29.143,trivial_move,3,6638553
-29.143,flush_begin,0,0
-29.127,flush_end,0,6638553
-29.111,trivial_move,3,6638554
-29.110,flush_begin,0,0
-29.095,flush_end,0,6638554
-29.077,trivial_move,3,6638552
-29.077,flush_begin,0,0
-29.061,flush_end,0,6638553
-29.045,trivial_move,3,6638554
-29.045,flush_begin,0,0
-29.028,flush_end,0,6638552
-29.012,trivial_move,3,6638554
-29.012,flush_begin,0,0
-28.996,flush_end,0,6638554
-28.979,trivial_move,3,6638552
-28.979,flush_begin,0,0
-28.962,flush_end,0,6638553
-28.946,trivial_move,3,6638555
-28.946,flush_begin,0,0
-28.930,flush_end,0,6638553
-28.914,trivial_move,3,6638553
-28.913,flush_begin,0,0
-28.897,flush_end,0,6638553
-28.881,trivial_move,3,6638553
-28.881,flush_begin,0,0
-28.864,flush_end,0,6638555
-28.848,trivial_move,3,6638552
-28.847,flush_begin,0,0
-28.831,flush_end,0,6638553
-28.815,trivial_move,3,6638554
-28.814,flush_begin,0,0
-28.797,flush_end,0,6638553
-28.781,trivial_move,3,6638554
-28.780,flush_begin,0,0
-28.763,flush_end,0,6638554
-28.747,trivial_move,3,6638552
-28.747,flush_begin,0,0
-28.729,flush_end,0,6638552
-28.713,trivial_move,3,6638554
-28.712,flush_begin,0,0
-28.687,flush_end,0,6638553
-28.672,trivial_move,3,6638553
-28.672,flush_begin,0,0
-28.655,flush_end,0,6638553
-28.639,trivial_move,3,6638553
-28.638,flush_begin,0,0
-28.621,flush_end,0,6638554
-28.605,trivial_move,3,6638553
-28.604,flush_begin,0,0
-28.587,flush_end,0,6638553
-28.571,trivial_move,3,6638554
-28.571,flush_begin,0,0
-28.553,flush_end,0,6638553
-28.537,trivial_move,3,6638553
-28.537,flush_begin,0,0
-28.520,flush_end,0,6638554
-28.504,trivial_move,3,6638552
-28.503,flush_begin,0,0
-28.485,flush_end,0,6638552
-28.469,trivial_move,3,6638554
-28.469,flush_begin,0,0
-28.452,flush_end,0,6638554
-28.436,trivial_move,3,6638553
-28.435,flush_begin,0,0
-28.419,flush_end,0,6638553
-28.403,trivial_move,3,6638553
-28.402,flush_begin,0,0
-28.384,flush_end,0,6638553
-28.368,trivial_move,3,6638553
-28.367,flush_begin,0,0
-28.351,flush_end,0,6638553
-28.335,trivial_move,3,6638555
-28.335,flush_begin,0,0
-28.317,flush_end,0,6638553
-28.301,trivial_move,3,6638553
-28.301,flush_begin,0,0
-28.284,flush_end,0,6638555
-28.268,trivial_move,3,6638553
-28.267,flush_begin,0,0
-28.251,flush_end,0,6638552
-28.235,trivial_move,3,6638554
-28.235,flush_begin,0,0
-28.217,flush_end,0,6638554
-28.199,trivial_move,3,6638552
-28.199,flush_begin,0,0
-28.183,flush_end,0,6638553
-28.166,trivial_move,3,6638553
-28.166,flush_begin,0,0
-28.149,flush_end,0,6638553
-28.133,trivial_move,3,6638553
-28.132,flush_begin,0,0
-28.116,flush_end,0,6638554
-28.100,trivial_move,3,6638554
-28.099,flush_begin,0,0
-28.083,flush_end,0,6638553
-28.067,trivial_move,3,6638553
-28.066,flush_begin,0,0
-28.050,flush_end,0,6638553
-28.032,trivial_move,3,6638553
-28.032,flush_begin,0,0
-28.016,flush_end,0,6638552
-28.000,trivial_move,3,6638554
-28.000,flush_begin,0,0
-27.982,flush_end,0,6638554
-27.966,trivial_move,3,6638552
-27.966,flush_begin,0,0
-27.949,flush_end,0,6638553
-27.933,trivial_move,3,6638554
-27.932,flush_begin,0,0
-27.914,flush_end,0,6638553
-27.898,trivial_move,3,6638553
-27.898,flush_begin,0,0
-27.881,flush_end,0,6638554
-27.865,trivial_move,3,6638553
-27.865,flush_begin,0,0
-27.848,flush_end,0,6638553
-27.832,trivial_move,3,6638553
-27.832,flush_begin,0,0
-27.814,flush_end,0,6638553
-27.798,trivial_move,3,6638553
-27.798,flush_begin,0,0
-27.781,flush_end,0,6638553
-27.765,trivial_move,3,6638555
-27.765,flush_begin,0,0
-27.748,flush_end,0,6638554
-27.732,trivial_move,3,6638552
-27.731,flush_begin,0,0
-27.716,flush_end,0,6638552
-27.699,trivial_move,3,6638554
-27.699,flush_begin,0,0
-27.693,flush_end,0,1164547
-27.685,compaction_begin,2,0
-27.546,compaction_end,2,73027477
-27.535,compaction_begin,2,0
-27.477,compaction_end,2,27720113
10.178,flush_begin,0,0
10.231,flush_end,0,6621965
10.302,compaction_begin,2,0
40.602,compaction_end,2,467208166
47.819,flush_begin,0,0
47.864,flush_end,0,6616784
47.937,compaction_begin,2,0
75.397,compaction_end,2,468521709
85.461,flush_begin,0,0
85.489,flush_end,0,6616929
85.560,compaction_begin,2,0
113.617,compaction_end,2,469837747
123.104,flush_begin,0,0
123.140,flush_end,0,6622550
123.210,compaction_begin,2,0
151.660,compaction_end,2,471151200
160.747,flush_begin,0,0
160.802,flush_end,0,6615264
160.874,compaction_begin,2,0
