t,type,level,bytes
-29.949,flush_begin,0,0
-29.933,flush_end,0,6638552
-29.925,flush_begin,0,0
-29.908,flush_end,0,6638554
-29.900,flush_begin,0,0
-29.883,flush_end,0,6638553
-29.875,flush_begin,0,0
-29.858,flush_end,0,6638553
-29.850,flush_begin,0,0
-29.833,flush_end,0,6638553
-29.825,flush_begin,0,0
-29.807,flush_end,0,6638554
-29.799,flush_begin,0,0
-29.782,flush_end,0,6638552
-29.774,flush_begin,0,0
-29.756,flush_end,0,6638554
-29.748,flush_begin,0,0
-29.732,flush_end,0,6638554
-29.724,flush_begin,0,0
-29.706,flush_end,0,6638552
-29.698,flush_begin,0,0
-29.681,flush_end,0,6638553
-29.673,flush_begin,0,0
-29.655,flush_end,0,6638553
-29.647,flush_begin,0,0
-29.631,flush_end,0,6638554
-29.623,flush_begin,0,0
-29.605,flush_end,0,6638552
-29.597,flush_begin,0,0
-29.580,flush_end,0,6638554
-29.572,flush_begin,0,0
-29.555,flush_end,0,6638554
-29.537,trivial_move,3,6638552
-29.537,flush_begin,0,0
-29.520,flush_end,0,6638552
-29.502,trivial_move,3,6638554
-29.502,flush_begin,0,0
-29.484,flush_end,0,6638555
-29.466,trivial_move,3,6638553
-29.466,flush_begin,0,0
-29.449,flush_end,0,6638553
-29.431,trivial_move,3,6638553
-29.431,flush_begin,0,0
-29.413,flush_end,0,6638553
-29.395,trivial_move,3,6638553
-29.395,flush_begin,0,0
-29.378,flush_end,0,6638552
-29.359,trivial_move,3,6638554
-29.359,flush_begin,0,0
-29.341,flush_end,0,6638554
-29.323,trivial_move,3,6638552
-29.323,flush_begin,0,0
-29.305,flush_end,0,6638554
-29.286,trivial_move,3,6638554
-29.286,flush_begin,0,0
-29.268,flush_end,0,6638552
-29.250,trivial_move,3,6638554
-29.250,flush_begin,0,0
-29.232,flush_end,0,6638554
-29.214,trivial_move,3,6638552
-29.214,flush_begin,0,0
-29.196,flush_end,0,6638553
-29.178,trivial_move,3,6638553
-29.178,flush_begin,0,0
-29.160,flush_end,0,6638553
-29.142,trivial_move,3,6638553
-29.142,flush_begin,0,0
-29.124,flush_end,0,6638553
-29.105,trivial_move,3,6638554
-29.105,flush_begin,0,0
-29.088,flush_end,0,6638554
-29.070,trivial_move,3,6638552
-29.070,flush_begin,0,0
-29.053,flush_end,0,6638553
-29.033,trivial_move,3,6638554
-29.033,flush_begin,0,0
-29.015,flush_end,0,6638552
-28.997,trivial_move,3,6638554
-28.997,flush_begin,0,0
-28.979,flush_end,0,6638554
-28.961,trivial_move,3,6638552
-28.961,flush_begin,0,0
-28.943,flush_end,0,6638553
-28.925,trivial_move,3,6638555
-28.925,flush_begin,0,0
-28.907,flush_end,0,6638553
-28.889,trivial_move,3,6638553
-28.889,flush_begin,0,0
-28.871,flush_end,0,6638553
-28.853,trivial_move,3,6638553
-28.853,flush_begin,0,0
-28.834,flush_end,0,6638555
-28.816,trivial_move,3,6638552
-28.816,flush_begin,0,0
-28.798,flush_end,0,6638553
-28.779,trivial_move,3,6638554
-28.779,flush_begin,0,0
-28.761,flush_end,0,6638553
-28.743,trivial_move,3,6638554
-28.743,flush_begin,0,0
-28.725,flush_end,0,6638554
-28.706,trivial_move,3,6638552
-28.706,flush_begin,0,0
-28.688,flush_end,0,6638552
-28.669,trivial_move,3,6638554
-28.669,flush_begin,0,0
-28.649,flush_end,0,6638553
-28.629,trivial_move,3,6638553
-28.629,flush_begin,0,0
-28.610,flush_end,0,6638553
-28.590,trivial_move,3,6638553
-28.590,flush_begin,0,0
-28.570,flush_end,0,6638554
-28.552,trivial_move,3,6638553
-28.552,flush_begin,0,0
-28.534,flush_end,0,6638553
-28.518,trivial_move,3,6638554
-28.518,flush_begin,0,0
-28.500,flush_end,0,6638553
-28.482,trivial_move,3,6638553
-28.482,flush_begin,0,0
-28.463,flush_end,0,6638554
-28.444,trivial_move,3,6638552
-28.444,flush_begin,0,0
-28.426,flush_end,0,6638552
-28.401,trivial_move,3,6638554
-28.401,flush_begin,0,0
-28.382,flush_end,0,6638554
-28.366,trivial_move,3,6638553
-28.366,flush_begin,0,0
-28.347,flush_end,0,6638553
-28.329,trivial_move,3,6638553
-28.329,flush_begin,0,0
-28.310,flush_end,0,6638553
-28.292,trivial_move,3,6638553
-28.292,flush_begin,0,0
-28.274,flush_end,0,6638553
-28.256,trivial_move,3,6638555
-28.256,flush_begin,0,0
-28.238,flush_end,0,6638553
-28.220,trivial_move,3,6638553
-28.220,flush_begin,0,0
-28.202,flush_end,0,6638555
-28.183,trivial_move,3,6638553
-28.183,flush_begin,0,0
-28.165,flush_end,0,6638552
-28.146,trivial_move,3,6638554
-28.146,flush_begin,0,0
-28.128,flush_end,0,6638554
-28.109,trivial_move,3,6638552
-28.109,flush_begin,0,0
-28.091,flush_end,0,6638553
-28.073,trivial_move,3,6638553
-28.073,flush_begin,0,0
-28.055,flush_end,0,6638553
-28.036,trivial_move,3,6638553
-28.036,flush_begin,0,0
-28.018,flush_end,0,6638554
-27.999,trivial_move,3,6638554
-27.999,flush_begin,0,0
-27.980,flush_end,0,6638553
-27.961,trivial_move,3,6638553
-27.961,flush_begin,0,0
-27.943,flush_end,0,6638553
-27.924,trivial_move,3,6638553
-27.924,flush_begin,0,0
-27.905,flush_end,0,6638552
-27.887,trivial_move,3,6638554
-27.887,flush_begin,0,0
-27.868,flush_end,0,6638554
-27.849,trivial_move,3,6638552
-27.849,flush_begin,0,0
-27.831,flush_end,0,6638553
-27.812,trivial_move,3,6638554
-27.812,flush_begin,0,0
-27.794,flush_end,0,6638553
-27.775,trivial_move,3,6638553
-27.775,flush_begin,0,0
-27.757,flush_end,0,6638554
-27.739,trivial_move,3,6638553
-27.739,flush_begin,0,0
-27.720,flush_end,0,6638553
-27.702,trivial_move,3,6638553
-27.702,flush_begin,0,0
-27.685,flush_end,0,6638553
-27.667,trivial_move,3,6638553
-27.667,flush_begin,0,0
-27.648,flush_end,0,6638553
-27.629,trivial_move,3,6638555
-27.629,flush_begin,0,0
-27.611,flush_end,0,6638554
-27.591,trivial_move,3,6638552
-27.591,flush_begin,0,0
-27.574,flush_end,0,6638552
-27.557,trivial_move,3,6638554
-27.557,flush_begin,0,0
-27.551,flush_end,0,1164547
-27.543,compaction_begin,2,0
-27.519,compaction_end,2,6638145
-27.511,compaction_begin,2,0
-27.485,compaction_end,2,6638145
-27.477,compaction_begin,2,0
-27.453,compaction_end,2,6638146
-27.445,compaction_begin,2,0
-27.422,compaction_end,2,6638145
-27.414,compaction_begin,2,0
-27.391,compaction_end,2,6638145
-27.383,compaction_begin,2,0
-27.361,compaction_end,2,6638144
-27.353,compaction_begin,2,0
-27.331,compaction_end,2,6638146
-27.323,compaction_begin,2,0
-27.301,compaction_end,2,6638145
-27.293,compaction_begin,2,0
-27.270,compaction_end,2,6638145
-27.262,compaction_begin,2,0
-27.240,compaction_end,2,6638146
-27.232,compaction_begin,2,0
-27.210,compaction_end,2,6638145
-27.202,compaction_begin,2,0
-27.178,compaction_end,2,6638145
-27.170,compaction_begin,2,0
-27.147,compaction_end,2,6638145
-27.139,compaction_begin,2,0
-27.117,compaction_end,2,6638146
-27.109,compaction_begin,2,0
-27.086,compaction_end,2,6638144
-27.078,compaction_begin,2,0
-27.071,compaction_end,2,1164547
10.582,flush_begin,0,0
10.623,flush_end,0,6638120
10.694,compaction_begin,1,0
11.257,compaction_end,1,6609976
11.393,compaction_begin,2,0
14.714,compaction_end,2,46468050
14.726,compaction_begin,2,0
18.066,compaction_end,2,46468047
18.074,compaction_begin,2,0
21.391,compaction_end,2,46468049
21.401,compaction_begin,2,0
24.795,compaction_end,2,46468049
24.807,compaction_begin,2,0
27.896,compaction_end,2,44118862
27.906,compaction_begin,2,0
28.765,compaction_end,2,11465841
28.774,compaction_begin,2,0
32.121,compaction_end,2,46468049
32.131,compaction_begin,2,0
35.249,compaction_end,2,44118863
35.259,compaction_begin,2,0
38.620,compaction_end,2,46468050
38.631,compaction_begin,2,0
41.875,compaction_end,2,46468049
41.885,compaction_begin,2,0
44.956,compaction_end,2,42178896
48.224,flush_begin,0,0
48.267,flush_end,0,6637936
48.337,compaction_begin,1,0
48.891,compaction_end,1,6606897
49.041,compaction_begin,2,0
52.043,compaction_end,2,42179010
52.053,compaction_begin,2,0
55.103,compaction_end,2,42717667
55.113,compaction_begin,2,0
58.288,compaction_end,2,44118749
58.296,compaction_begin,2,0
61.281,compaction_end,2,42179011
61.292,compaction_begin,2,0
64.270,compaction_end,2,42179012
64.280,compaction_begin,2,0
67.351,compaction_end,2,42179009
67.364,compaction_begin,2,0
70.378,compaction_end,2,42890503
70.386,compaction_begin,2,0
73.414,compaction_end,2,42179009
73.429,compaction_begin,2,0
76.500,compaction_end,2,42179010
76.509,compaction_begin,2,0
79.513,compaction_end,2,42179009
79.528,compaction_begin,2,0
82.627,compaction_end,2,42179011
85.866,flush_begin,0,0
85.907,flush_end,0,6638108
85.977,compaction_begin,1,0
86.655,compaction_end,1,7933893
86.809,compaction_begin,2,0
89.824,compaction_end,2,42179011
89.834,compaction_begin,2,0
92.921,compaction_end,2,43407537
92.931,compaction_begin,2,0
95.926,compaction_end,2,42179011
95.937,compaction_begin,2,0
98.996,compaction_end,2,42890390
99.006,compaction_begin,2,0
102.055,compaction_end,2,42717667
102.066,compaction_begin,2,0
105.093,compaction_end,2,42179010
105.101,compaction_begin,2,0
108.145,compaction_end,2,42179009
108.157,compaction_begin,2,0
111.252,compaction_end,2,42890503
111.263,compaction_begin,2,0
114.287,compaction_end,2,42179010
114.298,compaction_begin,2,0
117.330,compaction_end,2,42179009
117.341,compaction_begin,2,0
120.345,compaction_end,2,42179012
123.511,flush_begin,0,0
123.553,flush_end,0,6638319
123.621,compaction_begin,1,0
