t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8016,6513,1503,6455,911,0.14113,336,352,360,59,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
2,8017,6515,1502,6462,908,0.14051,336,352,360,60,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
3,8023,6519,1504,6453,950,0.14722,336,352,360,56,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
4,8035,6529,1506,6461,903,0.13976,336,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
5,8026,6519,1507,6448,980,0.15199,336,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
6,8011,6510,1501,6431,984,0.15301,336,352,360,57,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
7,8013,6510,1503,6454,964,0.14936,328,344,360,57,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,1293,0,135196,1293
8,8022,6517,1505,6442,957,0.14856,336,352,360,64,0,0,0,0,63.95,5.24,1,86,63.95,0,135196,1293,0,136523,1293
9,8014,6513,1501,8307,2578,0.31034,336,352,368,2816,1,1,1,0,61.91,0.98,2,97,61.93,3054,136765,2862,0,138333,2887
10,8004,6505,1499,8507,1283,0.15082,272,296,392,416,1,0,0,0,63.97,7.32,2,97,63.97,0,136769,2862,0,140207,3055
11,8021,6514,1507,8669,1321,0.15238,264,336,640,376,1,0,0,0,63.97,14.64,4,97,63.97,0,138104,2883,0,142084,3116
12,8044,6536,1508,8688,917,0.10555,264,280,488,47,1,0,0,0,63.97,14.35,5,97,63.97,0,140106,3015,0,143880,3116
13,8015,6515,1500,8657,956,0.11043,264,288,368,51,1,0,0,0,63.97,14.54,5,97,63.97,0,142033,3090,0,145781,3116
14,8006,6504,1502,8662,987,0.11395,264,272,304,26,1,0,0,0,63.97,14.84,5,97,63.97,0,143887,3106,0,147696,3116
15,8007,6507,1500,8482,983,0.11589,264,272,296,188,1,1,0,0,63.97,1.63,6,100,63.97,1228,145523,3113,0,149747,3195
16,8004,6502,1502,8641,1230,0.14234,264,272,296,22,1,0,0,0,63.97,9.09,3,100,63.97,0,147737,3115,0,151744,3336
17,8005,6503,1502,8622,1083,0.12561,264,272,288,21,1,0,0,0,63.97,15.11,5,100,63.97,0,149708,3194,0,153748,3368
18,8045,6536,1509,8675,1000,0.11527,264,272,328,40,1,0,0,0,63.97,15.05,5,100,63.97,0,151769,3328,0,155662,3368
19,8015,6511,1504,8628,990,0.11474,264,272,296,24,1,0,0,0,63.97,14.92,4,100,63.97,0,153776,3362,0,157601,3368
20,8022,6519,1503,8461,994,0.11748,264,272,296,24,1,0,0,0,63.97,15.24,4,100,63.97,0,155747,3368,0,159647,3368
