t,type,level,bytes
-29.893,flush_begin,0,0
-29.867,flush_end,0,6638552
-29.856,flush_begin,0,0
-29.832,flush_end,0,6638554
-29.821,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.784,flush_begin,0,0
-29.760,flush_end,0,6638553
-29.749,flush_begin,0,0
-29.725,flush_end,0,6638553
-29.714,flush_begin,0,0
-29.688,flush_end,0,6638554
-29.677,flush_begin,0,0
-29.652,flush_end,0,6638552
-29.641,flush_begin,0,0
-29.617,flush_end,0,6638554
-29.605,flush_begin,0,0
-29.581,flush_end,0,6638554
-29.569,flush_begin,0,0
-29.545,flush_end,0,6638552
-29.534,flush_begin,0,0
-29.510,flush_end,0,6638553
-29.498,flush_begin,0,0
-29.474,flush_end,0,6638553
-29.462,flush_begin,0,0
-29.436,flush_end,0,6638554
-29.426,flush_begin,0,0
-29.401,flush_end,0,6638552
-29.390,flush_begin,0,0
-29.364,flush_end,0,6638554
-29.353,flush_begin,0,0
-29.329,flush_end,0,6638554
-29.312,trivial_move,3,6638552
-29.309,flush_begin,0,0
-29.284,flush_end,0,6638552
-29.267,trivial_move,3,6638554
-29.264,flush_begin,0,0
-29.241,flush_end,0,6638555
-29.225,trivial_move,3,6638553
-29.222,flush_begin,0,0
-29.198,flush_end,0,6638553
-29.182,trivial_move,3,6638553
-29.180,flush_begin,0,0
-29.155,flush_end,0,6638553
-29.138,trivial_move,3,6638553
-29.136,flush_begin,0,0
-29.109,flush_end,0,6638552
-29.093,trivial_move,3,6638554
-29.093,flush_begin,0,0
-29.068,flush_end,0,6638554
-29.053,trivial_move,3,6638552
-29.051,flush_begin,0,0
-29.026,flush_end,0,6638554
-29.010,trivial_move,3,6638554
-29.008,flush_begin,0,0
-28.982,flush_end,0,6638552
-28.965,trivial_move,3,6638554
-28.963,flush_begin,0,0
-28.939,flush_end,0,6638554
-28.923,trivial_move,3,6638552
-28.920,flush_begin,0,0
-28.895,flush_end,0,6638553
-28.880,trivial_move,3,6638553
-28.877,flush_begin,0,0
-28.853,flush_end,0,6638553
-28.838,trivial_move,3,6638553
-28.835,flush_begin,0,0
-28.811,flush_end,0,6638553
-28.795,trivial_move,3,6638554
-28.792,flush_begin,0,0
-28.769,flush_end,0,6638554
-28.753,trivial_move,3,6638552
-28.751,flush_begin,0,0
-28.726,flush_end,0,6638553
-28.712,trivial_move,3,6638554
-28.709,flush_begin,0,0
-28.683,flush_end,0,6638552
-28.667,trivial_move,3,6638554
-28.666,flush_begin,0,0
-28.642,flush_end,0,6638554
-28.626,trivial_move,3,6638552
-28.624,flush_begin,0,0
-28.599,flush_end,0,6638553
-28.583,trivial_move,3,6638555
-28.581,flush_begin,0,0
-28.556,flush_end,0,6638553
-28.541,trivial_move,3,6638553
-28.538,flush_begin,0,0
-28.515,flush_end,0,6638553
-28.500,trivial_move,3,6638553
-28.497,flush_begin,0,0
-28.473,flush_end,0,6638555
-28.457,trivial_move,3,6638552
-28.454,flush_begin,0,0
-28.430,flush_end,0,6638553
-28.415,trivial_move,3,6638554
-28.413,flush_begin,0,0
-28.389,flush_end,0,6638553
-28.373,trivial_move,3,6638554
-28.370,flush_begin,0,0
-28.346,flush_end,0,6638554
-28.330,trivial_move,3,6638552
-28.327,flush_begin,0,0
-28.302,flush_end,0,6638552
-28.286,trivial_move,3,6638554
-28.283,flush_begin,0,0
-28.259,flush_end,0,6638553
