t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8038,6527,1511,6459,1057,0.16365,320,344,448,110,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8086,6573,1513,6494,1060,0.16323,320,352,384,92,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8006,6502,1504,6411,1105,0.17236,320,344,368,70,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
4,8005,6504,1501,6418,1053,0.16407,320,328,344,28,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
5,8010,6512,1498,6435,1077,0.16737,320,328,344,28,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
6,8006,6502,1504,6415,1082,0.16867,320,328,344,27,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8007,6505,1502,6434,1093,0.16988,320,328,344,34,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
8,8002,6502,1500,6494,1133,0.17447,320,328,352,1600,1,0,1,0,63.98,2.26,4,87,63.98,8,0,0,0,573,0,24700,18
9,8009,6507,1502,6592,1121,0.17005,320,336,352,2560,1,1,0,0,63.95,2.48,1,97,63.95,3017,0,0,0,1890,72,26678,561
10,8028,6523,1505,6615,1144,0.17294,320,328,344,42,1,0,0,0,63.97,9.59,3,97,63.97,0,460,0,0,3710,216,28780,1349
11,8042,6534,1508,6613,985,0.14895,320,336,360,51,1,0,0,0,63.97,13.29,4,97,63.97,0,1707,48,0,5347,242,30861,1911
12,8007,6506,1501,6595,903,0.13692,320,328,360,44,1,0,0,0,63.97,14.35,4,97,63.97,0,3641,177,0,7393,248,32195,2155
13,8049,6540,1509,6639,836,0.12592,320,336,608,110,1,0,0,0,63.97,14.14,4,97,63.97,0,5366,218,0,9015,248,33995,2453
14,8044,6534,1510,6621,927,0.14001,320,336,608,35,1,0,0,0,63.97,12.42,4,97,63.97,0,7270,236,0,10462,248,36034,2784
15,8008,6507,1501,6568,867,0.13200,320,336,624,1984,1,1,0,0,56.52,0.27,5,100,56.53,1160,8599,248,0,12339,290,37319,2959
16,8006,6505,1501,6568,987,0.15027,320,336,360,40,1,0,0,0,63.97,6.55,2,100,63.97,0,10242,248,0,14015,545,39013,3201
17,8004,6505,1499,6553,941,0.14360,320,336,352,39,1,0,0,0,63.97,12.05,4,100,63.97,0,11991,260,0,15424,608,41080,3555
18,8005,6507,1498,6552,914,0.13950,320,328,360,30,1,0,0,0,63.97,14.00,4,100,63.97,0,13759,496,0,17454,608,42353,3702
19,8019,6511,1508,6564,954,0.14534,320,336,360,33,1,0,0,0,63.97,13.83,4,100,63.97,0,15393,582,0,18959,608,44179,3901
20,8007,6506,1501,6530,861,0.13185,320,336,352,34,1,0,0,0,63.97,12.76,4,100,63.97,0,17248,598,0,20523,608,45975,4107
21,8048,6538,1510,6569,911,0.13868,320,328,352,42,1,0,0,0,63.97,14.52,4,100,63.97,0,18778,606,0,22496,608,47279,4235
22,8086,6570,1516,6605,983,0.14883,320,336,352,608,1,1,0,0,63.97,2.54,7,103,63.97,1373,20368,607,0,23922,677,49177,4456
23,8074,6561,1513,6602,992,0.15026,320,336,360,33,1,0,0,0,63.97,7.99,2,103,63.97,0,22186,608,0,25469,763,51206,4856
24,8082,6567,1515,6595,868,0.13161,320,336,352,43,1,0,0,0,63.97,14.04,4,103,63.97,0,23814,669,0,27515,776,52569,5106
25,8042,6536,1506,6577,831,0.12635,320,328,360,33,1,0,0,0,63.96,13.98,4,103,63.96,0,25481,751,0,29084,776,54356,5321
26,8008,6506,1502,6522,901,0.13815,320,336,352,28,1,0,0,0,63.97,12.69,4,103,63.97,0,27334,773,0,30584,776,56258,5571
27,8005,6502,1503,6502,865,0.13304,320,328,352,38,1,0,0,0,63.97,14.55,4,103,63.97,0,28905,775,0,32630,776,57483,5712
28,8026,6523,1503,6543,856,0.13083,320,336,360,31,1,0,0,0,63.97,13.82,5,103,63.97,0,30580,776,0,34117,776,59360,5942
29,8007,6506,1501,6511,1014,0.15574,320,328,352,80,1,1,0,0,63.97,4.61,4,106,63.97,905,31891,776,0,35530,939,61241,6138
30,8053,6541,1512,6523,927,0.14211,320,328,352,34,1,0,0,0,63.97,11.99,3,106,63.97,0,33880,776,0,37576,1027,62523,6312
31,8009,6508,1501,6499,879,0.13525,320,336,352,1440,1,0,0,0,63.96,13.17,4,106,63.96,0,35405,903,0,38900,1028,64520,6547
32,8036,6529,1507,6521,888,0.13618,320,336,352,74,1,0,0,0,63.96,13.16,4,106,63.96,0,37259,1009,0,40645,1028,66061,6687
33,8004,6502,1502,6515,906,0.13906,320,336,360,37,1,0,0,0,63.97,14.34,4,106,63.97,0,38682,1023,0,42356,1028,67615,6821
34,8006,6508,1498,6502,871,0.13396,320,328,352,32,1,0,0,0,63.96,12.45,4,106,63.96,0,40525,1026,0,43714,1028,69542,6955
35,8006,6503,1503,6488,985,0.15182,320,328,352,672,1,1,0,0,63.96,2.04,6,103,63.96,1250,41754,1027,0,45459,1077,71011,7117
36,8007,6506,1501,6482,974,0.15026,320,328,352,41,1,0,0,0,63.96,7.99,2,103,63.96,0,43664,1028,0,47076,1177,72811,7380
37,8014,6511,1503,6486,884,0.13629,320,328,352,148,1,0,0,0,63.96,14.71,4,103,63.96,0,45232,1068,0,49122,1194,74130,7612
38,8006,6504,1502,6481,833,0.12853,320,336,352,40,1,0,0,0,63.97,13.08,4,103,63.97,0,47045,1163,0,50423,1194,76185,7847
39,8028,6529,1499,6508,870,0.13368,320,336,352,42,1,0,0,0,63.96,13.35,4,103,63.96,0,48771,1190,0,52191,1194,77752,8019
40,8008,6501,1507,6480,862,0.13302,320,336,352,55,1,0,0,0,63.97,14.28,4,103,63.97,0,50277,1193,0,53934,1194,79288,8186
41,8018,6515,1503,6489,795,0.12252,320,336,352,53,1,0,0,0,63.96,12.62,5,103,63.96,0,52125,1194,0,55354,1194,81185,8383
42,8038,6533,1505,6484,960,0.14806,320,328,352,66,1,1,0,0,63.96,4.44,4,106,63.96,916,53659,1194,0,57137,1315,82682,8538
43,8004,6501,1503,6460,955,0.14783,320,328,352,40,1,0,0,0,63.96,10.82,3,106,63.96,0,55232,1194,0,58884,1395,84282,8748
44,8050,6540,1510,6496,884,0.13608,320,328,352,41,1,0,0,0,63.96,12.44,4,106,63.96,0,56904,1282,0,60206,1401,86347,8999
45,8070,6560,1510,6515,859,0.13185,320,328,352,41,1,0,0,0,63.96,14.05,4,106,63.96,0,58643,1387,0,62252,1401,87594,9110
46,8012,6506,1506,6635,891,0.13429,320,336,624,2240,1,0,1,0,63.97,8.33,3,107,63.97,0,60116,1398,0,62252,1401,90827,9407
47,8065,6555,1510,6677,1063,0.15920,320,336,624,2880,1,1,0,0,63.96,4.95,13,110,63.96,338,61220,1400,0,63358,1470,93050,9777
48,8009,6508,1501,6596,1091,0.16540,320,328,352,1408,1,1,0,0,63.97,2.73,3,115,63.97,2812,62175,1401,0,64555,1574,95217,10388
49,8011,6507,1504,6593,1124,0.17048,320,328,344,28,1,0,0,0,63.98,9.44,4,115,63.98,0,63166,1470,0,66361,1714,97316,11175
50,8024,6522,1502,6605,989,0.14974,320,328,376,86,1,0,0,0,63.97,13.50,5,115,63.97,0,64380,1538,0,68049,1733,99308,11727
51,8042,6531,1511,6636,931,0.14030,320,336,608,76,1,0,0,0,63.97,14.35,4,115,63.97,0,66339,1664,0,70095,1735,100651,11962
52,8007,6507,1500,6593,862,0.13074,320,336,384,264,1,0,0,0,63.97,14.07,4,115,63.97,0,68025,1704,0,71656,1735,102529,12303
53,8015,6512,1503,6592,922,0.13987,320,336,608,38,1,0,0,0,63.97,12.63,4,115,63.97,0,69920,1723,0,73164,1735,104472,12606
54,8042,6534,1508,6587,957,0.14529,320,336,352,1152,1,1,0,0,63.97,4.00,1,114,63.97,1441,71112,1735,0,75210,1939,105718,12805
55,8049,6539,1510,6587,1047,0.15895,320,336,352,48,1,0,0,0,63.97,9.88,3,114,63.97,0,72964,1735,0,76716,2115,107761,13216
