t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8073,6558,1515,6483,1063,0.16397,336,352,360,60,0,0,0,0,63.96,0.00,0,86,63.96,16378,111158,16378,0
2,8068,6557,1511,6480,1079,0.16651,336,352,360,66,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
3,8053,6542,1511,6463,1107,0.17128,336,352,360,61,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
4,8010,6508,1502,6425,1048,0.16311,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
5,8027,6526,1501,6453,1100,0.17046,336,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
6,8014,6509,1505,6438,1108,0.17210,336,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
7,8069,6555,1514,6472,1065,0.16456,328,352,360,59,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0
8,8065,6552,1513,6454,1098,0.17013,336,352,360,61,0,0,0,0,63.95,5.65,1,86,63.95,0,111158,16378,0
9,8011,6509,1502,8968,3072,0.34255,320,344,360,3200,1,1,1,0,63.38,0.15,9,97,63.40,4306,112727,17947,0
10,8015,6512,1503,7892,1635,0.20717,328,352,576,51,1,0,0,0,63.97,0.20,5,97,63.97,0,112727,17947,0
11,8045,6538,1507,8724,1958,0.22444,328,352,560,58,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0
12,8007,6506,1501,8233,1581,0.19203,312,344,392,2816,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0
13,8005,6504,1501,8057,1436,0.17823,312,344,376,60,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0
14,8070,6557,1513,8571,1582,0.18458,312,336,360,1248,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0
15,8004,6502,1502,7740,1377,0.17791,312,336,360,3776,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0
16,8010,6509,1501,8484,1297,0.15288,312,336,352,4992,1,1,0,0,60.91,0.38,2,100,60.91,1513,112727,17947,0
17,8007,6505,1502,8341,1324,0.15873,312,328,336,31,1,0,0,0,63.98,0.00,0,100,63.98,0,112727,17947,0
18,8008,6508,1500,7837,1307,0.16677,336,352,368,60,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0
19,8050,6539,1511,8163,1372,0.16808,336,352,368,62,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0
20,8005,6504,1501,8077,1398,0.17308,336,352,368,53,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0
21,8039,6532,1507,7988,1343,0.16813,328,352,368,61,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0
22,8049,6540,1509,8270,1328,0.16058,336,352,368,59,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0
23,8010,6508,1502,7827,1279,0.16341,328,352,368,98,1,1,0,0,60.30,0.25,10,103,60.34,1116,112727,17947,0
24,8091,6573,1518,8253,1324,0.16043,320,344,360,48,1,0,0,0,63.97,0.58,3,103,63.97,0,112727,17947,0
25,8085,6572,1513,8388,1478,0.17620,320,352,360,62,1,0,0,0,63.97,0.00,0,103,63.97,0,112727,17947,0
26,8014,6509,1505,7836,1255,0.16016,336,352,368,55,1,0,0,0,63.97,0.00,0,103,63.97,0,112727,17947,0
27,8009,6507,1502,8037,1267,0.15765,328,352,368,61,1,0,0,0,63.97,0.00,0,103,63.97,0,112727,17947,0
28,8069,6558,1511,8134,1257,0.15454,336,352,368,58,1,0,0,0,63.97,0.00,0,103,63.97,0,112727,17947,0
29,8003,6502,1501,7718,1266,0.16403,336,352,368,63,1,0,0,0,63.97,0.00,0,103,63.97,0,112727,17947,0
30,8012,6509,1503,8217,1309,0.15930,320,352,368,72,1,1,0,0,63.97,0.80,10,99,63.97,1691,112727,17947,0
31,8005,6505,1500,8020,1385,0.17269,336,352,368,70,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
32,8005,6503,1502,8120,1501,0.18485,320,352,360,68,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
33,8007,6506,1501,8283,1460,0.17626,320,352,360,72,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
34,8007,6507,1500,7847,1338,0.17051,336,352,368,64,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
35,8008,6504,1504,8013,1329,0.16586,336,352,368,66,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
36,8081,6566,1515,8135,1333,0.16386,328,352,360,57,1,0,0,0,63.97,0.00,0,99,63.97,0,112727,17947,0
37,8088,6571,1517,8211,1329,0.16186,328,352,368,204,1,1,0,0,61.08,0.45,8,102,61.09,1578,112727,17947,0
38,8086,6571,1515,7822,1329,0.16991,336,352,360,60,1,0,0,0,63.96,0.25,1,102,63.96,0,112727,17947,0
39,8010,6509,1501,8278,1457,0.17601,336,352,368,64,1,0,0,0,63.97,0.00,0,102,63.97,0,112727,17947,0
40,8010,6507,1503,7801,1264,0.16203,328,352,360,60,1,0,0,0,63.97,0.00,0,102,63.97,0,112727,17947,0
41,8010,6510,1500,8184,1377,0.16826,336,352,368,64,1,0,0,0,63.97,0.00,0,102,63.97,0,112727,17947,0
42,8088,6569,1519,7927,1328,0.16753,336,352,368,59,1,0,0,0,63.96,0.00,0,102,63.96,0,112727,17947,0
43,8085,6570,1515,7948,1316,0.16558,336,352,360,64,1,0,0,0,63.97,0.00,0,102,63.97,0,112727,17947,0
44,8015,6515,1500,7968,1317,0.16529,336,352,368,64,1,0,0,0,63.96,0.00,0,102,63.96,0,112727,17947,0
45,8009,6508,1501,7998,1241,0.15516,328,352,360,122,1,1,0,0,63.96,0.61,4,105,63.96,1323,112727,17947,0
46,8045,6533,1512,8120,1365,0.16810,320,344,360,114,1,0,1,0,63.96,0.00,0,106,63.96,0,112727,17947,0
