t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8021,6517,1504,6337,1473,0.23244,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
2,8019,6515,1504,6330,1499,0.23681,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
3,8006,6506,1500,6337,1498,0.23639,336,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
4,8014,6513,1501,6326,1534,0.24249,336,352,360,63,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
5,8009,6505,1504,6326,1476,0.23332,320,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
6,8086,6569,1517,6368,1534,0.24089,336,352,360,59,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
7,8088,6573,1515,6392,1529,0.23921,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
8,8086,6572,1514,7515,1635,0.21756,320,352,360,2560,1,0,1,0,63.96,0.00,0,87,63.96,0,0,0,0
9,8094,6573,1521,11058,3513,0.31769,320,344,640,3264,1,1,0,0,63.97,0.09,5,97,63.97,0,0,0,0
10,8014,6511,1503,10309,2838,0.27529,336,352,368,82,1,0,0,0,63.97,0.13,4,97,63.97,0,0,0,0
11,8019,6516,1503,10045,2612,0.26003,336,352,360,66,1,0,0,0,63.97,0.01,1,97,63.97,0,0,0,0
12,8022,6518,1504,9520,1249,0.13120,336,352,368,2048,1,1,0,0,63.97,0.00,1,100,63.97,0,0,0,0
13,8029,6524,1505,9600,1465,0.15260,328,352,360,60,1,0,0,0,63.97,0.02,1,100,63.97,0,0,0,0
14,8085,6568,1517,9681,1803,0.18624,320,352,360,57,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0
15,8040,6533,1507,9535,1881,0.19727,336,352,360,1728,1,1,0,0,63.97,0.61,8,96,63.97,0,0,0,0
16,8023,6519,1504,9756,1916,0.19639,320,352,360,64,1,0,0,0,63.97,0.39,2,96,63.97,0,0,0,0
17,8007,6507,1500,9546,1884,0.19736,336,352,368,64,1,0,0,0,63.96,0.00,0,96,63.96,0,0,0,0
18,8011,6507,1504,9487,1899,0.20017,336,352,360,74,1,0,0,0,63.97,0.00,0,96,63.97,0,0,0,0
19,8024,6521,1503,9756,2162,0.22161,336,352,368,1632,1,1,0,0,63.96,0.61,5,99,63.96,0,0,0,0
20,8062,6552,1510,9826,2190,0.22288,336,352,368,72,1,0,0,0,63.97,0.28,1,99,63.97,0,0,0,0
21,8119,6593,1526,9887,2151,0.21756,328,352,360,92,1,0,0,0,63.97,0.00,0,99,63.97,0,0,0,0
22,8083,6570,1513,9873,2091,0.21179,320,352,360,1248,1,1,0,0,63.96,0.66,5,102,63.96,0,0,0,0
23,8088,6573,1515,9929,2018,0.20324,320,352,360,80,1,0,0,0,63.97,0.00,0,102,63.97,0,0,0,0
24,8086,6566,1520,9684,2010,0.20756,328,352,360,204,1,0,0,0,63.96,0.00,0,102,63.96,0,0,0,0
25,8057,6548,1509,9635,1942,0.20156,320,352,360,976,1,1,0,0,63.96,0.24,10,105,63.96,0,0,0,0
26,8013,6509,1504,9390,1703,0.18136,336,352,360,64,1,0,0,0,63.96,0.00,0,105,63.96,0,0,0,0
27,8012,6510,1502,9373,1757,0.18745,336,352,360,66,1,0,0,0,63.96,0.00,0,105,63.96,0,0,0,0
28,8013,6511,1502,9384,1782,0.18990,336,352,360,68,1,0,0,0,63.96,0.00,0,105,63.96,0,0,0,0
29,8038,6530,1508,9437,1768,0.18735,328,352,360,2304,1,1,0,0,63.96,0.62,10,102,63.96,0,0,0,0
30,8032,6527,1505,9390,1747,0.18605,336,352,368,76,1,0,0,0,63.96,0.61,4,102,63.96,0,0,0,0
31,8043,6535,1508,9563,1787,0.18687,320,344,360,66,1,0,0,0,63.96,0.07,1,102,63.96,0,0,0,0
32,8011,6509,1502,9306,1809,0.19439,336,352,360,2240,1,1,0,0,63.96,0.09,9,105,63.96,0,0,0,0
33,8011,6508,1503,9467,1866,0.19711,336,352,360,66,1,0,0,0,63.96,1.05,9,105,63.96,0,0,0,0
34,8048,6540,1508,9480,1868,0.19705,336,352,360,70,1,0,0,0,63.97,0.52,2,105,63.96,0,0,0,0
35,8006,6505,1501,9478,1851,0.19529,328,352,360,2048,1,0,0,0,63.96,0.36,1,105,63.96,0,0,0,0
36,8015,6513,1502,9306,1767,0.18988,336,352,360,1440,1,1,0,0,63.96,0.63,11,108,63.96,0,0,0,0
37,8027,6521,1506,9424,1767,0.18750,336,352,360,64,1,0,0,0,63.96,0.63,3,108,63.96,0,0,0,0
38,8005,6504,1501,9406,1742,0.18520,320,352,360,88,1,0,0,0,63.96,0.00,0,108,63.96,0,0,0,0
39,8055,6544,1511,9477,1808,0.19078,328,352,360,63,1,0,0,0,63.96,0.00,0,108,63.96,0,0,0,0
40,8045,6536,1509,9359,1831,0.19564,336,352,360,2432,1,1,0,0,63.96,0.93,9,111,63.96,0,0,0,0
41,8013,6511,1502,9550,1856,0.19435,320,352,360,64,1,0,0,0,63.96,0.24,1,111,63.96,0,0,0,0
42,8071,6559,1512,9481,1905,0.20093,336,352,360,70,1,0,0,0,63.96,0.00,0,111,63.96,0,0,0,0
43,8011,6509,1502,9344,1825,0.19531,336,352,360,1952,1,1,0,0,63.96,0.21,11,114,63.96,0,0,0,0
44,8009,6508,1501,8766,1580,0.18024,328,352,360,1504,0,1,0,0,63.96,0.27,4,112,63.96,0,0,0,0
45,8018,6514,1504,6329,1454,0.22974,336,352,360,59,0,0,0,0,63.95,0.16,2,112,63.95,0,0,0,0
46,8085,6568,1517,9930,2630,0.26485,320,344,360,3328,1,1,1,0,63.96,0.19,8,124,63.96,0,0,0,0
47,8085,6572,1513,11223,3315,0.29538,320,344,432,148,1,0,0,0,63.97,0.32,7,124,63.97,0,0,0,0
48,8083,6564,1519,10218,2653,0.25964,328,352,360,148,1,0,0,0,63.97,0.17,2,124,63.97,0,0,0,0
