t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8004,6503,1501,6330,1473,0.23270,256,408,432,17,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
2,8004,6506,1498,6356,1509,0.23741,256,408,424,13,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
3,8045,6534,1511,6337,1495,0.23592,256,408,424,11,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
4,8014,6511,1503,6337,1462,0.23071,256,408,432,15,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
5,8003,6504,1499,6301,1482,0.23520,256,408,432,13,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
6,8001,6500,1501,6309,1511,0.23950,256,408,424,12,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
7,8040,6532,1508,6339,1478,0.23316,256,408,440,21,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
8,8014,6509,1505,7544,1594,0.21129,256,408,440,2368,1,0,1,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
9,8031,6529,1502,11401,3737,0.32778,256,400,512,1824,1,1,0,0,63.97,0.28,9,97,63.97,0,0,0,0,0,0
10,8028,6522,1506,10496,2876,0.27401,256,376,512,35,1,0,0,0,63.98,0.23,6,97,63.98,0,0,0,0,0,0
11,8035,6528,1507,10183,2481,0.24364,256,384,424,1632,1,1,0,0,63.98,0.60,12,100,63.98,0,0,0,0,0,0
12,8027,6521,1506,10545,1189,0.11275,256,416,496,1344,1,0,0,0,63.98,0.00,0,100,63.98,0,0,0,0,0,0
13,8011,6509,1502,10549,1505,0.14267,256,416,464,40,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0
14,8007,6506,1501,10507,1812,0.17246,256,416,448,1984,1,1,0,0,63.97,0.46,10,97,63.97,0,0,0,0,0,0
15,8041,6533,1508,10605,1925,0.18152,256,408,440,18,1,0,0,0,63.97,0.49,4,97,63.97,0,0,0,0,0,0
