t,type,level,bytes
-29.927,flush_begin,0,0
-29.912,flush_end,0,6638552
-29.900,flush_begin,0,0
-29.885,flush_end,0,6638554
-29.874,flush_begin,0,0
-29.859,flush_end,0,6638553
-29.849,flush_begin,0,0
-29.833,flush_end,0,6638553
-29.823,flush_begin,0,0
-29.808,flush_end,0,6638553
-29.797,flush_begin,0,0
-29.781,flush_end,0,6638554
-29.772,flush_begin,0,0
-29.757,flush_end,0,6638552
-29.742,flush_begin,0,0
-29.726,flush_end,0,6638554
-29.716,flush_begin,0,0
-29.699,flush_end,0,6638554
-29.691,flush_begin,0,0
-29.675,flush_end,0,6638552
-29.666,flush_begin,0,0
-29.649,flush_end,0,6638553
-29.640,flush_begin,0,0
-29.624,flush_end,0,6638553
-29.614,flush_begin,0,0
-29.598,flush_end,0,6638554
-29.587,flush_begin,0,0
-29.572,flush_end,0,6638552
-29.559,flush_begin,0,0
-29.542,flush_end,0,6638554
-29.531,flush_begin,0,0
-29.516,flush_end,0,6638554
-29.501,trivial_move,3,6638552
-29.499,flush_begin,0,0
-29.482,flush_end,0,6638552
-29.466,trivial_move,3,6638554
-29.463,flush_begin,0,0
-29.448,flush_end,0,6638555
-29.432,trivial_move,3,6638553
-29.428,flush_begin,0,0
-29.412,flush_end,0,6638553
-29.396,trivial_move,3,6638553
-29.394,flush_begin,0,0
-29.378,flush_end,0,6638553
-29.363,trivial_move,3,6638553
-29.360,flush_begin,0,0
-29.343,flush_end,0,6638552
-29.326,trivial_move,3,6638554
-29.326,flush_begin,0,0
-29.311,flush_end,0,6638554
-29.295,trivial_move,3,6638552
-29.291,flush_begin,0,0
-29.275,flush_end,0,6638554
-29.260,trivial_move,3,6638554
-29.259,flush_begin,0,0
-29.243,flush_end,0,6638552
-29.228,trivial_move,3,6638554
-29.224,flush_begin,0,0
-29.209,flush_end,0,6638554
-29.193,trivial_move,3,6638552
-29.190,flush_begin,0,0
-29.174,flush_end,0,6638553
-29.158,trivial_move,3,6638553
-29.155,flush_begin,0,0
-29.141,flush_end,0,6638553
-29.125,trivial_move,3,6638553
-29.120,flush_begin,0,0
-29.104,flush_end,0,6638553
-29.088,trivial_move,3,6638554
-29.084,flush_begin,0,0
-29.069,flush_end,0,6638554
-29.053,trivial_move,3,6638552
-29.049,flush_begin,0,0
-29.033,flush_end,0,6638553
-29.015,trivial_move,3,6638554
-29.015,flush_begin,0,0
-28.998,flush_end,0,6638552
-28.983,trivial_move,3,6638554
-28.981,flush_begin,0,0
-28.963,flush_end,0,6638554
-28.948,trivial_move,3,6638552
-28.945,flush_begin,0,0
-28.928,flush_end,0,6638553
-28.913,trivial_move,3,6638555
-28.911,flush_begin,0,0
-28.894,flush_end,0,6638553
-28.878,trivial_move,3,6638553
-28.875,flush_begin,0,0
-28.858,flush_end,0,6638553
-28.842,trivial_move,3,6638553
-28.840,flush_begin,0,0
-28.823,flush_end,0,6638555
-28.808,trivial_move,3,6638552
-28.806,flush_begin,0,0
-28.789,flush_end,0,6638553
-28.773,trivial_move,3,6638554
-28.771,flush_begin,0,0
-28.755,flush_end,0,6638553
-28.739,trivial_move,3,6638554
-28.737,flush_begin,0,0
-28.720,flush_end,0,6638554
-28.704,trivial_move,3,6638552
-28.702,flush_begin,0,0
-28.685,flush_end,0,6638552
-28.667,trivial_move,3,6638554
-28.667,flush_begin,0,0
-28.650,flush_end,0,6638553
-28.635,trivial_move,3,6638553
-28.634,flush_begin,0,0
-28.616,flush_end,0,6638553
-28.598,trivial_move,3,6638553
-28.598,flush_begin,0,0
-28.581,flush_end,0,6638554
-28.565,trivial_move,3,6638553
-28.564,flush_begin,0,0
-28.548,flush_end,0,6638553
-28.532,trivial_move,3,6638554
-28.529,flush_begin,0,0
-28.513,flush_end,0,6638553
-28.497,trivial_move,3,6638553
-28.495,flush_begin,0,0
-28.479,flush_end,0,6638554
-28.463,trivial_move,3,6638552
-28.463,flush_begin,0,0
-28.446,flush_end,0,6638552
-28.430,trivial_move,3,6638554
-28.429,flush_begin,0,0
-28.412,flush_end,0,6638554
-28.393,trivial_move,3,6638553
-28.393,flush_begin,0,0
-28.377,flush_end,0,6638553
-28.361,trivial_move,3,6638553
-28.359,flush_begin,0,0
-28.344,flush_end,0,6638553
-28.328,trivial_move,3,6638553
-28.325,flush_begin,0,0
-28.308,flush_end,0,6638553
-28.292,trivial_move,3,6638555
-28.290,flush_begin,0,0
-28.274,flush_end,0,6638553
-28.258,trivial_move,3,6638553
-28.257,flush_begin,0,0
-28.240,flush_end,0,6638555
-28.224,trivial_move,3,6638553
-28.221,flush_begin,0,0
-28.204,flush_end,0,6638552
-28.188,trivial_move,3,6638554
-28.187,flush_begin,0,0
-28.171,flush_end,0,6638554
-28.155,trivial_move,3,6638552
-28.154,flush_begin,0,0
-28.139,flush_end,0,6638553
-28.123,trivial_move,3,6638553
-28.121,flush_begin,0,0
-28.104,flush_end,0,6638553
-28.088,trivial_move,3,6638553
-28.085,flush_begin,0,0
-28.069,flush_end,0,6638554
-28.053,trivial_move,3,6638554
-28.050,flush_begin,0,0
-28.033,flush_end,0,6638553
-28.017,trivial_move,3,6638553
-28.015,flush_begin,0,0
-27.997,flush_end,0,6638553
-27.976,trivial_move,3,6638553
-27.976,flush_begin,0,0
-27.955,flush_end,0,6638552
-27.937,trivial_move,3,6638554
-27.937,flush_begin,0,0
-27.920,flush_end,0,6638554
-27.904,trivial_move,3,6638552
-27.903,flush_begin,0,0
-27.886,flush_end,0,6638553
-27.871,trivial_move,3,6638554
-27.871,flush_begin,0,0
-27.855,flush_end,0,6638553
-27.839,trivial_move,3,6638553
-27.837,flush_begin,0,0
-27.818,flush_end,0,6638554
-27.803,trivial_move,3,6638553
-27.802,flush_begin,0,0
-27.785,flush_end,0,6638553
-27.765,trivial_move,3,6638553
-27.765,flush_begin,0,0
-27.747,flush_end,0,6638553
-27.727,trivial_move,3,6638553
-27.727,flush_begin,0,0
-27.709,flush_end,0,6638553
-27.689,trivial_move,3,6638555
-27.689,flush_begin,0,0
-27.669,flush_end,0,6638554
-27.649,trivial_move,3,6638552
-27.649,flush_begin,0,0
-27.631,flush_end,0,6638552
-27.614,trivial_move,3,6638554
-27.614,flush_begin,0,0
-27.608,flush_end,0,1164547
-27.600,compaction_begin,2,0
-27.579,compaction_end,2,6638145
-27.571,compaction_begin,2,0
-27.551,compaction_end,2,6638145
-27.543,compaction_begin,2,0
-27.522,compaction_end,2,6638146
-27.514,compaction_begin,2,0
-27.492,compaction_end,2,6638145
-27.484,compaction_begin,2,0
-27.463,compaction_end,2,6638145
-27.455,compaction_begin,2,0
-27.435,compaction_end,2,6638144
-27.427,compaction_begin,2,0
-27.404,compaction_end,2,6638146
-27.395,compaction_begin,2,0
-27.367,compaction_end,2,6638145
-27.358,compaction_begin,2,0
-27.331,compaction_end,2,6638145
-27.323,compaction_begin,2,0
-27.296,compaction_end,2,6638146
-27.287,compaction_begin,2,0
-27.259,compaction_end,2,6638145
-27.251,compaction_begin,2,0
-27.226,compaction_end,2,6638145
-27.218,compaction_begin,2,0
-27.193,compaction_end,2,6638145
-27.184,compaction_begin,2,0
-27.158,compaction_end,2,6638146
-27.150,compaction_begin,2,0
-27.124,compaction_end,2,6638144
-27.116,compaction_begin,2,0
-27.108,compaction_end,2,1164547
10.545,flush_begin,0,0
10.596,flush_end,0,6553950
10.749,compaction_begin,1,0
11.489,compaction_end,1,3958259
11.552,compaction_begin,2,0
17.261,compaction_end,2,46468047
17.282,compaction_begin,2,0
24.521,compaction_end,2,46468050
24.535,compaction_begin,2,0
31.798,compaction_end,2,46468049
31.809,compaction_begin,2,0
38.170,compaction_end,2,44118863
38.180,compaction_begin,2,0
44.796,compaction_end,2,46468049
44.813,compaction_begin,2,0
48.325,flush_begin,0,0
48.368,flush_end,0,6554522
50.154,compaction_end,2,46468050
50.165,compaction_begin,1,0
50.901,compaction_end,1,5684868
50.973,compaction_begin,2,0
55.817,compaction_end,2,42890503
55.835,compaction_begin,2,0
62.579,compaction_end,2,42179009
62.600,compaction_begin,2,0
69.588,compaction_end,2,45239611
69.598,compaction_begin,2,0
76.847,compaction_end,2,45649094
76.875,compaction_begin,2,0
84.391,compaction_end,2,44937621
84.409,compaction_begin,2,0
85.831,flush_begin,0,0
85.884,flush_end,0,6553818
87.886,compaction_end,2,43407423
87.895,compaction_begin,1,0
88.821,compaction_end,1,6965923
88.890,compaction_begin,2,0
94.120,compaction_end,2,42890503
94.146,compaction_begin,2,0
100.696,compaction_end,2,42890390
100.718,compaction_begin,2,0
107.665,compaction_end,2,44528185
107.679,compaction_begin,2,0
113.972,compaction_end,2,42179011
113.984,compaction_begin,2,0
120.724,compaction_end,2,43407538
120.752,compaction_begin,2,0
123.582,flush_begin,0,0
