t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8007,6504,1503,2959,1778,0.60088,7,344,352,68,0,0,0,0,63.96,1.12,9,86,63.96,0,0,0,0,0,0
2,8011,6509,1502,2939,1752,0.59612,6,344,352,60,0,0,0,0,63.96,1.27,10,86,63.96,0,0,0,0,0,0
3,8064,6553,1511,2851,1682,0.58997,6,344,352,62,0,0,0,0,63.96,0.96,9,86,63.96,0,0,0,0,0,0
4,8018,6513,1505,2885,1732,0.60035,6,344,352,60,0,0,0,0,63.96,0.97,9,86,63.96,0,0,0,0,0,0
5,8018,6515,1503,2889,1711,0.59225,6,344,352,58,0,0,0,0,63.96,0.81,7,86,63.96,0,0,0,0,0,0
6,8024,6520,1504,2973,1753,0.58964,7,344,352,61,0,0,0,0,63.96,0.66,6,86,63.96,0,0,0,0,0,0
7,8025,6522,1503,2801,1649,0.58872,7,344,352,64,0,0,0,0,63.96,0.43,5,86,63.96,0,0,0,0,0,0
8,8014,6510,1504,4748,2513,0.52928,8,344,352,80,1,0,1,0,63.98,0.25,4,87,63.98,238,0,0,0,0,0
9,8013,6511,1502,6521,4298,0.65910,7,336,352,2880,1,1,0,0,63.96,0.41,10,97,63.96,6646,0,0,0,0,0
10,8007,6505,1502,6790,4991,0.73505,6,336,352,1664,1,0,0,0,63.96,0.47,13,97,63.96,0,0,0,0,0,0
11,8083,6568,1515,5625,3893,0.69209,10,344,360,58,1,0,0,0,63.97,0.56,15,97,63.97,0,0,0,0,0,0
12,8010,6507,1503,5424,3581,0.66021,10,344,360,3008,1,0,0,0,63.97,0.60,13,97,63.97,0,0,0,0,0,0
13,8012,6510,1502,5830,3676,0.63053,6,336,344,57,1,0,0,0,63.96,0.77,13,97,63.96,0,0,0,0,0,0
14,8063,6551,1512,5586,3521,0.63033,7,336,352,68,1,0,0,0,63.96,0.68,11,97,63.96,0,0,0,0,0,0
15,8012,6511,1501,4887,1546,0.31635,8,336,344,212,1,1,0,0,38.95,1.05,13,100,38.96,1435,0,0,0,0,0
16,8009,6508,1501,5255,1875,0.35680,6,336,344,51,1,0,0,0,46.37,0.73,9,100,46.37,0,0,0,0,0,0
17,8009,6505,1504,4569,1894,0.41453,7,336,352,58,1,0,0,0,53.04,0.80,8,100,53.04,0,0,0,0,0,0
18,8015,6513,1502,5322,2166,0.40699,6,336,344,52,1,0,0,0,59.19,1.18,10,100,59.19,0,0,0,0,0,0
19,8027,6522,1505,4694,2140,0.45590,5,336,344,57,1,0,0,0,63.69,1.24,10,100,63.70,0,0,0,0,0,0
20,8039,6534,1505,5149,2342,0.45485,6,336,352,56,1,0,0,0,63.96,1.15,10,100,63.96,0,0,0,0,0,0
21,8090,6570,1520,4582,2194,0.47883,7,344,352,58,1,0,0,0,63.96,1.15,10,100,63.96,0,0,0,0,0,0
22,8084,6568,1516,4875,2217,0.45477,8,344,352,68,1,1,0,0,57.28,1.49,20,103,57.29,1264,0,0,0,0,0
23,8088,6572,1516,4799,2150,0.44801,10,352,360,70,1,0,0,0,62.28,1.90,16,103,62.28,0,0,0,0,0,0
24,8019,6517,1502,4653,2207,0.47432,9,352,360,66,1,0,0,0,63.96,1.88,14,103,63.96,0,0,0,0,0,0
25,8011,6509,1502,4480,2180,0.48661,10,352,360,64,1,0,0,0,63.96,1.47,11,103,63.96,0,0,0,0,0,0
26,8030,6523,1507,4980,2290,0.45984,10,352,360,64,1,0,0,0,63.96,0.95,8,103,63.96,0,0,0,0,0,0
27,8066,6554,1512,4455,2226,0.49966,6,344,352,57,1,0,0,0,63.96,0.72,7,103,63.96,0,0,0,0,0,0
28,8002,6505,1497,4989,2245,0.44999,4,328,336,45,1,0,0,0,63.96,0.53,6,103,63.96,0,0,0,0,0,0
29,8027,6518,1509,4945,2048,0.41416,2,312,312,2240,1,1,0,0,57.38,0.85,18,106,57.38,556,0,0,0,0,0
30,8002,6505,1497,4317,1954,0.45263,3,312,320,44,1,0,0,0,62.04,1.20,16,106,62.04,0,0,0,0,0,0
31,8026,6518,1508,4903,2033,0.41464,3,312,320,33,1,0,0,0,63.96,1.42,14,106,63.96,0,0,0,0,0,0
32,8009,6509,1500,4770,1967,0.41237,2,312,320,36,1,0,0,0,63.96,1.09,10,106,63.96,0,0,0,0,0,0
33,8081,6564,1517,4292,1919,0.44711,2,312,320,34,1,0,0,0,63.96,0.80,7,106,63.96,0,0,0,0,0,0
34,8004,6503,1501,5094,2006,0.39380,3,312,320,34,1,0,0,0,63.96,0.65,6,106,63.96,0,0,0,0,0,0
35,8004,6505,1499,4252,1919,0.45132,3,312,320,35,1,0,0,0,63.96,0.66,6,106,63.96,0,0,0,0,0,0
36,8004,6502,1502,4932,1948,0.39497,2,312,320,236,1,1,0,0,63.86,1.08,18,109,63.86,989,0,0,0,0,0
37,8002,6502,1500,4415,1882,0.42627,3,312,320,35,1,0,0,0,63.96,1.32,18,109,63.96,0,0,0,0,0,0
38,8068,6556,1512,4521,1992,0.44061,2,312,320,33,1,0,0,0,63.96,1.14,16,109,63.96,0,0,0,0,0,0
39,8009,6509,1500,4963,2030,0.40903,3,312,328,47,1,0,0,0,63.96,1.52,16,109,63.96,0,0,0,0,0,0
40,8008,6505,1503,4230,1875,0.44326,3,320,328,52,1,0,0,0,63.96,1.43,14,109,63.96,0,0,0,0,0,0
41,8001,6501,1500,4610,1890,0.40998,3,320,328,37,1,0,0,0,63.96,1.47,14,109,63.96,0,0,0,0,0,0
42,8085,6570,1515,4771,1876,0.39321,6,336,352,256,1,1,0,0,59.53,1.72,24,112,59.53,800,0,0,0,0,0
43,8046,6534,1512,3887,1757,0.45202,9,352,360,64,1,0,0,0,63.75,2.23,24,112,63.75,0,0,0,0,0,0
44,8014,6512,1502,4743,1876,0.39553,8,344,352,56,1,0,0,0,63.96,2.12,21,112,63.96,0,0,0,0,0,0
45,8014,6512,1502,4071,1798,0.44166,9,352,360,66,1,0,0,0,63.96,2.41,20,112,63.96,0,0,0,0,0,0
46,8029,6524,1505,6758,2812,0.41610,8,344,352,2016,1,0,1,0,63.98,2.29,18,113,63.98,0,0,0,0,0,0
47,8010,6507,1503,7553,3216,0.42579,4,320,336,2112,1,1,0,0,59.43,1.52,12,116,59.43,600,0,0,0,0,0
48,8083,6568,1515,7269,4348,0.59816,7,328,344,2624,1,1,0,0,62.34,1.67,25,121,62.34,6563,0,0,0,0,0
49,8033,6526,1507,6081,4451,0.73195,3,312,328,27,1,0,0,0,63.96,1.51,24,121,63.96,0,0,0,0,0,0
50,8089,6573,1516,6505,4457,0.68517,6,336,352,60,1,0,0,0,63.96,1.63,22,121,63.96,0,0,0,0,0,0
51,8019,6516,1503,5039,3340,0.66283,11,352,360,1472,1,0,0,0,63.96,1.36,18,121,63.96,0,0,0,0,0,0
52,8026,6520,1506,5666,3536,0.62407,10,344,360,58,1,0,0,0,63.96,1.14,14,121,63.96,0,0,0,0,0,0
53,8009,6507,1502,5533,2425,0.43828,6,328,352,114,1,1,0,0,36.84,1.77,18,120,36.85,820,0,0,0,0,0
54,8084,6569,1515,4848,1450,0.29909,6,336,344,68,1,0,0,0,45.27,1.26,10,120,45.28,0,0,0,0,0,0
55,8039,6531,1508,4992,1728,0.34615,9,344,352,64,1,0,0,0,52.02,1.57,11,120,52.03,0,0,0,0,0,0
56,8018,6517,1501,4423,1869,0.42256,11,352,360,66,1,0,0,0,58.45,1.17,9,120,58.45,0,0,0,0,0,0
