t,type,level,bytes
-29.942,flush_begin,0,0
-29.925,flush_end,0,6638552
-29.916,flush_begin,0,0
-29.899,flush_end,0,6638554
-29.891,flush_begin,0,0
-29.874,flush_end,0,6638553
-29.866,flush_begin,0,0
-29.849,flush_end,0,6638553
-29.841,flush_begin,0,0
-29.824,flush_end,0,6638553
-29.816,flush_begin,0,0
-29.800,flush_end,0,6638554
-29.791,flush_begin,0,0
-29.775,flush_end,0,6638552
-29.766,flush_begin,0,0
-29.750,flush_end,0,6638554
-29.742,flush_begin,0,0
-29.726,flush_end,0,6638554
-29.717,flush_begin,0,0
-29.700,flush_end,0,6638552
-29.691,flush_begin,0,0
-29.675,flush_end,0,6638553
-29.667,flush_begin,0,0
-29.650,flush_end,0,6638553
-29.642,flush_begin,0,0
-29.627,flush_end,0,6638554
-29.618,flush_begin,0,0
-29.602,flush_end,0,6638552
-29.593,flush_begin,0,0
-29.577,flush_end,0,6638554
-29.569,flush_begin,0,0
-29.552,flush_end,0,6638554
-29.533,trivial_move,3,6638552
-29.533,flush_begin,0,0
-29.516,flush_end,0,6638552
-29.498,trivial_move,3,6638554
-29.498,flush_begin,0,0
-29.482,flush_end,0,6638555
-29.465,trivial_move,3,6638553
-29.464,flush_begin,0,0
-29.448,flush_end,0,6638553
-29.429,trivial_move,3,6638553
-29.429,flush_begin,0,0
-29.412,flush_end,0,6638553
-29.395,trivial_move,3,6638553
-29.395,flush_begin,0,0
-29.378,flush_end,0,6638552
-29.359,trivial_move,3,6638554
-29.359,flush_begin,0,0
-29.342,flush_end,0,6638554
-29.325,trivial_move,3,6638552
-29.325,flush_begin,0,0
-29.307,flush_end,0,6638554
-29.289,trivial_move,3,6638554
-29.289,flush_begin,0,0
-29.273,flush_end,0,6638552
-29.255,trivial_move,3,6638554
-29.255,flush_begin,0,0
-29.237,flush_end,0,6638554
-29.220,trivial_move,3,6638552
-29.220,flush_begin,0,0
-29.202,flush_end,0,6638553
-29.183,trivial_move,3,6638553
-29.183,flush_begin,0,0
-29.166,flush_end,0,6638553
-29.147,trivial_move,3,6638553
-29.147,flush_begin,0,0
-29.130,flush_end,0,6638553
-29.112,trivial_move,3,6638554
-29.112,flush_begin,0,0
-29.095,flush_end,0,6638554
-29.077,trivial_move,3,6638552
-29.077,flush_begin,0,0
-29.060,flush_end,0,6638553
-29.043,trivial_move,3,6638554
-29.043,flush_begin,0,0
-29.026,flush_end,0,6638552
-29.009,trivial_move,3,6638554
-29.009,flush_begin,0,0
-28.989,flush_end,0,6638554
-28.970,trivial_move,3,6638552
-28.970,flush_begin,0,0
-28.953,flush_end,0,6638553
-28.936,trivial_move,3,6638555
-28.936,flush_begin,0,0
-28.918,flush_end,0,6638553
-28.901,trivial_move,3,6638553
-28.901,flush_begin,0,0
-28.884,flush_end,0,6638553
-28.866,trivial_move,3,6638553
-28.866,flush_begin,0,0
-28.850,flush_end,0,6638555
-28.832,trivial_move,3,6638552
-28.832,flush_begin,0,0
-28.815,flush_end,0,6638553
-28.795,trivial_move,3,6638554
-28.795,flush_begin,0,0
-28.778,flush_end,0,6638553
-28.759,trivial_move,3,6638554
-28.759,flush_begin,0,0
-28.738,flush_end,0,6638554
-28.720,trivial_move,3,6638552
-28.720,flush_begin,0,0
-28.702,flush_end,0,6638552
-28.683,trivial_move,3,6638554
-28.683,flush_begin,0,0
-28.665,flush_end,0,6638553
-28.645,trivial_move,3,6638553
-28.645,flush_begin,0,0
-28.628,flush_end,0,6638553
-28.609,trivial_move,3,6638553
