t,type,level,bytes
-29.918,flush_begin,0,0
-29.887,flush_end,0,6638552
-29.876,flush_begin,0,0
-29.845,flush_end,0,6638554
-29.834,flush_begin,0,0
-29.801,flush_end,0,6638553
-29.790,flush_begin,0,0
-29.759,flush_end,0,6638553
-29.748,flush_begin,0,0
-29.715,flush_end,0,6638553
-29.705,flush_begin,0,0
-29.673,flush_end,0,6638554
-29.662,flush_begin,0,0
-29.624,flush_end,0,6638552
-29.613,flush_begin,0,0
-29.575,flush_end,0,6638554
-29.563,flush_begin,0,0
-29.525,flush_end,0,6638554
-29.512,flush_begin,0,0
-29.475,flush_end,0,6638552
-29.463,flush_begin,0,0
-29.423,flush_end,0,6638553
-29.411,flush_begin,0,0
-29.373,flush_end,0,6638553
-29.362,flush_begin,0,0
-29.324,flush_end,0,6638554
-29.312,flush_begin,0,0
-29.274,flush_end,0,6638552
-29.263,flush_begin,0,0
-29.225,flush_end,0,6638554
-29.214,flush_begin,0,0
-29.177,flush_end,0,6638554
-29.161,trivial_move,3,6638552
-29.159,flush_begin,0,0
-29.121,flush_end,0,6638552
-29.104,trivial_move,3,6638554
-29.102,flush_begin,0,0
-29.065,flush_end,0,6638555
-29.048,trivial_move,3,6638553
-29.045,flush_begin,0,0
-29.006,flush_end,0,6638553
-28.989,trivial_move,3,6638553
-28.987,flush_begin,0,0
-28.950,flush_end,0,6638553
-28.934,trivial_move,3,6638553
-28.933,flush_begin,0,0
-28.886,flush_end,0,6638552
-28.868,trivial_move,3,6638554
-28.868,flush_begin,0,0
-28.830,flush_end,0,6638554
-28.814,trivial_move,3,6638552
-28.814,flush_begin,0,0
-28.777,flush_end,0,6638554
-28.761,trivial_move,3,6638554
-28.760,flush_begin,0,0
-28.722,flush_end,0,6638552
-28.706,trivial_move,3,6638554
-28.706,flush_begin,0,0
-28.668,flush_end,0,6638554
-28.653,trivial_move,3,6638552
-28.653,flush_begin,0,0
-28.615,flush_end,0,6638553
-28.599,trivial_move,3,6638553
-28.598,flush_begin,0,0
-28.563,flush_end,0,6638553
-28.548,trivial_move,3,6638553
-28.546,flush_begin,0,0
-28.508,flush_end,0,6638553
-28.491,trivial_move,3,6638554
-28.491,flush_begin,0,0
-28.460,flush_end,0,6638554
-28.444,trivial_move,3,6638552
-28.443,flush_begin,0,0
-28.409,flush_end,0,6638553
-28.393,trivial_move,3,6638554
-28.392,flush_begin,0,0
-28.360,flush_end,0,6638552
-28.344,trivial_move,3,6638554
-28.342,flush_begin,0,0
-28.308,flush_end,0,6638554
-28.292,trivial_move,3,6638552
-28.291,flush_begin,0,0
-28.256,flush_end,0,6638553
-28.240,trivial_move,3,6638555
-28.238,flush_begin,0,0
-28.201,flush_end,0,6638553
-28.184,trivial_move,3,6638553
-28.184,flush_begin,0,0
-28.151,flush_end,0,6638553
-28.135,trivial_move,3,6638553
-28.135,flush_begin,0,0
-28.104,flush_end,0,6638555
-28.085,trivial_move,3,6638552
-28.084,flush_begin,0,0
-28.050,flush_end,0,6638553
-28.033,trivial_move,3,6638554
-28.031,flush_begin,0,0
-27.999,flush_end,0,6638553
-27.983,trivial_move,3,6638554
-27.982,flush_begin,0,0
-27.948,flush_end,0,6638554
-27.931,trivial_move,3,6638552
-27.929,flush_begin,0,0
-27.898,flush_end,0,6638552
-27.882,trivial_move,3,6638554
-27.879,flush_begin,0,0
-27.844,flush_end,0,6638553
-27.828,trivial_move,3,6638553
-27.826,flush_begin,0,0
-27.790,flush_end,0,6638553
-27.771,trivial_move,3,6638553
-27.771,flush_begin,0,0
-27.738,flush_end,0,6638554
-27.722,trivial_move,3,6638553
-27.722,flush_begin,0,0
-27.687,flush_end,0,6638553
-27.678,flush_begin,0,0
-27.645,flush_end,0,6638553
-27.628,trivial_move,3,6638554
-27.620,trivial_move,3,6638553
-27.619,flush_begin,0,0
-27.582,flush_end,0,6638554
-27.566,trivial_move,3,6638552
-27.563,flush_begin,0,0
-27.529,flush_end,0,6638552
-27.513,trivial_move,3,6638554
-27.512,flush_begin,0,0
-27.478,flush_end,0,6638554
-27.462,trivial_move,3,6638553
-27.460,flush_begin,0,0
-27.425,flush_end,0,6638553
-27.408,trivial_move,3,6638553
-27.406,flush_begin,0,0
-27.374,flush_end,0,6638553
-27.357,trivial_move,3,6638553
-27.354,flush_begin,0,0
-27.319,flush_end,0,6638553
-27.301,trivial_move,3,6638555
-27.301,flush_begin,0,0
-27.265,flush_end,0,6638553
-27.248,trivial_move,3,6638553
-27.247,flush_begin,0,0
-27.209,flush_end,0,6638555
-27.193,trivial_move,3,6638553
-27.191,flush_begin,0,0
-27.158,flush_end,0,6638552
-27.141,trivial_move,3,6638554
-27.141,flush_begin,0,0
-27.109,flush_end,0,6638554
-27.093,trivial_move,3,6638552
-27.091,flush_begin,0,0
-27.059,flush_end,0,6638553
-27.042,trivial_move,3,6638553
-27.042,flush_begin,0,0
-27.009,flush_end,0,6638553
-26.993,trivial_move,3,6638553
-26.992,flush_begin,0,0
-26.959,flush_end,0,6638554
-26.942,trivial_move,3,6638554
-26.940,flush_begin,0,0
-26.904,flush_end,0,6638553
-26.887,trivial_move,3,6638553
-26.887,flush_begin,0,0
-26.856,flush_end,0,6638553
-26.839,trivial_move,3,6638553
-26.839,flush_begin,0,0
-26.803,flush_end,0,6638552
-26.787,trivial_move,3,6638554
-26.787,flush_begin,0,0
-26.748,flush_end,0,6638554
-26.732,trivial_move,3,6638552
-26.732,flush_begin,0,0
-26.697,flush_end,0,6638553
-26.681,trivial_move,3,6638554
-26.680,flush_begin,0,0
-26.647,flush_end,0,6638553
-26.631,trivial_move,3,6638553
-26.629,flush_begin,0,0
-26.595,flush_end,0,6638554
-26.579,trivial_move,3,6638553
-26.578,flush_begin,0,0
-26.542,flush_end,0,6638553
-26.524,trivial_move,3,6638553
-26.524,flush_begin,0,0
-26.490,flush_end,0,6638553
-26.474,trivial_move,3,6638553
-26.472,flush_begin,0,0
-26.439,flush_end,0,6638553
-26.422,trivial_move,3,6638555
-26.420,flush_begin,0,0
-26.388,flush_end,0,6638554
-26.371,trivial_move,3,6638552
-26.369,flush_begin,0,0
-26.337,flush_end,0,6638552
