t,type,level,bytes
-29.919,flush_begin,0,0
-29.889,flush_end,0,6638552
-29.880,flush_begin,0,0
-29.851,flush_end,0,6638554
-29.842,flush_begin,0,0
-29.808,flush_end,0,6638553
-29.798,flush_begin,0,0
-29.766,flush_end,0,6638553
-29.757,flush_begin,0,0
-29.726,flush_end,0,6638553
-29.718,flush_begin,0,0
-29.686,flush_end,0,6638554
-29.677,flush_begin,0,0
-29.642,flush_end,0,6638552
-29.633,flush_begin,0,0
-29.602,flush_end,0,6638554
-29.593,flush_begin,0,0
-29.561,flush_end,0,6638554
-29.552,flush_begin,0,0
-29.518,flush_end,0,6638552
-29.509,flush_begin,0,0
-29.474,flush_end,0,6638553
-29.465,flush_begin,0,0
-29.435,flush_end,0,6638553
-29.425,flush_begin,0,0
-29.395,flush_end,0,6638554
-29.386,flush_begin,0,0
-29.355,flush_end,0,6638552
-29.346,flush_begin,0,0
-29.314,flush_end,0,6638554
-29.305,flush_begin,0,0
-29.275,flush_end,0,6638554
-29.258,trivial_move,3,6638552
-29.258,flush_begin,0,0
-29.225,flush_end,0,6638552
-29.207,trivial_move,3,6638554
-29.207,flush_begin,0,0
-29.178,flush_end,0,6638555
-29.159,trivial_move,3,6638553
-29.159,flush_begin,0,0
-29.129,flush_end,0,6638553
-29.110,trivial_move,3,6638553
-29.110,flush_begin,0,0
-29.083,flush_end,0,6638553
-29.066,trivial_move,3,6638553
-29.066,flush_begin,0,0
-29.037,flush_end,0,6638552
-29.019,trivial_move,3,6638554
-29.019,flush_begin,0,0
-28.991,flush_end,0,6638554
-28.973,trivial_move,3,6638552
-28.973,flush_begin,0,0
-28.945,flush_end,0,6638554
-28.928,trivial_move,3,6638554
-28.928,flush_begin,0,0
-28.898,flush_end,0,6638552
-28.881,trivial_move,3,6638554
-28.881,flush_begin,0,0
-28.840,flush_end,0,6638554
-28.821,trivial_move,3,6638552
-28.821,flush_begin,0,0
-28.789,flush_end,0,6638553
-28.771,trivial_move,3,6638553
-28.771,flush_begin,0,0
-28.735,flush_end,0,6638553
-28.717,trivial_move,3,6638553
-28.717,flush_begin,0,0
-28.688,flush_end,0,6638553
-28.670,trivial_move,3,6638554
-28.670,flush_begin,0,0
-28.636,flush_end,0,6638554
-28.619,trivial_move,3,6638552
-28.619,flush_begin,0,0
-28.589,flush_end,0,6638553
-28.570,trivial_move,3,6638554
-28.570,flush_begin,0,0
-28.539,flush_end,0,6638552
-28.521,trivial_move,3,6638554
-28.521,flush_begin,0,0
-28.494,flush_end,0,6638554
-28.475,trivial_move,3,6638552
-28.475,flush_begin,0,0
-28.444,flush_end,0,6638553
-28.427,trivial_move,3,6638555
-28.427,flush_begin,0,0
-28.397,flush_end,0,6638553
-28.378,trivial_move,3,6638553
-28.378,flush_begin,0,0
-28.348,flush_end,0,6638553
-28.333,trivial_move,3,6638553
-28.333,flush_begin,0,0
-28.303,flush_end,0,6638555
-28.284,trivial_move,3,6638552
-28.284,flush_begin,0,0
-28.252,flush_end,0,6638553
-28.234,trivial_move,3,6638554
-28.234,flush_begin,0,0
-28.205,flush_end,0,6638553
-28.187,trivial_move,3,6638554
-28.187,flush_begin,0,0
-28.159,flush_end,0,6638554
-28.139,trivial_move,3,6638552
-28.139,flush_begin,0,0
-28.109,flush_end,0,6638552
-28.091,trivial_move,3,6638554
-28.091,flush_begin,0,0
-28.062,flush_end,0,6638553
-28.043,trivial_move,3,6638553
-28.043,flush_begin,0,0
-28.015,flush_end,0,6638553
-27.997,trivial_move,3,6638553
-27.997,flush_begin,0,0
-27.968,flush_end,0,6638554
-27.949,trivial_move,3,6638553
-27.949,flush_begin,0,0
-27.921,flush_end,0,6638553
-27.903,trivial_move,3,6638554
-27.903,flush_begin,0,0
-27.875,flush_end,0,6638553
-27.857,trivial_move,3,6638553
-27.857,flush_begin,0,0
-27.829,flush_end,0,6638554
-27.811,trivial_move,3,6638552
-27.811,flush_begin,0,0
-27.782,flush_end,0,6638552
-27.764,trivial_move,3,6638554
-27.764,flush_begin,0,0
-27.736,flush_end,0,6638554
-27.719,trivial_move,3,6638553
-27.719,flush_begin,0,0
-27.690,flush_end,0,6638553
-27.673,trivial_move,3,6638553
-27.673,flush_begin,0,0
-27.643,flush_end,0,6638553
-27.625,trivial_move,3,6638553
-27.625,flush_begin,0,0
-27.595,flush_end,0,6638553
-27.578,trivial_move,3,6638555
-27.578,flush_begin,0,0
-27.547,flush_end,0,6638553
-27.529,trivial_move,3,6638553
-27.529,flush_begin,0,0
-27.500,flush_end,0,6638555
-27.481,trivial_move,3,6638553
-27.481,flush_begin,0,0
-27.440,flush_end,0,6638552
-27.420,trivial_move,3,6638554
-27.420,flush_begin,0,0
-27.389,flush_end,0,6638554
-27.338,trivial_move,3,6638552
-27.338,flush_begin,0,0
-27.306,flush_end,0,6638553
-27.285,trivial_move,3,6638553
-27.285,flush_begin,0,0
-27.255,flush_end,0,6638553
-27.239,trivial_move,3,6638553
-27.239,flush_begin,0,0
-27.212,flush_end,0,6638554
