t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8014,6510,1504,2896,1738,0.60014,4,432,456,21,0,0,0,0,63.96,1.46,12,86,63.96,0,135196,322,0,135196,322,24038,0
2,8010,6510,1500,2885,1733,0.60069,4,432,456,21,0,0,0,0,63.96,1.45,12,86,63.96,0,135196,322,0,135196,322,24038,0
3,8006,6502,1504,2884,1763,0.61130,4,432,456,39,0,0,0,0,63.96,1.06,9,86,63.96,0,135196,322,0,135196,322,24038,0
4,8011,6509,1502,2879,1701,0.59083,4,440,464,38,0,0,0,0,63.96,1.26,10,86,63.96,0,135196,322,0,135196,322,24038,0
5,8006,6507,1499,2884,1726,0.59847,4,432,456,23,0,0,0,0,63.96,1.18,9,86,63.96,0,135196,322,0,135196,322,24038,0
6,8008,6506,1502,2884,1693,0.58703,4,432,456,21,0,0,0,0,63.96,0.99,8,86,63.96,0,135196,322,0,135196,322,24038,0
7,8020,6517,1503,2861,1682,0.58791,4,432,456,22,0,0,0,0,63.96,0.66,6,86,63.96,0,135196,322,0,135196,322,24038,0
8,8015,6510,1505,2799,1625,0.58056,4,432,456,20,0,0,0,0,63.96,6.27,8,86,63.96,0,135196,322,0,136616,322,24038,0
9,8022,6520,1502,4277,3077,0.71943,4,432,456,3008,1,1,1,0,63.83,6.93,14,97,63.84,8021,136745,693,0,138921,881,27929,3764
10,8016,6512,1504,4098,2876,0.70181,4,432,448,22,1,0,0,0,63.98,17.40,16,97,63.98,0,136745,693,0,141683,982,30030,5244
11,8005,6503,1502,4005,2720,0.67915,4,424,456,21,1,0,0,0,63.98,25.08,18,97,63.98,0,136961,693,0,143829,1025,32453,6639
12,8007,6507,1500,3836,2543,0.66293,4,424,456,31,1,0,0,0,63.97,28.34,18,97,63.97,0,138153,702,0,145721,1047,34180,7116
13,8005,6504,1501,3755,2300,0.61252,4,416,448,20,1,0,0,0,63.97,27.64,17,97,63.97,0,139529,715,0,146898,1059,36245,7422
14,8026,6520,1506,3656,1926,0.52681,4,424,456,352,1,1,0,0,63.97,0.35,10,100,63.97,1042,141490,732,0,148775,1150,37724,7650
15,8013,6514,1499,3585,1634,0.45579,4,416,448,31,1,0,0,0,63.96,7.83,12,100,63.96,0,143449,753,0,150690,1492,39167,7838
16,8006,6501,1505,3496,1839,0.52603,4,400,440,27,1,0,0,0,63.96,12.52,17,100,63.96,0,144737,792,0,151844,1683,41226,8149
17,8007,6507,1500,3423,1794,0.52410,4,424,456,23,1,0,0,0,63.97,20.55,20,100,63.97,0,146348,863,0,153890,1779,42603,8358
18,8005,6504,1501,3354,1811,0.53995,4,424,456,32,1,0,0,0,63.96,27.38,23,100,63.96,0,147744,1012,0,155591,1817,44311,8686
19,8006,6504,1502,3284,1781,0.54233,4,416,448,21,1,0,0,0,63.96,28.89,25,100,63.96,0,149288,1294,0,156959,1819,46150,8889
20,8006,6507,1499,3371,1825,0.54138,4,424,448,22,1,0,0,0,63.96,29.76,25,100,63.96,0,151363,1545,0,159005,1819,47440,9004
21,8006,6503,1503,3289,1795,0.54576,4,408,448,336,1,1,0,0,60.66,2.50,21,103,60.67,225,152319,1615,0,160169,1908,49277,9110
22,8006,6505,1501,3244,1885,0.58107,4,416,440,20,1,0,0,0,63.96,9.52,22,103,63.96,0,153690,1696,0,161905,2069,50739,9160
23,8019,6516,1503,3196,1846,0.57760,4,408,488,312,1,0,0,0,63.96,14.33,19,103,63.96,0,155317,1754,0,163252,2190,52350,9201
24,8004,6503,1501,3168,1765,0.55713,4,416,456,26,1,0,0,0,63.96,20.79,18,103,63.96,0,157101,1782,0,164974,2262,53761,9251
25,8012,6511,1501,3167,1733,0.54721,4,416,448,114,1,0,0,0,63.96,26.26,19,103,63.96,0,158706,1798,0,166392,2297,55424,9324
26,8009,6506,1503,3236,1711,0.52874,4,416,440,21,1,0,0,0,63.96,29.28,21,103,63.96,0,160422,1940,0,168043,2302,56923,9367
27,8007,6505,1502,3158,1637,0.51837,4,408,448,26,1,0,0,0,63.96,29.77,22,103,63.96,0,162209,2085,0,169800,2302,58327,9389
28,8007,6508,1499,3160,1668,0.52785,4,400,440,82,1,1,0,0,63.96,4.70,14,99,63.96,806,163576,2176,0,170943,2323,60263,9573
29,8004,6506,1498,3086,1616,0.52366,4,424,456,36,1,0,0,0,63.96,12.78,17,99,63.96,0,165543,2253,0,172989,2345,61552,9700
30,8008,6502,1506,3047,1612,0.52904,4,408,448,25,1,0,0,0,63.96,17.75,19,99,63.96,0,167047,2280,0,174217,2362,63461,9884
31,8006,6506,1500,3060,1592,0.52026,4,416,448,22,1,0,0,0,63.96,24.96,19,99,63.96,0,168866,2289,0,176058,2374,64967,10062
32,8005,6506,1499,3045,1532,0.50312,4,408,448,30,1,0,0,0,63.96,29.60,21,99,63.96,0,170341,2306,0,177745,2376,66541,10232
