t,type,level,bytes
-29.909,flush_begin,0,0
-29.891,flush_end,0,6638552
-29.881,flush_begin,0,0
-29.864,flush_end,0,6638554
-29.854,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.829,flush_begin,0,0
-29.813,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.788,flush_end,0,6638553
-29.778,flush_begin,0,0
-29.762,flush_end,0,6638554
-29.753,flush_begin,0,0
-29.737,flush_end,0,6638552
-29.728,flush_begin,0,0
-29.712,flush_end,0,6638554
-29.702,flush_begin,0,0
-29.687,flush_end,0,6638554
-29.678,flush_begin,0,0
-29.662,flush_end,0,6638552
-29.653,flush_begin,0,0
-29.637,flush_end,0,6638553
-29.628,flush_begin,0,0
-29.611,flush_end,0,6638553
-29.602,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.578,flush_begin,0,0
-29.562,flush_end,0,6638552
-29.553,flush_begin,0,0
-29.538,flush_end,0,6638554
-29.528,flush_begin,0,0
-29.512,flush_end,0,6638554
-29.496,trivial_move,3,6638552
-29.496,flush_begin,0,0
-29.480,flush_end,0,6638552
-29.463,trivial_move,3,6638554
-29.463,flush_begin,0,0
-29.446,flush_end,0,6638555
-29.430,trivial_move,3,6638553
-29.430,flush_begin,0,0
-29.414,flush_end,0,6638553
-29.398,trivial_move,3,6638553
-29.398,flush_begin,0,0
-29.382,flush_end,0,6638553
-29.366,trivial_move,3,6638553
-29.366,flush_begin,0,0
-29.350,flush_end,0,6638552
-29.334,trivial_move,3,6638554
-29.334,flush_begin,0,0
-29.318,flush_end,0,6638554
-29.302,trivial_move,3,6638552
-29.301,flush_begin,0,0
-29.285,flush_end,0,6638554
-29.269,trivial_move,3,6638554
-29.268,flush_begin,0,0
-29.253,flush_end,0,6638552
-29.237,trivial_move,3,6638554
-29.236,flush_begin,0,0
-29.220,flush_end,0,6638554
-29.204,trivial_move,3,6638552
-29.203,flush_begin,0,0
-29.187,flush_end,0,6638553
-29.171,trivial_move,3,6638553
-29.170,flush_begin,0,0
-29.154,flush_end,0,6638553
-29.138,trivial_move,3,6638553
-29.137,flush_begin,0,0
-29.121,flush_end,0,6638553
-29.105,trivial_move,3,6638554
-29.104,flush_begin,0,0
-29.087,flush_end,0,6638554
-29.071,trivial_move,3,6638552
-29.070,flush_begin,0,0
-29.054,flush_end,0,6638553
-29.038,trivial_move,3,6638554
-29.037,flush_begin,0,0
-29.020,flush_end,0,6638552
-29.002,trivial_move,3,6638554
-29.002,flush_begin,0,0
-28.985,flush_end,0,6638554
-28.969,trivial_move,3,6638552
-28.969,flush_begin,0,0
-28.945,flush_end,0,6638553
-28.930,trivial_move,3,6638555
-28.929,flush_begin,0,0
-28.913,flush_end,0,6638553
-28.897,trivial_move,3,6638553
-28.896,flush_begin,0,0
-28.881,flush_end,0,6638553
-28.865,trivial_move,3,6638553
-28.865,flush_begin,0,0
-28.849,flush_end,0,6638555
-28.833,trivial_move,3,6638552
-28.832,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.801,trivial_move,3,6638554
-28.800,flush_begin,0,0
-28.784,flush_end,0,6638553
-28.767,trivial_move,3,6638554
-28.767,flush_begin,0,0
-28.751,flush_end,0,6638554
-28.735,trivial_move,3,6638552
-28.734,flush_begin,0,0
-28.718,flush_end,0,6638552
-28.702,trivial_move,3,6638554
-28.701,flush_begin,0,0
-28.684,flush_end,0,6638553
-28.668,trivial_move,3,6638553
-28.668,flush_begin,0,0
-28.651,flush_end,0,6638553
-28.635,trivial_move,3,6638553
-28.633,flush_begin,0,0
-28.616,flush_end,0,6638554
-28.600,trivial_move,3,6638553
-28.599,flush_begin,0,0
-28.583,flush_end,0,6638553
-28.567,trivial_move,3,6638554
-28.566,flush_begin,0,0
-28.550,flush_end,0,6638553
-28.534,trivial_move,3,6638553
-28.534,flush_begin,0,0
-28.518,flush_end,0,6638554
-28.502,trivial_move,3,6638552
-28.502,flush_begin,0,0
-28.485,flush_end,0,6638552
-28.469,trivial_move,3,6638554
-28.468,flush_begin,0,0
-28.453,flush_end,0,6638554
-28.437,trivial_move,3,6638553
-28.436,flush_begin,0,0
-28.420,flush_end,0,6638553
-28.404,trivial_move,3,6638553
-28.404,flush_begin,0,0
-28.387,flush_end,0,6638553
-28.371,trivial_move,3,6638553
-28.370,flush_begin,0,0
-28.354,flush_end,0,6638553
-28.338,trivial_move,3,6638555
-28.337,flush_begin,0,0
-28.321,flush_end,0,6638553
-28.304,trivial_move,3,6638553
-28.303,flush_begin,0,0
-28.287,flush_end,0,6638555
-28.271,trivial_move,3,6638553
-28.270,flush_begin,0,0
-28.255,flush_end,0,6638552
-28.239,trivial_move,3,6638554
-28.238,flush_begin,0,0
-28.222,flush_end,0,6638554
-28.206,trivial_move,3,6638552
-28.206,flush_begin,0,0
-28.190,flush_end,0,6638553
-28.174,trivial_move,3,6638553
-28.174,flush_begin,0,0
-28.158,flush_end,0,6638553
-28.142,trivial_move,3,6638553
-28.141,flush_begin,0,0
-28.126,flush_end,0,6638554
-28.110,trivial_move,3,6638554
-28.109,flush_begin,0,0
-28.093,flush_end,0,6638553
-28.077,trivial_move,3,6638553
-28.077,flush_begin,0,0
-28.061,flush_end,0,6638553
-28.045,trivial_move,3,6638553
-28.044,flush_begin,0,0
-28.028,flush_end,0,6638552
-28.012,trivial_move,3,6638554
-28.011,flush_begin,0,0
-27.996,flush_end,0,6638554
-27.980,trivial_move,3,6638552
-27.979,flush_begin,0,0
-27.964,flush_end,0,6638553
-27.948,trivial_move,3,6638554
-27.948,flush_begin,0,0
-27.932,flush_end,0,6638553
-27.916,trivial_move,3,6638553
-27.915,flush_begin,0,0
-27.899,flush_end,0,6638554
-27.883,trivial_move,3,6638553
-27.883,flush_begin,0,0
-27.867,flush_end,0,6638553
-27.850,trivial_move,3,6638553
-27.849,flush_begin,0,0
-27.834,flush_end,0,6638553
-27.818,trivial_move,3,6638553
-27.817,flush_begin,0,0
-27.801,flush_end,0,6638553
-27.785,trivial_move,3,6638555
-27.784,flush_begin,0,0
-27.769,flush_end,0,6638554
-27.753,trivial_move,3,6638552
-27.752,flush_begin,0,0
-27.737,flush_end,0,6638552
-27.720,trivial_move,3,6638554
-27.720,flush_begin,0,0
-27.714,flush_end,0,1164547
-27.706,compaction_begin,2,0
-27.684,compaction_end,2,6638145
-27.676,compaction_begin,2,0
-27.654,compaction_end,2,6638145
-27.646,compaction_begin,2,0
-27.623,compaction_end,2,6638146
-27.615,compaction_begin,2,0
-27.594,compaction_end,2,6638145
-27.586,compaction_begin,2,0
-27.564,compaction_end,2,6638145
-27.556,compaction_begin,2,0
-27.534,compaction_end,2,6638144
-27.526,compaction_begin,2,0
-27.504,compaction_end,2,6638146
-27.496,compaction_begin,2,0
-27.474,compaction_end,2,6638145
-27.466,compaction_begin,2,0
-27.444,compaction_end,2,6638145
-27.436,compaction_begin,2,0
-27.414,compaction_end,2,6638146
-27.406,compaction_begin,2,0
-27.386,compaction_end,2,6638145
-27.378,compaction_begin,2,0
-27.355,compaction_end,2,6638145
-27.347,compaction_begin,2,0
-27.325,compaction_end,2,6638145
-27.317,compaction_begin,2,0
-27.296,compaction_end,2,6638146
-27.288,compaction_begin,2,0
-27.266,compaction_end,2,6638144
-27.258,compaction_begin,2,0
-27.251,compaction_end,2,1164547
10.403,flush_begin,0,0
10.450,flush_end,0,6553550
10.598,compaction_begin,1,0
10.991,compaction_end,1,3945236
11.061,compaction_begin,2,0
12.359,compaction_end,2,46468047
12.371,compaction_begin,2,0
15.185,compaction_end,2,46468049
15.198,compaction_begin,2,0
18.036,compaction_end,2,46468050
18.049,compaction_begin,2,0
20.940,compaction_end,2,46468049
20.951,compaction_begin,2,0
23.880,compaction_end,2,46468050
23.891,compaction_begin,2,0
26.712,compaction_end,2,44118862
26.724,compaction_begin,2,0
29.632,compaction_end,2,46468049
29.643,compaction_begin,2,0
32.374,compaction_end,2,46468049
32.409,compaction_begin,2,0
35.214,compaction_end,2,44118863
35.259,compaction_begin,2,0
37.940,compaction_end,2,42178896
