t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8057,6544,1513,2928,1821,0.62193,8,288,304,60,0,0,0,0,63.96,0.72,6,86,63.96,0,0,0,0,0,0,24038,0
2,8043,6535,1508,2918,1745,0.59801,5,280,288,44,0,0,0,0,63.96,0.82,7,86,63.96,0,0,0,0,0,0,24038,0
3,8049,6539,1510,2901,1702,0.58669,7,288,304,63,0,0,0,0,63.96,0.88,8,86,63.96,0,0,0,0,0,0,24038,0
4,8042,6534,1508,2912,1730,0.59409,6,280,296,43,0,0,0,0,63.96,1.10,9,86,63.96,0,0,0,0,0,0,24038,0
5,8034,6528,1506,2935,1738,0.59216,8,288,304,56,0,0,0,0,63.96,1.06,9,86,63.96,0,0,0,0,0,0,24038,0
6,8011,6513,1498,2867,1684,0.58737,9,296,304,62,0,0,0,0,63.96,1.05,9,86,63.96,0,0,0,0,0,0,24038,0
7,8022,6513,1509,2804,1686,0.60128,8,288,304,54,0,0,0,0,63.96,1.08,9,86,63.96,0,0,0,0,0,0,24038,0
8,8046,6537,1509,3716,2199,0.59177,7,288,304,2176,1,0,1,0,63.98,1.87,9,87,63.98,217,0,0,0,261,0,25232,296
9,8035,6532,1503,4386,3156,0.71956,3,264,272,3328,1,1,0,0,63.97,12.81,16,97,63.97,6921,0,0,0,3700,242,34218,6224
10,8003,6499,1504,4071,2877,0.70671,3,264,272,3264,1,1,0,0,45.59,0.81,14,100,45.60,517,426,268,0,7594,1084,39152,7487
11,8008,6507,1501,3921,2901,0.73986,4,272,280,196,1,0,0,0,63.59,0.66,13,100,63.59,0,426,268,0,11456,2178,43052,7710
12,8005,6507,1498,3749,2672,0.71272,3,264,272,2560,1,0,0,0,63.96,15.40,16,100,63.96,0,2525,277,0,15328,2949,47035,7983
13,8006,6503,1503,3721,2296,0.61704,5,272,280,2016,1,1,0,0,63.96,0.53,16,103,63.96,489,6179,679,0,19173,3275,50883,8219
14,8005,6505,1500,3605,2015,0.55895,5,272,280,1696,1,0,0,0,63.96,2.44,16,103,63.96,0,10722,1441,0,23016,3399,54796,8462
15,8006,6503,1503,3552,1923,0.54139,5,272,280,98,1,0,0,0,63.96,17.32,20,103,63.96,0,15326,2096,0,26863,3492,58734,8724
16,8009,6508,1501,3488,1921,0.55075,4,272,280,1984,1,1,0,0,63.96,0.78,19,106,63.96,270,18939,2496,0,30731,3630,62542,8859
