t,type,level,bytes
-29.931,flush_begin,0,0
-29.914,flush_end,0,6638552
-29.904,flush_begin,0,0
-29.889,flush_end,0,6638554
-29.879,flush_begin,0,0
-29.863,flush_end,0,6638553
-29.853,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.828,flush_begin,0,0
-29.812,flush_end,0,6638553
-29.802,flush_begin,0,0
-29.785,flush_end,0,6638554
-29.778,flush_begin,0,0
-29.760,flush_end,0,6638552
-29.751,flush_begin,0,0
-29.732,flush_end,0,6638554
-29.723,flush_begin,0,0
-29.705,flush_end,0,6638554
-29.696,flush_begin,0,0
-29.680,flush_end,0,6638552
-29.672,flush_begin,0,0
-29.655,flush_end,0,6638553
-29.646,flush_begin,0,0
-29.630,flush_end,0,6638553
-29.622,flush_begin,0,0
-29.606,flush_end,0,6638554
-29.596,flush_begin,0,0
-29.581,flush_end,0,6638552
-29.571,flush_begin,0,0
-29.554,flush_end,0,6638554
-29.546,flush_begin,0,0
-29.531,flush_end,0,6638554
-29.515,trivial_move,3,6638552
-29.515,flush_begin,0,0
-29.499,flush_end,0,6638552
-29.484,trivial_move,3,6638554
-29.483,flush_begin,0,0
-29.467,flush_end,0,6638555
-29.451,trivial_move,3,6638553
-29.450,flush_begin,0,0
-29.434,flush_end,0,6638553
-29.418,trivial_move,3,6638553
-29.418,flush_begin,0,0
-29.402,flush_end,0,6638553
-29.387,trivial_move,3,6638553
-29.387,flush_begin,0,0
-29.370,flush_end,0,6638552
-29.361,flush_begin,0,0
-29.346,flush_end,0,6638554
-29.330,trivial_move,3,6638554
-29.320,trivial_move,3,6638552
-29.320,flush_begin,0,0
-29.303,flush_end,0,6638554
-29.285,trivial_move,3,6638554
-29.285,flush_begin,0,0
-29.269,flush_end,0,6638552
-29.250,trivial_move,3,6638554
-29.250,flush_begin,0,0
-29.234,flush_end,0,6638554
-29.216,trivial_move,3,6638552
-29.216,flush_begin,0,0
-29.200,flush_end,0,6638553
-29.183,trivial_move,3,6638553
-29.183,flush_begin,0,0
-29.168,flush_end,0,6638553
-29.152,trivial_move,3,6638553
-29.151,flush_begin,0,0
-29.136,flush_end,0,6638553
-29.120,trivial_move,3,6638554
-29.120,flush_begin,0,0
-29.103,flush_end,0,6638554
-29.085,trivial_move,3,6638552
-29.085,flush_begin,0,0
-29.069,flush_end,0,6638553
-29.052,trivial_move,3,6638554
-29.052,flush_begin,0,0
-29.036,flush_end,0,6638552
-29.018,trivial_move,3,6638554
-29.018,flush_begin,0,0
-29.002,flush_end,0,6638554
-28.985,trivial_move,3,6638552
-28.985,flush_begin,0,0
-28.969,flush_end,0,6638553
-28.951,trivial_move,3,6638555
-28.951,flush_begin,0,0
-28.935,flush_end,0,6638553
-28.920,trivial_move,3,6638553
-28.919,flush_begin,0,0
-28.904,flush_end,0,6638553
-28.888,trivial_move,3,6638553
-28.888,flush_begin,0,0
-28.871,flush_end,0,6638555
-28.863,flush_begin,0,0
-28.849,flush_end,0,6638553
-28.833,trivial_move,3,6638552
-28.833,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.801,trivial_move,3,6638554
-28.791,trivial_move,3,6638554
-28.791,flush_begin,0,0
-28.774,flush_end,0,6638554
-28.759,trivial_move,3,6638552
-28.759,flush_begin,0,0
-28.744,flush_end,0,6638552
-28.729,trivial_move,3,6638554
-28.728,flush_begin,0,0
-28.712,flush_end,0,6638553
-28.696,trivial_move,3,6638553
-28.696,flush_begin,0,0
-28.680,flush_end,0,6638553
-28.666,trivial_move,3,6638553
-28.665,flush_begin,0,0
-28.650,flush_end,0,6638554
-28.634,trivial_move,3,6638553
-28.633,flush_begin,0,0
-28.618,flush_end,0,6638553
-28.601,trivial_move,3,6638554
-28.601,flush_begin,0,0
-28.586,flush_end,0,6638553
-28.568,trivial_move,3,6638553
-28.568,flush_begin,0,0
-28.552,flush_end,0,6638554
-28.535,trivial_move,3,6638552
-28.535,flush_begin,0,0
-28.520,flush_end,0,6638552
-28.504,trivial_move,3,6638554
-28.504,flush_begin,0,0
-28.487,flush_end,0,6638554
-28.471,trivial_move,3,6638553
-28.470,flush_begin,0,0
