t,type,level,bytes
-29.933,flush_begin,0,0
-29.915,flush_end,0,6638552
-29.907,flush_begin,0,0
-29.890,flush_end,0,6638554
-29.882,flush_begin,0,0
-29.865,flush_end,0,6638553
-29.856,flush_begin,0,0
-29.839,flush_end,0,6638553
-29.830,flush_begin,0,0
-29.813,flush_end,0,6638553
-29.805,flush_begin,0,0
-29.788,flush_end,0,6638554
-29.779,flush_begin,0,0
-29.762,flush_end,0,6638552
-29.755,flush_begin,0,0
-29.737,flush_end,0,6638554
-29.729,flush_begin,0,0
-29.712,flush_end,0,6638554
-29.704,flush_begin,0,0
-29.686,flush_end,0,6638552
-29.677,flush_begin,0,0
-29.660,flush_end,0,6638553
-29.651,flush_begin,0,0
-29.633,flush_end,0,6638553
-29.624,flush_begin,0,0
-29.607,flush_end,0,6638554
-29.599,flush_begin,0,0
-29.580,flush_end,0,6638552
-29.571,flush_begin,0,0
-29.554,flush_end,0,6638554
-29.545,flush_begin,0,0
-29.527,flush_end,0,6638554
-29.509,trivial_move,3,6638552
-29.509,flush_begin,0,0
-29.491,flush_end,0,6638552
-29.473,trivial_move,3,6638554
-29.473,flush_begin,0,0
-29.455,flush_end,0,6638555
-29.437,trivial_move,3,6638553
-29.437,flush_begin,0,0
-29.419,flush_end,0,6638553
-29.400,trivial_move,3,6638553
-29.400,flush_begin,0,0
-29.382,flush_end,0,6638553
-29.364,trivial_move,3,6638553
-29.364,flush_begin,0,0
-29.346,flush_end,0,6638552
-29.328,trivial_move,3,6638554
-29.328,flush_begin,0,0
-29.310,flush_end,0,6638554
-29.292,trivial_move,3,6638552
-29.292,flush_begin,0,0
-29.274,flush_end,0,6638554
-29.255,trivial_move,3,6638554
-29.255,flush_begin,0,0
-29.237,flush_end,0,6638552
-29.218,trivial_move,3,6638554
-29.218,flush_begin,0,0
-29.199,flush_end,0,6638554
-29.180,trivial_move,3,6638552
-29.180,flush_begin,0,0
-29.161,flush_end,0,6638553
-29.142,trivial_move,3,6638553
-29.142,flush_begin,0,0
-29.122,flush_end,0,6638553
-29.103,trivial_move,3,6638553
-29.103,flush_begin,0,0
-29.084,flush_end,0,6638553
-29.065,trivial_move,3,6638554
-29.065,flush_begin,0,0
-29.046,flush_end,0,6638554
-29.028,trivial_move,3,6638552
-29.028,flush_begin,0,0
-29.009,flush_end,0,6638553
-28.989,trivial_move,3,6638554
-28.989,flush_begin,0,0
-28.970,flush_end,0,6638552
-28.952,trivial_move,3,6638554
-28.952,flush_begin,0,0
-28.933,flush_end,0,6638554
-28.914,trivial_move,3,6638552
-28.914,flush_begin,0,0
-28.895,flush_end,0,6638553
-28.877,trivial_move,3,6638555
-28.877,flush_begin,0,0
-28.856,flush_end,0,6638553
-28.838,trivial_move,3,6638553
-28.838,flush_begin,0,0
-28.819,flush_end,0,6638553
-28.799,trivial_move,3,6638553
-28.799,flush_begin,0,0
-28.780,flush_end,0,6638555
-28.762,trivial_move,3,6638552
-28.762,flush_begin,0,0
-28.743,flush_end,0,6638553
-28.724,trivial_move,3,6638554
-28.724,flush_begin,0,0
-28.706,flush_end,0,6638553
-28.688,trivial_move,3,6638554
-28.688,flush_begin,0,0
-28.669,flush_end,0,6638554
-28.652,trivial_move,3,6638552
-28.652,flush_begin,0,0
-28.633,flush_end,0,6638552
-28.615,trivial_move,3,6638554
-28.615,flush_begin,0,0
-28.596,flush_end,0,6638553
-28.578,trivial_move,3,6638553
-28.578,flush_begin,0,0
-28.560,flush_end,0,6638553
-28.542,trivial_move,3,6638553
-28.542,flush_begin,0,0
-28.523,flush_end,0,6638554
-28.505,trivial_move,3,6638553
-28.505,flush_begin,0,0
-28.486,flush_end,0,6638553
-28.467,trivial_move,3,6638554
-28.467,flush_begin,0,0
-28.449,flush_end,0,6638553
-28.431,trivial_move,3,6638553
-28.431,flush_begin,0,0
-28.413,flush_end,0,6638554
-28.394,trivial_move,3,6638552
-28.394,flush_begin,0,0
-28.376,flush_end,0,6638552
-28.357,trivial_move,3,6638554
-28.357,flush_begin,0,0
-28.338,flush_end,0,6638554
-28.320,trivial_move,3,6638553
-28.320,flush_begin,0,0
-28.302,flush_end,0,6638553
-28.284,trivial_move,3,6638553
-28.284,flush_begin,0,0
-28.264,flush_end,0,6638553
-28.246,trivial_move,3,6638553
-28.246,flush_begin,0,0
-28.228,flush_end,0,6638553
-28.209,trivial_move,3,6638555
-28.209,flush_begin,0,0
-28.190,flush_end,0,6638553
-28.173,trivial_move,3,6638553
-28.173,flush_begin,0,0
-28.154,flush_end,0,6638555
-28.135,trivial_move,3,6638553
-28.135,flush_begin,0,0
-28.116,flush_end,0,6638552
-28.099,trivial_move,3,6638554
-28.099,flush_begin,0,0
-28.080,flush_end,0,6638554
-28.062,trivial_move,3,6638552
-28.062,flush_begin,0,0
-28.043,flush_end,0,6638553
-28.025,trivial_move,3,6638553
-28.025,flush_begin,0,0
-28.005,flush_end,0,6638553
-27.985,trivial_move,3,6638553
-27.985,flush_begin,0,0
-27.966,flush_end,0,6638554
-27.948,trivial_move,3,6638554
-27.948,flush_begin,0,0
-27.928,flush_end,0,6638553
-27.910,trivial_move,3,6638553
-27.910,flush_begin,0,0
-27.891,flush_end,0,6638553
-27.872,trivial_move,3,6638553
-27.872,flush_begin,0,0
-27.852,flush_end,0,6638552
-27.834,trivial_move,3,6638554
-27.834,flush_begin,0,0
-27.814,flush_end,0,6638554
-27.795,trivial_move,3,6638552
-27.795,flush_begin,0,0
-27.776,flush_end,0,6638553
-27.757,trivial_move,3,6638554
-27.757,flush_begin,0,0
-27.736,flush_end,0,6638553
-27.719,trivial_move,3,6638553
-27.719,flush_begin,0,0
-27.699,flush_end,0,6638554
-27.680,trivial_move,3,6638553
-27.680,flush_begin,0,0
-27.659,flush_end,0,6638553
-27.641,trivial_move,3,6638553
-27.641,flush_begin,0,0
-27.621,flush_end,0,6638553
-27.602,trivial_move,3,6638553
-27.602,flush_begin,0,0
-27.582,flush_end,0,6638553
-27.564,trivial_move,3,6638555
-27.564,flush_begin,0,0
-27.544,flush_end,0,6638554
-27.525,trivial_move,3,6638552
-27.525,flush_begin,0,0
-27.506,flush_end,0,6638552
-27.490,trivial_move,3,6638554
-27.490,flush_begin,0,0
-27.484,flush_end,0,1164547
-27.474,compaction_begin,2,0
-27.436,compaction_end,2,6638145
-27.427,compaction_begin,2,0
-27.393,compaction_end,2,6638145
-27.385,compaction_begin,2,0
-27.352,compaction_end,2,6638146
-27.344,compaction_begin,2,0
-27.312,compaction_end,2,6638145
-27.304,compaction_begin,2,0
