t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8052,6542,1510,2895,1742,0.60173,9,352,360,68,0,0,0,0,63.96,0.85,7,86,63.96,16378,111158,16378,0,111158,16378
2,8013,6510,1503,2967,1791,0.60364,9,352,360,66,0,0,0,0,63.96,0.95,8,86,63.96,0,111158,16378,0,111158,16378
3,8061,6550,1511,2873,1720,0.59868,9,352,360,66,0,0,0,0,63.96,1.04,9,86,63.96,0,111158,16378,0,111158,16378
4,8011,6509,1502,2895,1728,0.59689,9,352,360,70,0,0,0,0,63.96,1.45,11,86,63.96,0,111158,16378,0,111158,16378
5,8090,6573,1517,2890,1717,0.59412,8,352,360,74,0,0,0,0,63.96,1.13,9,86,63.96,0,111158,16378,0,111158,16378
6,8028,6524,1504,2902,1667,0.57443,9,352,360,74,0,0,0,0,63.96,1.30,10,86,63.96,0,111158,16378,0,111158,16378
7,8014,6510,1504,2840,1709,0.60176,8,352,360,66,0,0,0,0,63.96,1.11,9,86,63.96,0,111158,16378,0,111158,16378
8,8074,6560,1514,2842,1655,0.58234,8,344,360,76,0,0,0,0,63.95,6.62,9,86,63.95,0,111158,16378,0,112612,16378
9,8043,6535,1508,7147,5532,0.77403,8,336,352,3136,1,1,1,0,60.44,0.86,13,97,60.45,7895,112707,17927,0,112707,17927
10,8038,6532,1506,6249,4657,0.74524,10,344,352,64,1,0,0,0,63.92,0.90,13,97,63.92,0,112707,17927,0,112707,17927
11,8089,6571,1518,6150,4237,0.68894,10,344,360,74,1,0,0,0,63.97,0.86,14,97,63.97,0,112707,17927,0,112707,17927
12,8011,6509,1502,5916,3827,0.64689,9,344,360,57,1,0,0,0,63.97,0.63,12,97,63.97,0,112707,17927,0,112707,17927
13,8058,6547,1511,5860,3610,0.61604,10,344,360,68,1,0,0,0,63.97,0.60,11,97,63.97,0,112707,17927,0,112707,17927
14,8075,6561,1514,5564,3479,0.62527,7,336,352,54,1,0,0,0,63.97,0.78,13,97,63.97,0,112707,17927,0,112707,17927
15,8008,6508,1500,4723,1743,0.36905,10,344,352,252,1,1,0,0,39.01,1.26,16,100,39.01,2263,112707,17927,0,112707,17927
16,8070,6555,1515,5471,2058,0.37617,11,344,352,61,1,0,0,0,46.78,0.73,11,100,46.78,0,112707,17927,0,112707,17927
17,8014,6512,1502,4901,2080,0.42440,7,344,352,68,1,0,0,0,53.51,1.19,12,100,53.52,0,112707,17927,0,112707,17927
18,8051,6541,1510,4988,2203,0.44166,10,344,352,61,1,0,0,0,59.84,1.01,10,100,59.85,0,112707,17927,0,112707,17927
19,8010,6508,1502,4906,2285,0.46576,11,352,360,66,1,0,0,0,63.77,1.15,10,100,63.77,0,112707,17927,0,112707,17927
