t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8098,6578,1520,4059,2109,0.51959,13,352,360,64,0,0,0,0,63.96,0.15,2,86,63.96,0,0,0,0
2,8059,6547,1512,4011,2002,0.49913,14,352,360,68,0,0,0,0,63.96,0.43,4,86,63.96,0,0,0,0
3,8090,6575,1515,3986,2028,0.50878,13,344,360,61,0,0,0,0,63.96,0.39,4,86,63.96,0,0,0,0
4,8085,6570,1515,3936,2058,0.52287,14,352,360,66,0,0,0,0,63.96,0.31,3,86,63.96,0,0,0,0
5,8089,6570,1519,3987,2003,0.50238,14,352,360,66,0,0,0,0,63.96,0.30,3,86,63.96,0,0,0,0
6,8087,6571,1516,4028,1997,0.49578,13,344,360,61,0,0,0,0,63.96,0.21,2,86,63.96,0,0,0,0
7,8089,6572,1517,3982,2046,0.51381,14,352,360,64,0,0,0,0,63.96,0.19,2,86,63.96,0,0,0,0
8,8032,6527,1505,5702,2659,0.46633,12,344,360,74,1,0,1,0,63.98,0.08,1,87,63.98,166,0,0,0
9,8062,6549,1513,8245,4999,0.60631,12,344,352,2688,1,1,0,0,63.96,0.26,9,97,63.96,6253,0,0,0
10,8065,6553,1512,7312,4754,0.65016,13,352,360,68,1,0,0,0,63.97,0.29,9,97,63.97,0,0,0,0
11,8011,6509,1502,6749,4205,0.62306,13,344,360,60,1,0,0,0,63.97,0.26,7,97,63.97,0,0,0,0
12,8012,6510,1502,6561,4029,0.61408,13,344,360,63,1,0,0,0,63.97,0.22,3,97,63.97,0,0,0,0
13,8011,6510,1501,6914,4036,0.58374,11,344,360,60,1,0,0,0,63.98,0.13,3,97,63.98,0,0,0,0
14,8008,6505,1503,6613,3687,0.55754,13,344,360,60,1,0,0,0,63.98,0.09,2,97,63.98,0,0,0,0
15,8013,6511,1502,6015,1910,0.31754,20,344,360,296,1,1,0,0,41.61,0.66,4,100,41.61,2168,0,0,0
16,8005,6504,1501,6329,2295,0.36262,16,352,360,58,1,0,0,0,52.42,0.20,2,100,52.43,0,0,0,0
17,8012,6513,1499,5986,2534,0.42332,14,352,360,74,1,0,0,0,61.73,0.23,2,100,61.74,0,0,0,0
