t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8023,6519,1504,4040,2070,0.51238,6,424,448,23,0,0,0,0,63.95,0.16,1,86,63.95,0,0,0,0,0,0,24038,0
2,8009,6507,1502,3970,1999,0.50353,6,432,512,27,0,0,0,0,63.95,0.18,1,86,63.95,0,0,0,0,0,0,24038,0
3,8005,6504,1501,3952,2008,0.50810,6,424,448,34,0,0,0,0,63.95,0.23,2,86,63.95,0,0,0,0,0,0,24038,0
4,8008,6507,1501,3933,2000,0.50852,6,432,448,21,0,0,0,0,63.95,0.18,2,86,63.95,0,0,0,0,0,0,24038,0
5,8031,6525,1506,3947,1966,0.49810,6,432,448,24,0,0,0,0,63.95,0.18,2,86,63.95,0,0,0,0,0,0,24038,0
6,8003,6502,1501,3964,2009,0.50681,6,432,456,25,0,0,0,0,63.95,0.49,4,86,63.95,0,0,0,0,0,0,24038,0
7,8008,6507,1501,3905,1996,0.51114,5,432,448,21,0,0,0,0,63.95,0.36,3,86,63.95,0,0,0,0,0,0,24038,0
8,8004,6506,1498,4637,2356,0.50809,6,432,456,2432,1,0,1,0,63.97,0.27,2,87,63.97,0,0,0,0,0,0,25165,222
9,8008,6504,1504,5366,3040,0.56653,6,424,624,2752,1,1,0,0,63.98,0.15,8,97,63.98,0,0,0,0,0,0,31483,4247
10,8014,6512,1502,5179,3134,0.60514,5,400,440,272,1,0,0,0,63.98,0.27,6,97,63.98,0,0,0,0,0,0,35486,5775
11,8012,6509,1503,5047,2101,0.41629,8,408,4992,1568,1,1,0,0,63.98,0.78,10,100,63.98,0,0,0,0,0,0,38452,6574
12,8006,6507,1499,4839,1923,0.39740,7,400,432,35,1,0,0,0,63.97,0.30,6,100,63.97,0,0,0,0,0,0,41562,7176
13,8031,6523,1508,4832,2178,0.45075,6,400,432,33,1,0,0,0,63.97,0.31,5,100,63.97,0,0,0,0,0,0,44539,7621
14,8006,6506,1500,4731,2399,0.50708,5,400,432,70,1,0,0,0,63.97,0.44,6,100,63.97,0,0,0,0,0,0,47514,8081
15,8004,6503,1501,4626,2344,0.50670,5,392,424,488,1,1,0,0,63.97,0.98,10,103,63.97,0,0,0,0,0,0,50426,8496
16,8009,6507,1502,4541,2392,0.52676,5,392,432,32,1,0,0,0,63.97,0.39,4,103,63.97,0,0,0,0,0,0,53326,8899
17,8015,6511,1504,4515,2436,0.53953,5,392,424,42,1,0,0,0,63.97,0.34,3,103,63.97,0,0,0,0,0,0,56267,9307
18,8008,6508,1500,4549,2488,0.54693,5,392,424,31,1,0,0,0,63.97,0.24,2,103,63.97,0,0,0,0,0,0,59120,9650
19,8006,6504,1502,4465,2381,0.53326,5,384,424,296,1,1,0,0,63.96,0.81,10,106,63.96,0,0,0,0,0,0,61866,9905
20,8006,6504,1502,4470,2411,0.53937,5,384,424,360,1,0,0,0,63.96,0.53,5,106,63.96,0,0,0,0,0,0,64556,10105
21,8005,6504,1501,4366,2342,0.53642,5,384,424,31,1,0,0,0,63.96,0.20,3,106,63.96,0,0,0,0,0,0,67328,10361
22,8022,6519,1503,4396,2336,0.53139,5,384,424,39,1,0,0,0,63.96,0.13,2,106,63.96,0,0,0,0,0,0,70064,10585
23,8006,6504,1502,4254,2230,0.52421,6,384,432,1632,1,1,0,0,63.96,0.85,14,109,63.96,0,0,0,0,0,0,72734,10778
24,8024,6520,1504,4290,2288,0.53333,6,384,424,29,1,0,0,0,63.96,1.31,12,109,63.96,0,0,0,0,0,0,75441,10957
25,8020,6516,1504,4356,2369,0.54385,7,384,424,2560,1,0,0,0,63.96,0.76,6,109,63.96,0,0,0,0,0,0,78070,11132
26,8008,6507,1501,4306,2258,0.52438,6,384,416,39,1,0,0,0,63.96,0.34,3,109,63.96,0,0,0,0,0,0,80776,11312
27,8003,6501,1502,4314,2277,0.52782,6,376,424,1632,1,1,0,0,63.96,0.54,13,112,63.96,0,0,0,0,0,0,83487,11557
28,8030,6528,1502,4263,2201,0.51630,6,376,424,61,1,0,0,0,63.96,1.15,13,112,63.96,0,0,0,0,0,0,86305,11886
29,8008,6503,1505,4247,2287,0.53850,7,384,432,172,1,0,0,0,63.96,0.75,9,112,63.96,0,0,0,0,0,0,89072,12188
30,8009,6508,1501,4194,2235,0.53290,5,392,432,30,1,0,0,0,63.96,0.68,7,112,63.96,0,0,0,0,0,0,91866,12472
31,8030,6524,1506,4200,2178,0.51857,5,400,688,576,1,1,0,0,63.96,0.97,16,115,63.96,0,0,0,0,0,0,94552,12662
32,8010,6511,1499,4137,2132,0.51535,6,392,432,76,1,0,0,0,63.96,1.20,9,115,63.96,0,0,0,0,0,0,97290,12820
33,8008,6504,1504,4149,2161,0.52085,5,400,432,50,1,0,0,0,63.96,0.94,7,115,63.96,0,0,0,0,0,0,100022,12965
34,8006,6507,1499,4085,2101,0.51432,5,400,432,50,1,0,0,0,63.96,0.55,5,115,63.96,0,0,0,0,0,0,102742,13112
35,8026,6521,1505,4143,2137,0.51581,6,400,432,640,1,1,0,0,63.96,0.64,15,111,63.96,0,0,0,0,0,0,105445,13295
36,8011,6509,1502,3968,2040,0.51411,5,400,432,27,1,0,0,0,63.96,0.90,14,111,63.96,0,0,0,0,0,0,108201,13517
37,8012,6509,1503,4055,2107,0.51961,5,392,424,21,1,0,0,0,63.96,0.99,12,111,63.96,0,0,0,0,0,0,110961,13703
38,8010,6509,1501,4030,2060,0.51117,5,400,432,48,1,0,0,0,63.96,0.61,7,111,63.96,0,0,0,0,0,0,113708,13907
39,8007,6508,1499,4080,2117,0.51887,6,400,432,456,1,1,0,0,63.96,0.85,15,114,63.96,0,0,0,0,0,0,116382,14071
40,8006,6502,1504,4008,2020,0.50399,5,392,424,23,1,0,0,0,63.96,0.87,10,114,63.96,0,0,0,0,0,0,119135,14242
41,8006,6504,1502,4013,2008,0.50037,6,400,432,42,1,0,0,0,63.95,0.82,5,114,63.95,0,0,0,0,0,0,121803,14384
42,8006,6504,1502,3993,1979,0.49562,6,400,488,36,1,0,0,0,63.95,0.64,3,114,63.95,0,0,0,0,0,0,124485,14552
43,8007,6505,1502,3968,2014,0.50756,5,400,424,328,1,1,0,0,63.95,0.90,12,117,63.95,0,0,0,0,0,0,127161,14693
44,8007,6506,1501,4045,2048,0.50630,5,400,424,36,1,0,0,0,63.95,0.90,10,117,63.95,0,0,0,0,0,0,129831,14811
45,8007,6509,1498,3948,2014,0.51013,5,392,424,31,1,0,0,0,63.95,0.36,5,117,63.95,0,0,0,0,0,0,132552,14952
46,8008,6503,1505,5279,2824,0.53495,6,400,440,1760,1,0,1,0,63.98,0.36,4,118,63.98,0,0,0,0,0,0,135126,15074
47,8018,6515,1503,5327,3074,0.57706,6,424,624,3008,1,2,0,0,63.98,0.84,22,124,63.98,0,0,0,0,0,0,141145,18689
48,8014,6512,1502,5160,3047,0.59050,5,400,440,344,1,0,0,0,63.99,1.02,19,124,63.99,0,0,0,0,0,0,145589,20677
49,8006,6504,1502,5003,2270,0.45373,6,400,440,576,1,1,0,0,63.99,2.21,23,123,63.99,0,0,0,0,0,0,148870,21485
50,8009,6508,1501,4825,1844,0.38218,6,392,432,208,1,0,0,0,63.99,0.99,11,123,63.99,0,0,0,0,0,0,151623,21733
51,8046,6537,1509,4788,2141,0.44716,6,384,424,55,1,0,0,0,63.97,1.04,10,123,63.97,0,0,0,0,0,0,154402,21952
