t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8022,6518,1504,0,0,0.00000,2,3,20,66,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
2,8090,6572,1518,0,0,0.00000,1,3,20,66,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
3,8085,6569,1516,0,0,0.00000,1,3,20,66,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
4,8073,6560,1513,0,0,0.00000,2,3,22,66,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
5,8006,6505,1501,0,0,0.00000,1,2,5,48,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
6,8073,6560,1513,0,0,0.00000,2,3,6,51,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
7,8015,6513,1502,0,0,0.00000,1,3,6,50,0,0,0,0,0.01,0.01,2,86,0.01,0,0,0,0
8,8008,6506,1502,0,0,0.00000,1,2,5,64,0,0,1,0,0.01,0.01,2,87,0.01,0,0,0,0
9,8011,6508,1503,0,0,0.00000,1,2,6,50,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
10,8068,6556,1512,0,0,0.00000,1,2,19,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
11,8038,6530,1508,0,0,0.00000,1,2,10,68,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
12,8032,6527,1505,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
13,8028,6523,1505,0,0,0.00000,1,2,16,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
14,8060,6547,1513,0,0,0.00000,1,2,19,63,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
15,8065,6553,1512,0,0,0.00000,1,2,17,63,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
16,8022,6519,1503,0,0,0.00000,1,2,22,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
17,8011,6510,1501,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
18,8034,6528,1506,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
19,8084,6567,1517,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
20,8089,6571,1518,0,0,0.00000,1,2,5,59,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
21,8086,6571,1515,0,0,0.00000,1,2,4,51,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
22,8080,6568,1512,0,0,0.00000,1,2,7,57,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
23,8007,6503,1504,0,0,0.00000,1,2,18,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
24,8013,6512,1501,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
25,8029,6522,1507,0,0,0.00000,1,2,19,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
26,8062,6551,1511,0,0,0.00000,1,2,22,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
27,8012,6510,1502,0,0,0.00000,1,2,19,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
28,8024,6517,1507,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
29,8047,6538,1509,0,0,0.00000,1,2,22,68,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
30,8026,6524,1502,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
31,8007,6504,1503,0,0,0.00000,1,2,22,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
32,8053,6545,1508,0,0,0.00000,1,2,23,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
33,8084,6566,1518,0,0,0.00000,1,2,5,53,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
34,8083,6567,1516,0,0,0.00000,1,2,4,48,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
35,8023,6521,1502,0,0,0.00000,1,2,5,52,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
36,8017,6513,1504,0,0,0.00000,1,2,11,63,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
37,8010,6508,1502,0,0,0.00000,1,2,17,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
38,8022,6521,1501,0,0,0.00000,1,2,21,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
39,8057,6543,1514,0,0,0.00000,1,2,17,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
40,8062,6550,1512,0,0,0.00000,1,2,21,64,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
41,8026,6521,1505,0,0,0.00000,1,2,19,74,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
42,8015,6512,1503,0,0,0.00000,1,2,21,74,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
43,8063,6553,1510,0,0,0.00000,1,2,19,74,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
44,8022,6516,1506,0,0,0.00000,1,2,22,66,0,0,0,0,0.01,0.01,2,87,0.01,0,0,0,0
45,8087,6570,1517,2,1,0.50000,1,2,21,80,0,0,1,0,0.01,0.01,2,88,0.01,0,0,0,0
46,8086,6570,1516,0,0,0.00000,1,2,17,64,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
47,8029,6524,1505,0,0,0.00000,1,2,4,52,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
48,8090,6573,1517,0,0,0.00000,1,2,5,54,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
49,8047,6540,1507,0,0,0.00000,1,2,5,51,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
50,8086,6568,1518,0,0,0.00000,1,2,4,49,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
51,8012,6510,1502,0,0,0.00000,1,2,9,56,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
52,8091,6574,1517,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
53,8087,6572,1515,0,0,0.00000,1,2,22,66,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
54,8071,6558,1513,0,0,0.00000,1,2,23,68,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
55,8059,6547,1512,0,0,0.00000,1,2,23,66,0,0,0,0,0.01,0.01,2,88,0.01,0,0,0,0
56,8011,6510,1501,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
57,8012,6509,1503,0,0,0.00000,1,2,19,62,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
58,8047,6538,1509,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
59,8021,6517,1504,0,0,0.00000,1,2,23,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
60,8012,6510,1502,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
61,8026,6523,1503,0,0,0.00000,1,2,24,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
62,8069,6557,1512,0,0,0.00000,1,2,5,48,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
63,8041,6530,1511,0,0,0.00000,1,2,5,50,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
64,8012,6509,1503,0,0,0.00000,1,2,6,52,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
65,8010,6509,1501,0,0,0.00000,1,2,17,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
66,8084,6569,1515,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
67,8010,6506,1504,0,0,0.00000,1,2,17,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
68,8069,6557,1512,0,0,0.00000,1,2,19,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
69,8012,6511,1501,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
70,8010,6507,1503,0,0,0.00000,1,2,23,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
71,8012,6511,1501,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
72,8011,6508,1503,0,0,0.00000,1,2,22,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
73,8024,6521,1503,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
74,8049,6538,1511,0,0,0.00000,1,2,19,61,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
75,8039,6533,1506,0,0,0.00000,1,2,5,47,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
76,8089,6570,1519,0,0,0.00000,1,2,5,51,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
77,8084,6569,1515,0,0,0.00000,1,2,6,51,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
78,8011,6509,1502,0,0,0.00000,1,2,20,66,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
79,8090,6574,1516,0,0,0.00000,1,3,21,68,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
80,8090,6573,1517,0,0,0.00000,1,2,20,64,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
81,8024,6520,1504,0,0,0.00000,1,2,9,57,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
82,8090,6572,1518,0,0,0.00000,0,2,6,34,0,0,0,0,0.01,0.01,3,88,0.01,0,0,0,0
83,8083,6567,1516,0,0,0.00000,1,2,15,244,0,0,1,0,0.01,0.01,3,89,0.01,0,0,0,0
84,8011,6513,1498,0,0,0.00000,1,2,21,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
85,8013,6509,1504,0,0,0.00000,1,3,22,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
86,8011,6507,1504,0,0,0.00000,2,3,20,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
87,8011,6512,1499,0,0,0.00000,2,3,21,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
88,8009,6504,1505,0,0,0.00000,2,3,8,57,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
89,8012,6510,1502,0,0,0.00000,2,3,6,50,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
90,8010,6508,1502,0,0,0.00000,2,4,11,52,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
91,8029,6525,1504,0,0,0.00000,2,4,7,52,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
92,8089,6572,1517,0,0,0.00000,2,3,6,51,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
93,8073,6558,1515,0,0,0.00000,2,4,8,59,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
94,8012,6510,1502,0,0,0.00000,2,4,23,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
95,8011,6509,1502,0,0,0.00000,2,4,22,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
96,8013,6510,1503,0,0,0.00000,2,4,23,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
97,8089,6573,1516,0,0,0.00000,2,3,21,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
98,8069,6556,1513,0,0,0.00000,1,3,7,54,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
99,8010,6512,1498,0,0,0.00000,2,4,25,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
100,8012,6506,1506,0,0,0.00000,2,4,26,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
101,8090,6573,1517,0,0,0.00000,2,4,24,78,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
102,8090,6573,1517,0,0,0.00000,2,4,24,76,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
103,8011,6509,1502,0,0,0.00000,2,4,24,72,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
104,8070,6558,1512,0,0,0.00000,2,4,19,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
105,8024,6519,1505,0,0,0.00000,3,4,23,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
106,8048,6540,1508,0,0,0.00000,3,4,25,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
107,8089,6570,1519,0,0,0.00000,2,4,21,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
108,8042,6535,1507,0,0,0.00000,3,4,24,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
109,8040,6533,1507,0,0,0.00000,3,4,24,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
110,8086,6569,1517,0,0,0.00000,3,5,25,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
111,8087,6570,1517,0,0,0.00000,3,4,21,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
112,8090,6573,1517,0,0,0.00000,2,4,21,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
113,8084,6571,1513,0,0,0.00000,2,5,27,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
114,8029,6522,1507,0,0,0.00000,2,3,23,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
115,8029,6523,1506,0,0,0.00000,2,5,28,68,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
116,8019,6518,1501,0,0,0.00000,2,6,27,66,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
117,8008,6505,1503,0,0,0.00000,2,4,26,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
118,8009,6510,1499,0,0,0.00000,2,4,25,480,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
119,8017,6510,1507,0,0,0.00000,2,6,25,70,0,0,0,0,0.01,0.01,3,89,0.01,0,0,0,0
120,8075,6561,1514,1,0,0.00000,2,4,25,70,0,0,1,0,0.01,0.01,4,90,0.01,0,0,0,0
