t,type,level,bytes
-29.818,flush_begin,0,0
-29.809,flush_end,0,2686930
-29.798,flush_begin,0,0
-29.789,flush_end,0,2686931
-29.778,flush_begin,0,0
-29.769,flush_end,0,2686931
-29.758,flush_begin,0,0
-29.749,flush_end,0,2686931
-29.737,flush_begin,0,0
-29.728,flush_end,0,2686931
-29.717,flush_begin,0,0
-29.707,flush_end,0,2686930
-29.696,flush_begin,0,0
-29.687,flush_end,0,2686932
-29.676,flush_begin,0,0
-29.666,flush_end,0,2686930
-29.655,flush_begin,0,0
-29.645,flush_end,0,2686932
-29.634,flush_begin,0,0
-29.624,flush_end,0,2686930
-29.612,flush_begin,0,0
-29.602,flush_end,0,2686931
-29.590,flush_begin,0,0
-29.580,flush_end,0,2686931
-29.570,flush_begin,0,0
-29.560,flush_end,0,2686930
-29.548,flush_begin,0,0
-29.539,flush_end,0,2686932
-29.527,flush_begin,0,0
-29.517,flush_end,0,2686930
-29.508,flush_begin,0,0
-29.499,flush_end,0,2686931
-29.488,flush_begin,0,0
-29.479,flush_end,0,2686931
-29.468,flush_begin,0,0
-29.458,flush_end,0,2686931
-29.448,flush_begin,0,0
-29.439,flush_end,0,2686931
-29.429,flush_begin,0,0
-29.420,flush_end,0,2686931
-29.410,flush_begin,0,0
-29.401,flush_end,0,2686930
-29.390,flush_begin,0,0
-29.381,flush_end,0,2686933
-29.369,flush_begin,0,0
-29.360,flush_end,0,2686930
-29.349,flush_begin,0,0
-29.339,flush_end,0,2686932
-29.329,flush_begin,0,0
-29.320,flush_end,0,2686930
-29.309,flush_begin,0,0
-29.300,flush_end,0,2686930
-29.288,flush_begin,0,0
-29.278,flush_end,0,2686932
-29.267,flush_begin,0,0
-29.259,flush_end,0,2686930
-29.247,flush_begin,0,0
-29.238,flush_end,0,2686932
-29.226,flush_begin,0,0
-29.216,flush_end,0,2686930
-29.206,flush_begin,0,0
-29.197,flush_end,0,2686931
-29.186,flush_begin,0,0
-29.177,flush_end,0,2686931
-29.166,flush_begin,0,0
-29.156,flush_end,0,2686931
-29.146,flush_begin,0,0
-29.137,flush_end,0,2686931
-29.125,flush_begin,0,0
-29.116,flush_end,0,2686931
-29.106,flush_begin,0,0
-29.097,flush_end,0,2686930
-29.085,flush_begin,0,0
-29.077,flush_end,0,2686932
-29.066,flush_begin,0,0
-29.057,flush_end,0,2686930
-29.046,flush_begin,0,0
-29.036,flush_end,0,2686931
-29.026,flush_begin,0,0
-29.016,flush_end,0,2686931
-29.001,trivial_move,3,2686930
-28.999,flush_begin,0,0
-28.990,flush_end,0,2686930
-28.974,trivial_move,3,2686931
-28.969,flush_begin,0,0
-28.959,flush_end,0,2686932
-28.943,trivial_move,3,2686931
-28.941,flush_begin,0,0
-28.932,flush_end,0,2686930
-28.915,trivial_move,3,2686931
-28.914,flush_begin,0,0
-28.905,flush_end,0,2686933
-28.888,trivial_move,3,2686931
-28.886,flush_begin,0,0
-28.875,flush_end,0,2686930
-28.860,trivial_move,3,2686930
-28.856,flush_begin,0,0
-28.847,flush_end,0,2686931
-28.831,trivial_move,3,2686932
-28.829,flush_begin,0,0
-28.819,flush_end,0,2686931
-28.803,trivial_move,3,2686930
-28.801,flush_begin,0,0
-28.791,flush_end,0,2686931
-28.776,trivial_move,3,2686932
-28.773,flush_begin,0,0
-28.763,flush_end,0,2686931
-28.747,trivial_move,3,2686930
-28.745,flush_begin,0,0
-28.736,flush_end,0,2686930
-28.720,trivial_move,3,2686931
-28.717,flush_begin,0,0
-28.708,flush_end,0,2686930
-28.692,trivial_move,3,2686931
-28.689,flush_begin,0,0
-28.680,flush_end,0,2686931
-28.665,trivial_move,3,2686930
-28.662,flush_begin,0,0
-28.652,flush_end,0,2686931
-28.636,trivial_move,3,2686932
-28.634,flush_begin,0,0
-28.625,flush_end,0,2686931
-28.610,trivial_move,3,2686930
-28.607,flush_begin,0,0
-28.596,flush_end,0,2686931
-28.580,trivial_move,3,2686931
-28.578,flush_begin,0,0
-28.568,flush_end,0,2686930
-28.551,trivial_move,3,2686931
-28.549,flush_begin,0,0
-28.539,flush_end,0,2686932
-28.524,trivial_move,3,2686931
-28.521,flush_begin,0,0
-28.511,flush_end,0,2686930
-28.496,trivial_move,3,2686931
-28.493,flush_begin,0,0
-28.484,flush_end,0,2686932
-28.467,trivial_move,3,2686931
-28.466,flush_begin,0,0
-28.455,flush_end,0,2686930
-28.440,trivial_move,3,2686930
-28.438,flush_begin,0,0
-28.428,flush_end,0,2686931
-28.411,trivial_move,3,2686933
-28.408,flush_begin,0,0
-28.398,flush_end,0,2686931
-28.382,trivial_move,3,2686930
-28.377,flush_begin,0,0
-28.366,flush_end,0,2686930
-28.351,trivial_move,3,2686932
-28.349,flush_begin,0,0
-28.340,flush_end,0,2686932
-28.324,trivial_move,3,2686930
-28.321,flush_begin,0,0
-28.311,flush_end,0,2686930
-28.295,trivial_move,3,2686930
-28.292,flush_begin,0,0
-28.283,flush_end,0,2686932
-28.267,trivial_move,3,2686932
-28.263,flush_begin,0,0
-28.254,flush_end,0,2686931
-28.241,trivial_move,3,2686930
-28.237,flush_begin,0,0
-28.228,flush_end,0,2686931
-28.211,trivial_move,3,2686932
-28.209,flush_begin,0,0
-28.199,flush_end,0,2686931
-28.183,trivial_move,3,2686930
-28.180,flush_begin,0,0
-28.170,flush_end,0,2686931
-28.154,trivial_move,3,2686931
-28.152,flush_begin,0,0
-28.140,flush_end,0,2686930
-28.124,trivial_move,3,2686931
-28.122,flush_begin,0,0
-28.112,flush_end,0,2686932
-28.096,trivial_move,3,2686931
-28.092,flush_begin,0,0
-28.082,flush_end,0,2686930
-28.066,trivial_move,3,2686931
-28.063,flush_begin,0,0
-28.052,flush_end,0,2686932
-28.036,trivial_move,3,2686931
-28.034,flush_begin,0,0
-28.024,flush_end,0,2686930
-28.008,trivial_move,3,2686930
-28.003,flush_begin,0,0
-27.993,flush_end,0,2686930
-27.977,trivial_move,3,2686932
-27.973,flush_begin,0,0
-27.964,flush_end,0,2686932
-27.949,trivial_move,3,2686930
-27.945,flush_begin,0,0
-27.935,flush_end,0,2686930
-27.921,trivial_move,3,2686931
-27.918,flush_begin,0,0
-27.909,flush_end,0,2686932
-27.893,trivial_move,3,2686931
-27.891,flush_begin,0,0
-27.881,flush_end,0,2686930
-27.865,trivial_move,3,2686930
-27.862,flush_begin,0,0
-27.853,flush_end,0,2686931
-27.837,trivial_move,3,2686932
-27.835,flush_begin,0,0
-27.825,flush_end,0,2686931
-27.809,trivial_move,3,2686930
-27.806,flush_begin,0,0
-27.796,flush_end,0,2686931
-27.780,trivial_move,3,2686933
-27.777,flush_begin,0,0
-27.767,flush_end,0,2686931
-27.751,trivial_move,3,2686930
-27.748,flush_begin,0,0
-27.738,flush_end,0,2686931
-27.722,trivial_move,3,2686931
-27.719,flush_begin,0,0
-27.709,flush_end,0,2686930
-27.693,trivial_move,3,2686931
-27.690,flush_begin,0,0
-27.679,flush_end,0,2686933
-27.663,trivial_move,3,2686931
-27.662,flush_begin,0,0
-27.652,flush_end,0,2686930
-27.636,trivial_move,3,2686931
-27.633,flush_begin,0,0
-27.623,flush_end,0,2686931
-27.607,trivial_move,3,2686930
-27.604,flush_begin,0,0
-27.593,flush_end,0,2686931
-27.577,trivial_move,3,2686930
-27.574,flush_begin,0,0
-27.563,flush_end,0,2686930
-27.549,trivial_move,3,2686931
-27.544,flush_begin,0,0
-27.534,flush_end,0,2686932
-27.518,trivial_move,3,2686931
-27.515,flush_begin,0,0
-27.505,flush_end,0,2686930
-27.489,trivial_move,3,2686931
-27.485,flush_begin,0,0
-27.474,flush_end,0,2686932
-27.459,trivial_move,3,2686931
-27.455,flush_begin,0,0
-27.445,flush_end,0,2686930
-27.430,trivial_move,3,2686930
-27.426,flush_begin,0,0
-27.415,flush_end,0,2686931
-27.400,trivial_move,3,2686932
-27.396,flush_begin,0,0
-27.386,flush_end,0,2686931
-27.370,trivial_move,3,2686930
-27.366,flush_begin,0,0
-27.356,flush_end,0,2686931
-27.340,trivial_move,3,2686932
-27.337,flush_begin,0,0
-27.325,flush_end,0,2686931
-27.310,trivial_move,3,2686930
-27.307,flush_begin,0,0
-27.296,flush_end,0,2686930
-27.280,trivial_move,3,2686931
-27.277,flush_begin,0,0
-27.267,flush_end,0,2686930
-27.251,trivial_move,3,2686931
-27.247,flush_begin,0,0
-27.236,flush_end,0,2686931
-27.219,trivial_move,3,2686930
-27.217,flush_begin,0,0
-27.206,flush_end,0,2686931
-27.191,trivial_move,3,2686932
-27.186,flush_begin,0,0
-27.174,flush_end,0,2686931
-27.158,trivial_move,3,2686930
-27.154,flush_begin,0,0
-27.143,flush_end,0,2686931
