t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59839,51523,8316,49672,42277,0.85112,3,12,23,4096,1,2,0,0,255.97,16.42,461,932,255.97,176077,1923,682,0,1098,2938,25923,1746
2,60231,51665,8566,49523,42119,0.85049,3,14,26,4224,1,4,0,0,255.97,12.46,408,922,255.97,5335,7583,2842,0,14737,4865,63096,7611
3,60088,51804,8284,49599,42038,0.84756,3,15,27,3904,1,3,1,0,255.17,15.94,429,920,255.96,1836,13453,3149,0,16347,6798,91662,9227
4,78436,67609,10827,67284,56788,0.84400,4,17,29,3200,1,2,0,0,246.26,32.22,422,933,246.26,18835,31329,16011,0,32223,13139,109042,24914
5,60263,51703,8560,50520,42510,0.84145,3,13,24,3008,1,3,0,0,245.05,31.00,422,930,245.06,9951,54190,31577,0,57901,26134,140843,38969
6,60166,51834,8332,50073,42709,0.85293,3,13,23,2880,1,3,0,0,255.97,12.61,391,927,255.96,1945,55435,32614,0,62305,33265,163874,40628
7,70601,60696,9905,58085,49258,0.84803,3,13,22,2560,1,2,0,0,255.97,11.14,377,919,255.97,708,58764,33395,0,63297,35841,188598,41719
8,59827,51403,8424,49262,41122,0.83476,3,14,24,3072,1,2,1,0,255.97,11.25,368,918,255.97,840,70202,34406,0,72354,36708,214233,43046
9,60357,51772,8585,51712,43181,0.83503,4,17,31,3328,1,2,0,0,255.96,34.90,381,928,255.96,11060,77896,36818,0,79202,37650,223028,50749
10,60403,52050,8353,51145,42493,0.83083,3,14,24,3072,1,3,0,0,239.44,10.40,355,925,242.82,14495,102816,60946,0,99070,52654,246934,68108
11,67019,57697,9322,55900,47060,0.84186,3,13,23,2816,1,2,0,0,255.97,39.23,360,917,255.97,4412,111020,61338,0,108264,60337,274936,72650
12,59678,51306,8372,49321,41880,0.84913,3,12,22,2944,1,3,0,0,249.14,9.18,335,913,249.15,4077,114830,62665,0,121370,63007,297337,77632
13,60354,51888,8466,49441,42279,0.85514,3,14,24,2944,1,2,0,0,255.97,15.90,355,905,255.97,1234,116371,63227,0,122728,65371,324752,79103
14,67597,58120,9477,57838,49695,0.85921,4,16,29,3392,1,2,1,0,255.96,23.89,344,915,255.96,11009,123296,64444,0,127299,68469,332008,83361
15,60439,52012,8427,51168,42677,0.83406,4,15,26,3200,1,3,0,0,201.78,10.61,341,912,201.78,14382,158232,89312,0,150523,82470,365634,104726
16,59749,51273,8476,49727,41541,0.83538,3,13,22,2816,1,2,0,0,235.24,12.98,348,910,235.25,988,158268,89344,0,152259,90724,388534,105999
17,60270,51706,8564,49748,42077,0.84580,3,14,24,3328,1,3,0,0,255.96,19.91,341,907,255.96,7365,162584,92540,0,164873,93217,414456,111641
