t,type,level,bytes
-29.872,flush_begin,0,0
-29.862,flush_end,0,2686930
-29.852,flush_begin,0,0
-29.843,flush_end,0,2686931
-29.834,flush_begin,0,0
-29.824,flush_end,0,2686931
-29.814,flush_begin,0,0
-29.805,flush_end,0,2686931
-29.795,flush_begin,0,0
-29.786,flush_end,0,2686931
-29.776,flush_begin,0,0
-29.767,flush_end,0,2686930
-29.757,flush_begin,0,0
-29.747,flush_end,0,2686932
-29.738,flush_begin,0,0
-29.728,flush_end,0,2686930
-29.719,flush_begin,0,0
-29.709,flush_end,0,2686932
-29.700,flush_begin,0,0
-29.690,flush_end,0,2686930
-29.681,flush_begin,0,0
-29.671,flush_end,0,2686931
-29.662,flush_begin,0,0
-29.652,flush_end,0,2686931
-29.643,flush_begin,0,0
-29.633,flush_end,0,2686930
-29.623,flush_begin,0,0
-29.613,flush_end,0,2686932
-29.604,flush_begin,0,0
-29.595,flush_end,0,2686930
-29.585,flush_begin,0,0
-29.576,flush_end,0,2686931
-29.567,flush_begin,0,0
-29.557,flush_end,0,2686931
-29.547,flush_begin,0,0
-29.538,flush_end,0,2686931
-29.528,flush_begin,0,0
-29.519,flush_end,0,2686931
-29.510,flush_begin,0,0
-29.500,flush_end,0,2686931
-29.491,flush_begin,0,0
-29.481,flush_end,0,2686930
-29.472,flush_begin,0,0
-29.462,flush_end,0,2686933
-29.452,flush_begin,0,0
-29.443,flush_end,0,2686930
-29.434,flush_begin,0,0
-29.424,flush_end,0,2686932
-29.415,flush_begin,0,0
-29.405,flush_end,0,2686930
-29.396,flush_begin,0,0
-29.386,flush_end,0,2686930
-29.376,flush_begin,0,0
-29.366,flush_end,0,2686932
-29.356,flush_begin,0,0
-29.346,flush_end,0,2686930
-29.336,flush_begin,0,0
-29.327,flush_end,0,2686932
-29.317,flush_begin,0,0
-29.308,flush_end,0,2686930
-29.298,flush_begin,0,0
-29.289,flush_end,0,2686931
-29.280,flush_begin,0,0
-29.270,flush_end,0,2686931
-29.260,flush_begin,0,0
-29.250,flush_end,0,2686931
-29.241,flush_begin,0,0
-29.231,flush_end,0,2686931
-29.221,flush_begin,0,0
-29.212,flush_end,0,2686931
-29.203,flush_begin,0,0
-29.193,flush_end,0,2686930
-29.184,flush_begin,0,0
-29.174,flush_end,0,2686932
-29.165,flush_begin,0,0
-29.155,flush_end,0,2686930
-29.146,flush_begin,0,0
-29.136,flush_end,0,2686931
-29.126,flush_begin,0,0
-29.116,flush_end,0,2686931
-29.100,trivial_move,3,2686930
-29.099,flush_begin,0,0
-29.089,flush_end,0,2686930
-29.073,trivial_move,3,2686931
-29.073,flush_begin,0,0
-29.062,flush_end,0,2686932
-29.046,trivial_move,3,2686931
-29.046,flush_begin,0,0
-29.035,flush_end,0,2686930
-29.019,trivial_move,3,2686931
-29.018,flush_begin,0,0
-29.007,flush_end,0,2686933
-28.991,trivial_move,3,2686931
-28.990,flush_begin,0,0
-28.978,flush_end,0,2686930
-28.962,trivial_move,3,2686930
-28.961,flush_begin,0,0
-28.949,flush_end,0,2686931
-28.933,trivial_move,3,2686932
-28.932,flush_begin,0,0
-28.920,flush_end,0,2686931
-28.904,trivial_move,3,2686930
-28.902,flush_begin,0,0
-28.891,flush_end,0,2686931
-28.875,trivial_move,3,2686932
-28.873,flush_begin,0,0
-28.861,flush_end,0,2686931
-28.845,trivial_move,3,2686930
-28.843,flush_begin,0,0
-28.831,flush_end,0,2686930
-28.815,trivial_move,3,2686931
-28.813,flush_begin,0,0
-28.801,flush_end,0,2686930
-28.785,trivial_move,3,2686931
-28.783,flush_begin,0,0
-28.771,flush_end,0,2686931
-28.755,trivial_move,3,2686930
-28.753,flush_begin,0,0
-28.741,flush_end,0,2686931
-28.725,trivial_move,3,2686932
-28.723,flush_begin,0,0
-28.710,flush_end,0,2686931
-28.694,trivial_move,3,2686930
-28.692,flush_begin,0,0
-28.681,flush_end,0,2686931
-28.665,trivial_move,3,2686931
-28.663,flush_begin,0,0
-28.651,flush_end,0,2686930
-28.635,trivial_move,3,2686931
-28.633,flush_begin,0,0
-28.621,flush_end,0,2686932
