t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60144,51763,8381,49870,29342,0.58837,4,15,26,3456,1,6,0,0,255.96,42.72,260,818,255.96,158449,64453,3882,0,61901,612,61279,826
2,59861,51352,8509,49196,28756,0.58452,4,15,26,3328,0,7,0,0,255.96,61.77,278,811,255.96,722,126788,5445,0,123323,1284,122801,1631
3,60861,52480,8381,51092,30438,0.59575,5,17,31,3584,1,5,1,0,255.87,27.68,296,818,255.88,8973,174092,6737,0,165202,2298,164314,2882
4,59715,51416,8299,50949,39926,0.78365,3,15,27,3520,0,6,0,0,255.97,50.61,234,813,255.97,14142,215037,7879,0,225700,18995,224868,25535
5,60635,52109,8526,50930,32285,0.63391,4,15,26,3520,1,5,0,0,255.97,54.01,219,801,255.97,591,283585,19417,0,285777,21611,285999,26184
6,60491,52025,8466,50396,29901,0.59332,4,15,26,3456,1,6,0,0,255.96,42.37,217,795,255.96,736,348625,24664,0,346480,22343,346097,27001
7,60245,51992,8253,49799,29327,0.58891,4,15,26,3520,1,6,0,0,255.97,36.98,220,784,255.96,911,410543,26861,0,407171,23019,406877,28007
8,59748,51300,8448,48850,28399,0.58135,4,15,26,3456,1,6,0,0,255.97,42.15,210,777,255.97,580,472474,28102,0,468678,23664,468292,28648
9,60362,51790,8572,51760,34903,0.67432,5,19,35,3584,1,5,1,0,255.97,32.96,267,804,255.97,15170,509360,29324,0,507652,28976,507198,44274
10,60103,51657,8446,50873,36088,0.70937,3,14,25,3584,1,7,0,0,255.96,43.19,219,796,255.96,1350,564885,34056,0,568718,37630,567761,45744
11,60000,51729,8271,50341,32975,0.65503,4,15,25,3456,1,6,0,0,255.31,4.47,213,790,255.72,6585,626566,40744,0,629849,43216,629609,52719
12,60624,51978,8646,50182,29872,0.59527,4,15,26,3584,1,6,0,0,255.97,50.72,217,784,255.97,421,692295,46352,0,690216,44249,690488,53234
13,60062,51678,8384,49445,28628,0.57899,4,15,27,3520,1,6,0,0,255.97,65.58,204,771,255.96,446,755648,48691,0,751853,44612,751385,53612
14,59915,51672,8243,50637,31297,0.61807,4,17,31,3520,1,5,1,0,227.39,7.58,239,797,227.40,14995,801619,50045,0,793499,46359,793265,63353
15,60484,51941,8543,51335,40273,0.78451,3,14,25,3328,1,6,0,0,255.96,34.70,220,791,255.96,6143,845020,52750,0,855156,62997,855330,75555
16,60306,51871,8435,50668,30974,0.61131,4,15,26,3584,1,6,0,0,255.97,28.32,206,785,255.97,2034,915298,63413,0,917245,64755,917072,77820
17,59981,51488,8493,49716,29562,0.59462,4,15,26,3584,1,6,0,0,255.97,29.48,202,778,255.97,722,981186,68622,0,978644,65685,978154,78502
18,60522,51946,8576,49844,29099,0.58380,4,15,26,3584,1,6,0,0,255.96,54.38,212,772,255.96,409,1043462,70499,0,1039869,66293,1039294,79068
19,60414,51970,8444,49787,28823,0.57893,4,15,27,3584,1,6,1,0,255.97,28.11,213,767,255.97,1086,1102615,71318,0,1097376,66954,1096014,79604
20,60037,51654,8383,51389,38055,0.74053,4,17,32,3520,1,5,0,0,255.97,24.36,251,793,255.97,20858,1134302,72623,0,1142494,80121,1141925,101574
