t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60068,51701,8367,49851,38576,0.77383,3,12,22,2944,1,3,0,0,255.96,17.96,416,926,255.96,216365,0,0,0,0,0,33164,3852
2,60377,51813,8564,49647,40638,0.81854,3,12,23,3264,1,4,0,0,255.97,17.12,419,922,255.97,3731,0,0,0,0,0,72115,7063
3,59749,51488,8261,49285,40470,0.82114,3,13,23,3264,1,3,1,0,254.15,18.81,460,920,255.97,1994,0,0,0,0,0,98855,10117
4,78492,67671,10821,67344,51426,0.76363,4,16,28,3200,1,2,0,0,242.48,17.49,455,934,242.49,16309,0,0,0,0,0,117463,27174
5,59810,51313,8497,50150,28223,0.56277,3,13,23,3136,1,3,0,0,255.96,17.62,499,931,255.96,14838,0,0,0,0,0,148456,41190
6,60348,51989,8359,50208,37449,0.74588,3,12,23,3072,1,3,0,0,254.92,20.58,543,928,254.92,7395,0,0,0,0,0,177087,49665
7,60012,51638,8374,49456,40040,0.80961,3,13,22,2880,1,3,0,0,255.55,19.17,553,919,255.73,2899,0,0,0,0,0,201352,52633
8,60443,51937,8506,49361,40757,0.82569,3,12,22,2816,1,2,0,0,255.97,18.02,529,911,255.97,765,0,0,0,0,0,226629,53763
9,60366,51770,8596,51770,42472,0.82040,4,17,30,3264,1,2,1,0,255.97,16.28,483,917,255.97,10511,0,0,0,0,0,233984,56027
10,59892,51551,8341,50795,29439,0.57956,4,14,24,3328,1,4,0,0,233.93,16.92,487,913,255.82,16926,0,0,0,0,0,270706,80314
11,78651,67671,10980,65618,46537,0.70921,3,13,23,2880,1,3,0,0,255.97,15.19,379,904,255.97,7321,0,0,0,0,0,301335,84231
12,62697,53938,8759,51830,42030,0.81092,3,13,23,3072,1,3,0,0,255.97,15.38,354,901,255.97,1834,0,0,0,0,0,333457,91136
13,59911,51502,8409,49052,40603,0.82775,3,13,23,2688,1,2,0,0,255.97,14.12,325,899,255.97,2344,0,0,0,0,0,351876,92882
14,70546,60711,9835,60240,49603,0.82342,4,16,28,3328,1,2,1,0,255.97,14.28,306,911,255.97,10626,0,0,0,0,0,362927,94685
15,63746,54727,9019,53772,32133,0.59758,3,13,23,3200,1,3,0,0,234.86,14.18,322,908,237.82,15305,0,0,0,0,0,393681,119758
16,61393,52760,8633,51106,34419,0.67348,3,13,22,3200,1,2,0,0,255.96,13.15,317,900,255.96,4693,0,0,0,0,0,424262,125318
17,60175,51612,8563,49568,39694,0.80080,3,13,23,3328,1,4,0,0,255.45,13.47,337,896,255.96,3341,0,0,0,0,0,455412,127764
18,73588,63350,10238,60344,49645,0.82270,3,12,22,3008,1,3,0,0,248.34,16.57,370,893,254.81,6059,0,0,0,0,0,485962,134801
19,72080,61945,10135,61132,49939,0.81690,4,16,28,3392,1,2,1,0,255.97,15.28,363,899,255.97,10647,0,0,0,0,0,497033,135815
20,65215,56083,9132,55164,35201,0.63812,3,13,23,2944,1,2,0,0,255.96,15.30,389,897,255.96,14850,0,0,0,0,0,525842,159059
21,59977,51578,8399,50013,31972,0.63927,3,13,23,3136,1,3,0,0,255.96,14.08,386,894,255.96,5852,0,0,0,0,0,553896,165457
22,59992,51795,8197,49698,38918,0.78309,3,12,22,2816,1,3,0,0,253.61,14.78,397,891,255.27,6376,0,0,0,0,0,578832,173385
23,63253,54494,8759,51872,42271,0.81491,3,13,22,2624,1,2,0,0,255.96,13.69,378,889,255.97,1565,0,0,0,0,0,599089,174667
24,65057,56080,8977,54801,44985,0.82088,3,14,24,104,1,1,1,0,255.97,13.85,346,889,255.97,550,0,0,0,0,0,609265,175582
25,61540,53036,8504,52447,39828,0.75940,4,16,30,3520,1,2,0,0,236.63,14.42,391,898,240.25,16344,0,0,0,0,0,620594,186651
26,63143,54403,8740,52956,30808,0.58177,3,13,23,3008,1,2,0,0,255.81,15.88,409,896,255.81,8994,0,0,0,0,0,643120,201636
27,60260,51811,8449,49959,36946,0.73953,3,13,23,2496,1,2,0,0,255.10,15.70,432,894,255.70,5939,0,0,0,0,0,661318,206906
28,62008,53326,8682,50885,41012,0.80597,3,12,22,2432,1,2,0,0,250.57,16.97,445,892,251.72,5768,0,0,0,0,0,681548,213374
29,62294,53656,8638,51520,41991,0.81504,3,13,23,2944,1,2,1,0,255.97,15.05,439,890,255.98,950,0,0,0,0,0,701671,214768
30,85211,73234,11977,72678,56703,0.78019,4,16,27,3200,1,2,0,0,236.06,13.89,453,897,240.63,18547,0,0,0,0,0,713073,225880
31,63483,54375,9108,52975,30338,0.57269,3,13,23,2816,1,2,0,0,255.96,14.75,486,895,255.96,9553,0,0,0,0,0,741398,243471
32,59866,51475,8391,49539,36346,0.73368,3,13,23,3072,1,3,0,0,255.96,14.91,466,892,255.96,2083,0,0,0,0,0,763419,246063
33,62756,53960,8796,51509,42015,0.81568,3,12,23,3264,1,3,0,0,255.87,15.30,458,877,255.97,1146,0,0,0,0,0,793720,247482
34,76266,65709,10557,63992,52840,0.82573,3,13,23,66,1,1,1,0,255.97,15.25,410,877,255.97,590,0,0,0,0,0,803807,247656
35,61783,53011,8772,52468,40159,0.76540,4,16,29,3328,1,2,0,0,236.32,15.44,435,885,241.33,18560,0,0,0,0,0,815257,258785
36,63498,54728,8770,53310,30925,0.58010,3,13,23,3072,1,2,0,0,255.97,16.30,414,883,255.97,10696,0,0,0,0,0,842818,276813
37,60158,51781,8377,49832,36453,0.73152,3,13,23,212,1,2,0,0,255.82,16.95,408,881,255.82,6553,0,0,0,0,0,857851,283970
38,60480,51935,8545,49574,39807,0.80298,3,13,22,3136,1,3,0,0,255.61,16.47,403,878,255.97,2991,0,0,0,0,0,886329,287437
39,79079,67834,11245,65925,53986,0.81890,3,14,24,48,1,1,1,0,255.97,14.12,324,878,255.97,563,0,0,0,0,0,896505,288323
40,61822,53290,8532,52662,40125,0.76193,4,16,28,3200,1,2,0,0,237.51,13.72,338,885,240.68,16252,0,0,0,0,0,907987,299428
41,62373,53656,8717,52264,30287,0.57950,4,13,24,2560,1,2,0,0,255.96,12.21,340,883,255.96,9516,0,0,0,0,0,928437,314280
42,62773,53839,8934,51832,38455,0.74192,3,12,23,2496,1,2,0,0,254.86,13.97,379,881,255.64,5806,0,0,0,0,0,948879,316481
43,63677,54614,9063,52113,42325,0.81218,3,13,22,3136,1,2,0,0,255.97,16.56,385,879,255.97,2731,0,0,0,0,0,977228,324110
44,59806,51543,8263,50097,40932,0.81705,3,14,23,384,1,2,1,0,255.97,15.28,382,878,255.97,1675,0,0,0,0,0,989176,325516
45,72730,62653,10077,62100,47918,0.77163,4,17,29,3328,1,2,0,0,237.03,13.97,356,885,241.72,13216,0,0,0,0,0,1000694,336677
46,63704,54638,9066,53328,36173,0.67831,3,13,23,2944,1,2,0,0,255.96,13.56,352,883,255.96,14761,0,0,0,0,0,1029256,352966
47,60346,51935,8411,50040,32839,0.65625,3,13,23,2880,1,3,0,0,255.96,12.60,331,874,255.96,1476,0,0,0,0,0,1051535,356319
48,65821,56597,9224,54108,42881,0.79251,3,14,24,3072,1,3,0,0,243.79,13.60,354,865,243.80,6647,0,0,0,0,0,1083846,363299
49,60116,51698,8418,50094,40593,0.81034,3,14,24,2816,1,2,1,0,255.97,13.55,357,858,255.97,1586,0,0,0,0,0,1101868,364484
50,77777,66802,10975,66244,50986,0.76967,4,15,26,3200,1,2,0,0,239.37,13.50,394,867,240.66,18448,0,0,0,0,0,1113416,375630
51,60923,52413,8510,51159,32224,0.62988,3,13,23,2944,1,2,0,0,255.97,14.77,406,865,255.97,1240,0,0,0,0,0,1133753,385015
52,65461,56343,9118,54308,40160,0.73949,3,13,23,2560,1,2,0,0,255.83,14.18,402,857,255.83,7000,0,0,0,0,0,1154946,391721
53,60496,52025,8471,49668,38590,0.77696,3,13,23,3136,1,2,0,0,251.18,14.83,396,855,251.20,9544,0,0,0,0,0,1180488,400471
54,59913,51685,8228,49215,39559,0.80380,3,13,23,53,1,1,1,0,255.97,15.52,384,855,255.97,879,0,0,0,0,0,1188920,402709
55,59940,51611,8329,51427,42066,0.81797,4,17,29,3456,1,2,0,0,255.92,14.72,368,862,255.96,10749,0,0,0,0,0,1195771,404387
56,72640,62449,10191,61115,39524,0.64672,3,14,24,3072,1,2,0,0,255.96,12.80,386,860,255.96,11386,0,0,0,0,0,1222220,425075
57,60238,51860,8378,50176,36657,0.73057,3,13,23,2624,1,2,0,0,255.14,14.14,401,858,255.14,6947,0,0,0,0,0,1240600,431466
58,59922,51492,8430,49222,34965,0.71035,3,12,23,3008,1,3,0,0,255.07,15.84,398,855,255.08,6082,0,0,0,0,0,1273927,439624
59,60037,51664,8373,49006,39092,0.79770,3,13,23,256,1,2,0,0,255.97,13.77,358,853,255.96,1089,0,0,0,0,0,1287161,440515
60,62522,53746,8776,53443,43712,0.81792,4,17,29,3328,1,2,1,0,253.46,12.66,321,856,255.97,10725,0,0,0,0,0,1298551,441862
61,77512,66767,10745,65635,43744,0.66647,3,14,24,2880,1,2,0,0,255.83,14.02,376,854,255.83,14659,0,0,0,0,0,1327356,464961
62,60442,52075,8367,50381,32467,0.64443,3,13,23,3136,1,3,0,0,250.98,14.23,367,851,251.09,2503,0,0,0,0,0,1349838,468915
63,60060,51753,8307,49567,39684,0.80061,3,13,22,2688,1,2,0,0,252.35,16.12,375,848,252.36,5122,0,0,0,0,0,1370564,474522
64,59917,51426,8491,48954,40206,0.82130,3,14,23,272,1,1,0,0,255.96,15.52,376,847,255.96,1349,0,0,0,0,0,1386246,476145
65,64317,55392,8925,55060,45028,0.81780,4,17,29,3200,1,2,1,0,255.96,13.89,357,855,255.96,10494,0,0,0,0,0,1389144,477260
66,69921,60169,9752,59206,38712,0.65385,4,15,24,2752,1,2,0,0,255.96,14.17,352,853,255.96,14680,0,0,0,0,0,1417190,499598
67,60318,51813,8505,50140,32141,0.64103,3,13,23,2880,1,3,0,0,255.97,13.80,329,850,255.96,3245,0,0,0,0,0,1440254,504067
68,63687,54885,8802,52729,41948,0.79554,3,12,22,3072,1,3,0,0,250.28,14.76,300,842,250.28,6629,0,0,0,0,0,1473395,511397
