t,type,level,bytes
-29.877,flush_begin,0,0
-29.868,flush_end,0,2686930
-29.857,flush_begin,0,0
-29.848,flush_end,0,2686931
-29.837,flush_begin,0,0
-29.828,flush_end,0,2686931
-29.817,flush_begin,0,0
-29.808,flush_end,0,2686931
-29.797,flush_begin,0,0
-29.788,flush_end,0,2686931
-29.778,flush_begin,0,0
-29.769,flush_end,0,2686930
-29.759,flush_begin,0,0
-29.750,flush_end,0,2686932
-29.740,flush_begin,0,0
-29.730,flush_end,0,2686930
-29.719,flush_begin,0,0
-29.710,flush_end,0,2686932
-29.699,flush_begin,0,0
-29.690,flush_end,0,2686930
-29.679,flush_begin,0,0
-29.671,flush_end,0,2686931
-29.661,flush_begin,0,0
-29.652,flush_end,0,2686931
-29.642,flush_begin,0,0
-29.632,flush_end,0,2686930
-29.622,flush_begin,0,0
-29.612,flush_end,0,2686932
-29.602,flush_begin,0,0
-29.593,flush_end,0,2686930
-29.583,flush_begin,0,0
-29.573,flush_end,0,2686931
-29.563,flush_begin,0,0
-29.554,flush_end,0,2686931
-29.544,flush_begin,0,0
-29.535,flush_end,0,2686931
-29.525,flush_begin,0,0
-29.516,flush_end,0,2686931
-29.506,flush_begin,0,0
-29.497,flush_end,0,2686931
-29.486,flush_begin,0,0
-29.477,flush_end,0,2686930
-29.467,flush_begin,0,0
-29.457,flush_end,0,2686933
-29.447,flush_begin,0,0
-29.438,flush_end,0,2686930
-29.428,flush_begin,0,0
-29.419,flush_end,0,2686932
-29.408,flush_begin,0,0
-29.399,flush_end,0,2686930
-29.389,flush_begin,0,0
-29.378,flush_end,0,2686930
-29.369,flush_begin,0,0
-29.359,flush_end,0,2686932
-29.349,flush_begin,0,0
-29.340,flush_end,0,2686930
-29.328,flush_begin,0,0
-29.316,flush_end,0,2686932
-29.304,flush_begin,0,0
-29.286,flush_end,0,2686930
-29.277,flush_begin,0,0
-29.267,flush_end,0,2686931
-29.256,flush_begin,0,0
-29.247,flush_end,0,2686931
-29.236,flush_begin,0,0
-29.226,flush_end,0,2686931
-29.215,flush_begin,0,0
-29.206,flush_end,0,2686931
-29.196,flush_begin,0,0
-29.186,flush_end,0,2686931
-29.175,flush_begin,0,0
-29.166,flush_end,0,2686930
-29.155,flush_begin,0,0
-29.145,flush_end,0,2686932
-29.135,flush_begin,0,0
-29.125,flush_end,0,2686930
-29.114,flush_begin,0,0
-29.104,flush_end,0,2686931
-29.093,flush_begin,0,0
-29.084,flush_end,0,2686931
-29.068,trivial_move,3,2686930
-29.065,flush_begin,0,0
-29.054,flush_end,0,2686930
-29.038,trivial_move,3,2686931
-29.038,flush_begin,0,0
-29.027,flush_end,0,2686932
-29.012,trivial_move,3,2686931
-29.009,flush_begin,0,0
-28.998,flush_end,0,2686930
-28.982,trivial_move,3,2686931
-28.981,flush_begin,0,0
-28.971,flush_end,0,2686933
-28.960,trivial_move,3,2686931
-28.958,flush_begin,0,0
-28.943,flush_end,0,2686930
-28.927,trivial_move,3,2686930
-28.926,flush_begin,0,0
-28.916,flush_end,0,2686931
-28.900,trivial_move,3,2686932
-28.900,flush_begin,0,0
-28.890,flush_end,0,2686931
-28.874,trivial_move,3,2686930
-28.873,flush_begin,0,0
-28.864,flush_end,0,2686931
-28.848,trivial_move,3,2686932
-28.846,flush_begin,0,0
-28.836,flush_end,0,2686931
-28.820,trivial_move,3,2686930
-28.818,flush_begin,0,0
-28.809,flush_end,0,2686930
-28.793,trivial_move,3,2686931
-28.792,flush_begin,0,0
-28.779,flush_end,0,2686930
-28.763,trivial_move,3,2686931
-28.762,flush_begin,0,0
-28.751,flush_end,0,2686931
-28.735,trivial_move,3,2686930
-28.733,flush_begin,0,0
-28.721,flush_end,0,2686931
-28.705,trivial_move,3,2686932
-28.702,flush_begin,0,0
-28.691,flush_end,0,2686931
-28.675,trivial_move,3,2686930
-28.671,flush_begin,0,0
-28.658,flush_end,0,2686931
-28.643,trivial_move,3,2686931
-28.641,flush_begin,0,0
-28.628,flush_end,0,2686930
-28.612,trivial_move,3,2686931
-28.609,flush_begin,0,0
-28.596,flush_end,0,2686932
-28.580,trivial_move,3,2686931
