t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60124,51747,8377,49886,40674,0.81534,3,12,22,3776,1,6,0,0,248.47,25.58,551,838,248.49,274650,0,0,0,0,0,60694,7887
2,60362,51758,8604,49563,40969,0.82660,3,12,23,3648,1,5,0,0,255.97,26.55,546,827,255.97,5271,0,0,0,0,0,121491,13144
3,59937,51697,8240,50225,41382,0.82393,3,15,28,3648,0,6,1,0,255.97,23.31,487,823,255.97,3869,0,0,0,0,0,163288,17328
4,60295,51909,8386,51488,27810,0.54013,4,14,25,3648,1,5,0,0,204.25,23.15,478,848,204.26,35228,0,0,0,0,0,222380,52639
5,60372,51897,8475,50726,34801,0.68606,3,12,23,3840,1,6,0,0,242.51,22.74,488,842,242.54,5539,0,0,0,0,0,281916,58258
6,59769,51397,8372,49783,39781,0.79909,3,12,23,3840,1,6,0,0,254.95,26.33,500,835,254.96,5514,0,0,0,0,0,341340,63682
7,60307,52010,8297,49845,41082,0.82420,3,12,22,3584,1,6,0,0,255.90,23.97,430,823,255.90,6181,0,0,0,0,0,402148,68960
8,60431,51889,8542,49422,41166,0.83295,3,12,23,3712,1,6,0,0,253.56,21.91,367,805,253.57,4208,0,0,0,0,0,462652,74188
9,59988,51520,8468,51322,34489,0.67201,4,16,29,3648,1,5,1,0,201.31,20.97,338,831,201.35,29729,0,0,0,0,0,502998,101205
10,60108,51631,8477,50788,29594,0.58270,3,13,23,3776,1,6,0,0,230.53,22.70,355,825,230.54,9886,0,0,0,0,0,564106,113849
11,60281,51972,8309,50546,39476,0.78099,3,12,22,3712,1,6,0,0,244.89,23.33,354,819,244.90,6487,0,0,0,0,0,624587,120873
12,59887,51373,8514,49566,40633,0.81978,3,12,22,3712,1,6,0,0,255.71,22.14,330,807,255.72,4888,0,0,0,0,0,684010,125133
13,60320,51895,8425,49683,41119,0.82763,3,12,23,3904,1,6,0,0,250.85,20.76,330,794,250.86,5934,0,0,0,0,0,743605,131326
14,60125,51854,8271,50756,41807,0.82369,4,16,29,3584,1,4,1,0,255.97,21.41,319,821,255.97,12329,0,0,0,0,0,782066,142415
15,59938,51474,8464,50950,25498,0.50045,3,13,23,3712,1,6,0,0,250.90,20.45,335,815,250.91,20812,0,0,0,0,0,843279,164690
16,60383,51879,8504,50705,37433,0.73825,3,12,22,3904,1,6,0,0,255.85,22.44,359,809,255.85,6728,0,0,0,0,0,903154,172128
17,60204,51748,8456,50013,40755,0.81489,3,12,23,3648,1,6,0,0,237.20,22.34,374,803,237.21,9912,0,0,0,0,0,963929,182233
18,59789,51290,8499,49225,40339,0.81948,3,12,22,3776,1,6,0,0,251.43,21.76,388,791,251.43,4896,0,0,0,0,0,1024229,187256
