t,type,level,bytes
-29.838,flush_begin,0,0
-29.828,flush_end,0,2686930
-29.817,flush_begin,0,0
-29.808,flush_end,0,2686931
-29.797,flush_begin,0,0
-29.788,flush_end,0,2686931
-29.777,flush_begin,0,0
-29.768,flush_end,0,2686931
-29.757,flush_begin,0,0
-29.748,flush_end,0,2686931
-29.737,flush_begin,0,0
-29.728,flush_end,0,2686930
-29.717,flush_begin,0,0
-29.708,flush_end,0,2686932
-29.699,flush_begin,0,0
-29.687,flush_end,0,2686930
-29.677,flush_begin,0,0
-29.668,flush_end,0,2686932
-29.657,flush_begin,0,0
-29.648,flush_end,0,2686930
-29.637,flush_begin,0,0
-29.628,flush_end,0,2686931
-29.617,flush_begin,0,0
-29.608,flush_end,0,2686931
-29.597,flush_begin,0,0
-29.587,flush_end,0,2686930
-29.576,flush_begin,0,0
-29.567,flush_end,0,2686932
-29.557,flush_begin,0,0
-29.548,flush_end,0,2686930
-29.538,flush_begin,0,0
-29.529,flush_end,0,2686931
-29.519,flush_begin,0,0
-29.510,flush_end,0,2686931
-29.499,flush_begin,0,0
-29.490,flush_end,0,2686931
-29.479,flush_begin,0,0
-29.470,flush_end,0,2686931
-29.459,flush_begin,0,0
-29.450,flush_end,0,2686931
-29.439,flush_begin,0,0
-29.430,flush_end,0,2686930
-29.419,flush_begin,0,0
-29.410,flush_end,0,2686933
-29.399,flush_begin,0,0
-29.390,flush_end,0,2686930
-29.379,flush_begin,0,0
-29.370,flush_end,0,2686932
-29.359,flush_begin,0,0
-29.350,flush_end,0,2686930
-29.339,flush_begin,0,0
-29.330,flush_end,0,2686930
-29.320,flush_begin,0,0
-29.310,flush_end,0,2686932
-29.299,flush_begin,0,0
-29.290,flush_end,0,2686930
-29.279,flush_begin,0,0
-29.270,flush_end,0,2686932
-29.259,flush_begin,0,0
-29.250,flush_end,0,2686930
-29.239,flush_begin,0,0
-29.229,flush_end,0,2686931
-29.218,flush_begin,0,0
-29.209,flush_end,0,2686931
-29.198,flush_begin,0,0
-29.189,flush_end,0,2686931
-29.178,flush_begin,0,0
-29.169,flush_end,0,2686931
-29.158,flush_begin,0,0
-29.149,flush_end,0,2686931
-29.138,flush_begin,0,0
-29.129,flush_end,0,2686930
-29.118,flush_begin,0,0
-29.109,flush_end,0,2686932
-29.098,flush_begin,0,0
-29.089,flush_end,0,2686930
-29.078,flush_begin,0,0
-29.069,flush_end,0,2686931
-29.058,flush_begin,0,0
-29.049,flush_end,0,2686931
-29.033,trivial_move,3,2686930
-29.031,flush_begin,0,0
-29.021,flush_end,0,2686930
-29.006,trivial_move,3,2686931
-29.004,flush_begin,0,0
-28.995,flush_end,0,2686932
-28.979,trivial_move,3,2686931
-28.977,flush_begin,0,0
-28.967,flush_end,0,2686930
-28.951,trivial_move,3,2686931
-28.949,flush_begin,0,0
-28.939,flush_end,0,2686933
-28.923,trivial_move,3,2686931
-28.921,flush_begin,0,0
-28.911,flush_end,0,2686930
-28.895,trivial_move,3,2686930
-28.893,flush_begin,0,0
-28.882,flush_end,0,2686931
-28.865,trivial_move,3,2686932
-28.864,flush_begin,0,0
-28.853,flush_end,0,2686931
-28.837,trivial_move,3,2686930
-28.834,flush_begin,0,0
-28.824,flush_end,0,2686931
-28.808,trivial_move,3,2686932
-28.805,flush_begin,0,0
-28.794,flush_end,0,2686931
-28.777,trivial_move,3,2686930
-28.775,flush_begin,0,0
-28.764,flush_end,0,2686930
-28.748,trivial_move,3,2686931
-28.745,flush_begin,0,0
-28.734,flush_end,0,2686930
-28.718,trivial_move,3,2686931
-28.714,flush_begin,0,0
-28.703,flush_end,0,2686931
-28.686,trivial_move,3,2686930
-28.684,flush_begin,0,0
-28.673,flush_end,0,2686931
-28.657,trivial_move,3,2686932
-28.654,flush_begin,0,0
-28.643,flush_end,0,2686931
-28.627,trivial_move,3,2686930
-28.624,flush_begin,0,0
-28.613,flush_end,0,2686931
-28.597,trivial_move,3,2686931
-28.594,flush_begin,0,0
-28.584,flush_end,0,2686930
-28.568,trivial_move,3,2686931
-28.565,flush_begin,0,0
-28.555,flush_end,0,2686932
-28.539,trivial_move,3,2686931
-28.537,flush_begin,0,0
-28.526,flush_end,0,2686930
-28.510,trivial_move,3,2686931
-28.507,flush_begin,0,0
-28.496,flush_end,0,2686932
-28.480,trivial_move,3,2686931
-28.478,flush_begin,0,0
-28.467,flush_end,0,2686930
-28.451,trivial_move,3,2686930
-28.448,flush_begin,0,0
-28.437,flush_end,0,2686931
-28.421,trivial_move,3,2686933
-28.418,flush_begin,0,0
-28.407,flush_end,0,2686931
-28.390,trivial_move,3,2686930
-28.387,flush_begin,0,0
-28.376,flush_end,0,2686930
-28.360,trivial_move,3,2686932
-28.357,flush_begin,0,0
-28.346,flush_end,0,2686932
-28.329,trivial_move,3,2686930
-28.327,flush_begin,0,0
-28.316,flush_end,0,2686930
-28.300,trivial_move,3,2686930
-28.297,flush_begin,0,0
-28.286,flush_end,0,2686932
-28.270,trivial_move,3,2686932
-28.267,flush_begin,0,0
-28.255,flush_end,0,2686931
-28.239,trivial_move,3,2686930
-28.236,flush_begin,0,0
-28.225,flush_end,0,2686931
-28.209,trivial_move,3,2686932
-28.206,flush_begin,0,0
-28.195,flush_end,0,2686931
-28.179,trivial_move,3,2686930
-28.176,flush_begin,0,0
-28.165,flush_end,0,2686931
-28.148,trivial_move,3,2686931
-28.145,flush_begin,0,0
-28.134,flush_end,0,2686930
