t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59725,51419,8306,49592,42195,0.85084,3,13,23,3200,1,3,0,0,255.97,11.97,355,905,255.97,179076,1163,816,0,140,4506,33919,1487
2,60230,51681,8549,49548,42008,0.84782,3,12,23,3264,1,4,0,0,255.46,13.92,368,894,255.97,5457,4363,1554,0,4271,6260,70587,3949
3,66608,57377,9231,54961,46094,0.83867,3,13,23,3136,1,3,1,0,255.75,16.56,361,892,255.97,1261,16919,3110,0,16440,8109,100615,8018
4,78936,68071,10865,67692,57216,0.84524,4,16,28,3200,1,2,0,0,255.52,35.11,371,906,255.52,18249,32517,13727,0,33291,13358,118989,24188
5,60626,52008,8618,50798,42691,0.84041,3,13,23,3264,1,4,0,0,254.98,17.37,424,896,255.97,7769,47395,24252,0,44699,25857,152542,29017
6,65295,56249,9046,54277,45608,0.84028,3,13,22,3200,1,3,0,0,255.50,17.34,425,893,255.50,1284,57887,30437,0,51240,33226,191259,36392
7,60116,51643,8473,49363,41545,0.84162,3,13,22,3008,1,3,0,0,249.84,10.29,351,890,253.29,7191,66784,34444,0,70945,35820,213491,43578
8,66981,57612,9369,55664,47729,0.85745,3,13,23,2688,1,2,1,0,255.97,11.16,355,889,255.97,1004,71709,34817,0,73178,39003,233426,44504
9,63153,54218,8935,53989,45987,0.85178,4,17,29,3328,1,2,0,0,249.26,34.64,380,900,249.26,17994,90582,46105,0,90052,45587,251231,59778
10,60135,51743,8392,50637,43117,0.85149,3,13,22,3648,1,3,0,0,255.97,33.49,382,897,255.97,15001,106661,59512,0,107065,61027,282645,75419
11,60379,51949,8430,50270,42705,0.84951,3,12,23,3904,1,4,0,0,255.97,10.63,359,888,255.97,3948,116948,63923,0,118347,66187,316062,79630
12,64994,55895,9099,53641,44830,0.83574,3,13,23,3520,1,3,0,0,255.96,9.23,344,880,255.96,542,123742,66158,0,128629,68731,346098,83238
13,70045,60279,9766,57892,48689,0.84103,3,13,23,3264,1,3,1,0,255.97,11.05,349,871,255.97,1128,134045,67078,0,134121,70905,373587,83786
14,71461,61419,10042,61194,51616,0.84348,4,17,28,3328,1,2,0,0,248.69,34.48,394,883,248.70,16270,156129,78170,0,150714,76703,391449,100751
15,59785,51375,8410,50239,42133,0.83865,3,13,23,3200,1,3,0,0,247.40,11.14,378,880,251.74,12102,174189,94415,0,170880,91270,415398,112568
16,69322,59585,9737,57525,49033,0.85238,3,13,22,3328,1,4,0,0,255.75,14.30,413,876,255.75,2361,178339,94874,0,172232,97129,459256,115632
17,60007,51458,8549,49330,42165,0.85475,3,13,23,2944,1,3,0,0,255.97,15.31,439,868,255.97,1916,178547,95043,0,172375,99026,483686,116930
18,60225,51847,8378,49485,41949,0.84771,3,12,23,3008,1,2,1,0,255.72,14.38,411,867,255.72,3590,185109,95643,0,184221,100709,511994,121683
19,60077,51652,8425,51461,43871,0.85251,4,16,29,3328,1,2,0,0,255.96,29.31,395,873,255.96,11079,191068,97460,0,188996,102760,519393,127331
20,59823,51427,8396,50601,42593,0.84174,3,11,22,3136,1,3,0,0,216.97,9.90,347,870,226.39,10591,214512,117143,0,206630,112511,545202,143060
