t,type,level,bytes
-29.881,flush_begin,0,0
-29.871,flush_end,0,2686930
-29.862,flush_begin,0,0
-29.853,flush_end,0,2686931
-29.843,flush_begin,0,0
-29.834,flush_end,0,2686931
-29.825,flush_begin,0,0
-29.815,flush_end,0,2686931
-29.805,flush_begin,0,0
-29.796,flush_end,0,2686931
-29.786,flush_begin,0,0
-29.777,flush_end,0,2686930
-29.767,flush_begin,0,0
-29.757,flush_end,0,2686932
-29.747,flush_begin,0,0
-29.737,flush_end,0,2686930
-29.727,flush_begin,0,0
-29.718,flush_end,0,2686932
-29.709,flush_begin,0,0
-29.699,flush_end,0,2686930
-29.689,flush_begin,0,0
-29.678,flush_end,0,2686931
-29.669,flush_begin,0,0
-29.660,flush_end,0,2686931
-29.650,flush_begin,0,0
-29.641,flush_end,0,2686930
-29.631,flush_begin,0,0
-29.622,flush_end,0,2686932
-29.612,flush_begin,0,0
-29.604,flush_end,0,2686930
-29.594,flush_begin,0,0
-29.585,flush_end,0,2686931
-29.576,flush_begin,0,0
-29.567,flush_end,0,2686931
-29.558,flush_begin,0,0
-29.549,flush_end,0,2686931
-29.539,flush_begin,0,0
-29.530,flush_end,0,2686931
-29.520,flush_begin,0,0
-29.510,flush_end,0,2686931
-29.501,flush_begin,0,0
-29.491,flush_end,0,2686930
-29.481,flush_begin,0,0
-29.471,flush_end,0,2686933
-29.461,flush_begin,0,0
-29.451,flush_end,0,2686930
-29.442,flush_begin,0,0
-29.433,flush_end,0,2686932
-29.423,flush_begin,0,0
-29.413,flush_end,0,2686930
-29.404,flush_begin,0,0
-29.394,flush_end,0,2686930
-29.384,flush_begin,0,0
-29.375,flush_end,0,2686932
-29.366,flush_begin,0,0
-29.356,flush_end,0,2686930
-29.346,flush_begin,0,0
-29.337,flush_end,0,2686932
-29.327,flush_begin,0,0
-29.318,flush_end,0,2686930
-29.308,flush_begin,0,0
-29.298,flush_end,0,2686931
-29.288,flush_begin,0,0
-29.279,flush_end,0,2686931
-29.269,flush_begin,0,0
-29.260,flush_end,0,2686931
-29.250,flush_begin,0,0
-29.241,flush_end,0,2686931
-29.231,flush_begin,0,0
-29.221,flush_end,0,2686931
-29.211,flush_begin,0,0
-29.202,flush_end,0,2686930
-29.192,flush_begin,0,0
-29.183,flush_end,0,2686932
-29.173,flush_begin,0,0
-29.164,flush_end,0,2686930
-29.155,flush_begin,0,0
-29.146,flush_end,0,2686931
-29.136,flush_begin,0,0
-29.127,flush_end,0,2686931
-29.111,trivial_move,3,2686930
-29.110,flush_begin,0,0
-29.101,flush_end,0,2686930
-29.085,trivial_move,3,2686931
-29.084,flush_begin,0,0
-29.075,flush_end,0,2686932
-29.059,trivial_move,3,2686931
-29.059,flush_begin,0,0
-29.049,flush_end,0,2686930
-29.033,trivial_move,3,2686931
-29.032,flush_begin,0,0
-29.022,flush_end,0,2686933
-29.006,trivial_move,3,2686931
-29.005,flush_begin,0,0
-28.995,flush_end,0,2686930
-28.979,trivial_move,3,2686930
-28.979,flush_begin,0,0
-28.968,flush_end,0,2686931
-28.952,trivial_move,3,2686932
-28.952,flush_begin,0,0
-28.941,flush_end,0,2686931
-28.925,trivial_move,3,2686930
-28.923,flush_begin,0,0
-28.912,flush_end,0,2686931
-28.896,trivial_move,3,2686932
-28.896,flush_begin,0,0
-28.885,flush_end,0,2686931
-28.869,trivial_move,3,2686930
-28.868,flush_begin,0,0
-28.857,flush_end,0,2686930
-28.840,trivial_move,3,2686931
-28.838,flush_begin,0,0
-28.827,flush_end,0,2686930
-28.811,trivial_move,3,2686931
-28.810,flush_begin,0,0
-28.798,flush_end,0,2686931
-28.782,trivial_move,3,2686930
-28.780,flush_begin,0,0
-28.768,flush_end,0,2686931
