t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60491,52020,8471,50105,40497,0.80824,3,12,23,4480,1,6,0,0,255.97,19.05,510,847,255.97,0,0,0,0,0,0,59451,1538
2,60089,51582,8507,49387,40598,0.82204,3,13,24,3776,1,6,0,0,255.97,23.33,567,830,255.97,0,0,0,0,0,0,119305,3740
3,60224,51908,8316,50620,41516,0.82015,4,17,31,3776,1,5,1,0,255.97,28.15,587,856,255.97,0,0,0,0,0,0,160798,7590
4,60316,51969,8347,51429,25990,0.50536,4,15,26,3776,1,6,0,0,255.96,15.90,446,850,255.96,0,0,0,0,0,0,221180,34836
5,60339,51849,8490,50680,35828,0.70695,3,13,24,3776,1,5,0,0,255.97,15.23,438,845,255.97,0,0,0,0,0,0,282532,37073
6,60354,51902,8452,50236,39994,0.79612,3,13,23,3776,0,7,0,0,255.96,19.45,448,834,255.96,0,0,0,0,0,0,343583,40293
7,60715,52360,8355,50164,40978,0.81688,3,12,23,3840,1,6,0,0,255.97,22.52,480,809,255.97,0,0,0,0,0,0,405078,42778
8,60713,52151,8562,49675,41057,0.82651,3,11,22,3968,1,6,1,0,255.97,25.00,495,798,255.96,0,0,0,0,0,0,466199,46319
9,59749,51270,8479,51309,35253,0.68707,4,16,29,3776,1,5,0,0,255.97,21.93,470,823,255.97,0,0,0,0,0,0,507973,71705
10,60077,51645,8432,50735,27948,0.55086,4,12,23,3904,1,6,0,0,255.98,12.18,391,817,255.98,0,0,0,0,0,0,569823,79480
11,60750,52366,8384,50888,39302,0.77232,3,11,22,4096,1,6,0,0,255.96,18.10,415,811,255.96,0,0,0,0,0,0,630729,81609
12,60061,51499,8562,49694,40339,0.81175,3,11,22,3904,1,6,0,0,255.96,21.91,425,799,255.96,0,0,0,0,0,0,692894,84247
13,60025,51608,8417,49368,40623,0.82286,3,11,21,3904,1,6,0,0,255.96,23.74,430,793,255.96,0,0,0,0,0,0,754657,86888
14,60281,52027,8254,51094,41071,0.80383,4,15,28,3712,1,5,1,0,255.97,23.89,433,819,255.97,0,0,0,0,0,0,796037,100017
15,59687,51253,8434,50691,24975,0.49269,4,12,24,3904,1,6,0,0,255.97,15.85,409,813,255.97,0,0,0,0,0,0,858250,119549
16,60259,51802,8457,50560,36822,0.72828,3,11,23,4032,1,6,0,0,255.96,14.51,419,807,255.96,0,0,0,0,0,0,918806,121168
17,60604,52071,8533,50276,40343,0.80243,3,12,23,4032,1,6,0,0,255.97,19.26,452,801,255.97,0,0,0,0,0,0,979608,124039
18,59683,51202,8481,49080,40338,0.82188,3,12,24,4096,1,6,0,0,255.96,25.56,473,795,255.96,0,0,0,0,0,0,1038404,126210
19,60396,51956,8440,49854,40995,0.82230,3,13,24,3840,0,6,1,0,255.96,26.09,473,784,255.96,0,0,0,0,0,0,1098235,129797
20,60297,51897,8400,51693,34638,0.67007,5,18,31,3904,1,4,0,0,255.96,20.96,417,810,255.96,0,0,0,0,0,0,1139068,158435
21,59812,51367,8445,50302,28466,0.56590,4,14,25,4352,1,6,0,0,255.97,11.76,369,804,255.96,0,0,0,0,0,0,1198149,163390
22,60549,52028,8521,50513,38980,0.77168,3,13,24,4992,1,6,0,0,255.97,16.91,386,798,255.97,0,0,0,0,0,0,1255495,165013
23,60169,51922,8247,49937,40437,0.80976,3,12,23,3968,1,6,0,0,255.97,20.79,413,792,255.97,0,0,0,0,0,0,1316747,167390
24,59898,51557,8341,49164,40585,0.82550,3,11,22,4480,1,6,0,0,255.97,24.97,428,786,255.97,0,0,0,0,0,0,1375776,170724
25,60762,52442,8320,51772,41647,0.80443,4,16,28,3840,1,5,1,0,255.97,25.60,425,812,255.97,0,0,0,0,0,0,1416859,184743
26,60057,51709,8348,51024,24914,0.48828,4,12,24,4480,1,6,0,0,255.96,14.88,397,806,255.96,0,0,0,0,0,0,1475900,200752
27,60026,51777,8249,50438,37047,0.73451,3,11,23,4736,1,5,0,0,255.96,16.83,408,801,255.96,0,0,0,0,0,0,1534612,204742
28,60492,52112,8380,50395,40281,0.79931,3,11,22,5120,1,6,0,0,255.96,21.79,430,794,255.96,0,0,0,0,0,0,1591537,206627
29,59880,51433,8447,49316,40368,0.81856,3,11,21,4608,1,6,0,0,255.96,23.13,421,788,255.96,0,0,0,0,0,0,1649921,209942
