t,type,level,bytes
-29.867,flush_begin,0,0
-29.857,flush_end,0,2686930
-29.848,flush_begin,0,0
-29.837,flush_end,0,2686931
-29.828,flush_begin,0,0
-29.818,flush_end,0,2686931
-29.809,flush_begin,0,0
-29.799,flush_end,0,2686931
-29.790,flush_begin,0,0
-29.780,flush_end,0,2686931
-29.772,flush_begin,0,0
-29.762,flush_end,0,2686930
-29.753,flush_begin,0,0
-29.743,flush_end,0,2686932
-29.735,flush_begin,0,0
-29.725,flush_end,0,2686930
-29.715,flush_begin,0,0
-29.705,flush_end,0,2686932
-29.695,flush_begin,0,0
-29.685,flush_end,0,2686930
-29.676,flush_begin,0,0
-29.665,flush_end,0,2686931
-29.655,flush_begin,0,0
-29.645,flush_end,0,2686931
-29.636,flush_begin,0,0
-29.625,flush_end,0,2686930
-29.616,flush_begin,0,0
-29.605,flush_end,0,2686932
-29.595,flush_begin,0,0
-29.585,flush_end,0,2686930
-29.576,flush_begin,0,0
-29.566,flush_end,0,2686931
-29.557,flush_begin,0,0
-29.547,flush_end,0,2686931
-29.537,flush_begin,0,0
-29.527,flush_end,0,2686931
-29.519,flush_begin,0,0
-29.508,flush_end,0,2686931
-29.499,flush_begin,0,0
-29.488,flush_end,0,2686931
-29.478,flush_begin,0,0
-29.468,flush_end,0,2686930
-29.459,flush_begin,0,0
-29.448,flush_end,0,2686933
-29.439,flush_begin,0,0
-29.429,flush_end,0,2686930
-29.420,flush_begin,0,0
-29.409,flush_end,0,2686932
-29.400,flush_begin,0,0
-29.389,flush_end,0,2686930
-29.380,flush_begin,0,0
-29.370,flush_end,0,2686930
-29.359,flush_begin,0,0
-29.348,flush_end,0,2686932
-29.339,flush_begin,0,0
-29.329,flush_end,0,2686930
-29.319,flush_begin,0,0
-29.309,flush_end,0,2686932
-29.299,flush_begin,0,0
-29.289,flush_end,0,2686930
-29.279,flush_begin,0,0
-29.268,flush_end,0,2686931
-29.259,flush_begin,0,0
-29.248,flush_end,0,2686931
-29.238,flush_begin,0,0
-29.228,flush_end,0,2686931
-29.219,flush_begin,0,0
-29.208,flush_end,0,2686931
-29.198,flush_begin,0,0
-29.187,flush_end,0,2686931
-29.178,flush_begin,0,0
-29.167,flush_end,0,2686930
-29.158,flush_begin,0,0
-29.147,flush_end,0,2686932
-29.137,flush_begin,0,0
-29.126,flush_end,0,2686930
-29.117,flush_begin,0,0
-29.106,flush_end,0,2686931
-29.097,flush_begin,0,0
-29.087,flush_end,0,2686931
-29.072,trivial_move,3,2686930
-29.071,flush_begin,0,0
-29.059,flush_end,0,2686930
-29.044,trivial_move,3,2686931
-29.043,flush_begin,0,0
-29.032,flush_end,0,2686932
-29.017,trivial_move,3,2686931
-29.016,flush_begin,0,0
-29.005,flush_end,0,2686930
-28.990,trivial_move,3,2686931
-28.988,flush_begin,0,0
-28.977,flush_end,0,2686933
-28.961,trivial_move,3,2686931
-28.959,flush_begin,0,0
-28.948,flush_end,0,2686930
-28.932,trivial_move,3,2686930
-28.931,flush_begin,0,0
-28.919,flush_end,0,2686931
-28.904,trivial_move,3,2686932
-28.903,flush_begin,0,0
-28.890,flush_end,0,2686931
-28.874,trivial_move,3,2686930
-28.872,flush_begin,0,0
-28.860,flush_end,0,2686931
-28.844,trivial_move,3,2686932
-28.843,flush_begin,0,0
-28.831,flush_end,0,2686931
-28.815,trivial_move,3,2686930
-28.813,flush_begin,0,0
-28.801,flush_end,0,2686930
-28.786,trivial_move,3,2686931
-28.784,flush_begin,0,0
-28.772,flush_end,0,2686930
-28.756,trivial_move,3,2686931
-28.754,flush_begin,0,0
-28.742,flush_end,0,2686931
-28.726,trivial_move,3,2686930
-28.724,flush_begin,0,0
-28.712,flush_end,0,2686931
-28.696,trivial_move,3,2686932
-28.695,flush_begin,0,0
-28.683,flush_end,0,2686931
-28.667,trivial_move,3,2686930
-28.665,flush_begin,0,0
-28.652,flush_end,0,2686931
-28.636,trivial_move,3,2686931
-28.634,flush_begin,0,0
-28.621,flush_end,0,2686930
-28.605,trivial_move,3,2686931
-28.602,flush_begin,0,0
-28.589,flush_end,0,2686932
-28.573,trivial_move,3,2686931
-28.571,flush_begin,0,0
-28.558,flush_end,0,2686930
-28.542,trivial_move,3,2686931
-28.539,flush_begin,0,0
-28.527,flush_end,0,2686932
-28.512,trivial_move,3,2686931
-28.510,flush_begin,0,0
-28.496,flush_end,0,2686930
-28.480,trivial_move,3,2686930
-28.478,flush_begin,0,0
-28.465,flush_end,0,2686931
-28.449,trivial_move,3,2686933
-28.446,flush_begin,0,0
-28.434,flush_end,0,2686931
-28.418,trivial_move,3,2686930
-28.416,flush_begin,0,0
-28.403,flush_end,0,2686930
-28.387,trivial_move,3,2686932
-28.385,flush_begin,0,0
-28.372,flush_end,0,2686932
-28.357,trivial_move,3,2686930
-28.353,flush_begin,0,0
-28.341,flush_end,0,2686930
-28.325,trivial_move,3,2686930
-28.323,flush_begin,0,0
-28.311,flush_end,0,2686932
-28.296,trivial_move,3,2686932
-28.294,flush_begin,0,0
-28.281,flush_end,0,2686931
-28.265,trivial_move,3,2686930
-28.263,flush_begin,0,0
-28.250,flush_end,0,2686931
-28.234,trivial_move,3,2686932
-28.232,flush_begin,0,0
-28.220,flush_end,0,2686931
-28.204,trivial_move,3,2686930
-28.202,flush_begin,0,0
-28.190,flush_end,0,2686931
-28.174,trivial_move,3,2686931
-28.171,flush_begin,0,0
-28.159,flush_end,0,2686930
-28.143,trivial_move,3,2686931
-28.140,flush_begin,0,0
-28.127,flush_end,0,2686932
-28.111,trivial_move,3,2686931
-28.109,flush_begin,0,0
-28.097,flush_end,0,2686930
-28.081,trivial_move,3,2686931
-28.078,flush_begin,0,0
-28.065,flush_end,0,2686932
-28.049,trivial_move,3,2686931
-28.047,flush_begin,0,0
-28.033,flush_end,0,2686930
-28.017,trivial_move,3,2686930
-28.015,flush_begin,0,0
-28.002,flush_end,0,2686930
-27.986,trivial_move,3,2686932
-27.983,flush_begin,0,0
-27.970,flush_end,0,2686932
-27.954,trivial_move,3,2686930
-27.951,flush_begin,0,0
-27.938,flush_end,0,2686930
-27.922,trivial_move,3,2686931
-27.919,flush_begin,0,0
-27.905,flush_end,0,2686932
-27.889,trivial_move,3,2686931
-27.886,flush_begin,0,0
-27.873,flush_end,0,2686930
-27.858,trivial_move,3,2686930
-27.855,flush_begin,0,0
-27.841,flush_end,0,2686931
-27.825,trivial_move,3,2686932
-27.822,flush_begin,0,0
-27.810,flush_end,0,2686931
-27.794,trivial_move,3,2686930
-27.791,flush_begin,0,0
-27.777,flush_end,0,2686931
-27.761,trivial_move,3,2686933
-27.759,flush_begin,0,0
-27.746,flush_end,0,2686931
-27.730,trivial_move,3,2686930
-27.728,flush_begin,0,0
-27.715,flush_end,0,2686931
-27.699,trivial_move,3,2686931
-27.697,flush_begin,0,0
-27.683,flush_end,0,2686930
-27.667,trivial_move,3,2686931
-27.665,flush_begin,0,0
-27.651,flush_end,0,2686933
-27.635,trivial_move,3,2686931
-27.631,flush_begin,0,0
-27.618,flush_end,0,2686930
-27.602,trivial_move,3,2686931
-27.599,flush_begin,0,0
-27.585,flush_end,0,2686931
-27.569,trivial_move,3,2686930
-27.567,flush_begin,0,0
-27.554,flush_end,0,2686931
-27.538,trivial_move,3,2686930
-27.534,flush_begin,0,0
-27.521,flush_end,0,2686930
-27.505,trivial_move,3,2686931
-27.501,flush_begin,0,0
-27.488,flush_end,0,2686932
-27.472,trivial_move,3,2686931
-27.469,flush_begin,0,0
-27.456,flush_end,0,2686930
-27.440,trivial_move,3,2686931
-27.438,flush_begin,0,0
-27.425,flush_end,0,2686932
-27.409,trivial_move,3,2686931
-27.407,flush_begin,0,0
-27.393,flush_end,0,2686930
-27.377,trivial_move,3,2686930
-27.374,flush_begin,0,0
-27.361,flush_end,0,2686931
-27.345,trivial_move,3,2686932
-27.342,flush_begin,0,0
-27.328,flush_end,0,2686931
-27.312,trivial_move,3,2686930
-27.309,flush_begin,0,0
-27.295,flush_end,0,2686931
-27.279,trivial_move,3,2686932
-27.277,flush_begin,0,0
-27.263,flush_end,0,2686931
-27.247,trivial_move,3,2686930
-27.244,flush_begin,0,0
-27.230,flush_end,0,2686930
-27.214,trivial_move,3,2686931
-27.211,flush_begin,0,0
-27.197,flush_end,0,2686930
-27.181,trivial_move,3,2686931
-27.179,flush_begin,0,0
-27.165,flush_end,0,2686931
-27.149,trivial_move,3,2686930
-27.147,flush_begin,0,0
-27.134,flush_end,0,2686931
-27.118,trivial_move,3,2686932
-27.115,flush_begin,0,0
-27.101,flush_end,0,2686931
-27.085,trivial_move,3,2686930
-27.082,flush_begin,0,0
-27.070,flush_end,0,2686931
-27.054,trivial_move,3,2686932
-27.052,flush_begin,0,0
-27.039,flush_end,0,2686930
-27.024,trivial_move,3,2686931
-27.022,flush_begin,0,0
-27.009,flush_end,0,2686932
-26.993,trivial_move,3,2686931
-26.990,flush_begin,0,0
-26.977,flush_end,0,2686930
-26.961,trivial_move,3,2686931
-26.959,flush_begin,0,0
-26.945,flush_end,0,2686933
-26.929,trivial_move,3,2686931
-26.927,flush_begin,0,0
-26.915,flush_end,0,2686930
-26.899,trivial_move,3,2686930
-26.898,flush_begin,0,0
-26.887,flush_end,0,2686931
-26.871,trivial_move,3,2686932
-26.870,flush_begin,0,0
-26.860,flush_end,0,2686931
-26.844,trivial_move,3,2686930
-26.843,flush_begin,0,0
-26.833,flush_end,0,2686930
-26.817,trivial_move,3,2686932
-26.816,flush_begin,0,0
-26.805,flush_end,0,2686932
-26.789,trivial_move,3,2686930
-26.788,flush_begin,0,0
-26.776,flush_end,0,2686930
-26.761,trivial_move,3,2686930
-26.760,flush_begin,0,0
-26.749,flush_end,0,2686931
-26.733,trivial_move,3,2686932
-26.731,flush_begin,0,0
-26.719,flush_end,0,2686931
-26.703,trivial_move,3,2686930
-26.702,flush_begin,0,0
-26.690,flush_end,0,2686931
-26.674,trivial_move,3,2686932
-26.672,flush_begin,0,0
-26.660,flush_end,0,2686931
-26.644,trivial_move,3,2686930
-26.642,flush_begin,0,0
-26.630,flush_end,0,2686931
-26.614,trivial_move,3,2686931
-26.612,flush_begin,0,0
-26.599,flush_end,0,2686930
-26.583,trivial_move,3,2686931
-26.581,flush_begin,0,0
-26.569,flush_end,0,2686932
-26.553,trivial_move,3,2686931
-26.551,flush_begin,0,0
-26.538,flush_end,0,2686930
-26.522,trivial_move,3,2686931
-26.520,flush_begin,0,0
-26.507,flush_end,0,2686932
-26.491,trivial_move,3,2686931
-26.489,flush_begin,0,0
-26.475,flush_end,0,2686930
-26.459,trivial_move,3,2686930
-26.456,flush_begin,0,0
-26.443,flush_end,0,2686930
-26.428,trivial_move,3,2686933
-26.426,flush_begin,0,0
-26.412,flush_end,0,2686932
-26.396,trivial_move,3,2686930
-26.394,flush_begin,0,0
-26.380,flush_end,0,2686930
-26.365,trivial_move,3,2686931
-26.362,flush_begin,0,0
-26.349,flush_end,0,2686932
-26.333,trivial_move,3,2686931
-26.331,flush_begin,0,0
-26.318,flush_end,0,2686930
-26.302,trivial_move,3,2686930
-26.300,flush_begin,0,0
-26.287,flush_end,0,2686932
-26.271,trivial_move,3,2686932
-26.269,flush_begin,0,0
-26.255,flush_end,0,2686931
-26.239,trivial_move,3,2686930
-26.236,flush_begin,0,0
-26.222,flush_end,0,2686931
-26.206,trivial_move,3,2686932
-26.203,flush_begin,0,0
-26.190,flush_end,0,2686931
-26.174,trivial_move,3,2686930
-26.172,flush_begin,0,0
-26.159,flush_end,0,2686931
-26.143,trivial_move,3,2686931
-26.141,flush_begin,0,0
-26.128,flush_end,0,2686930
-26.112,trivial_move,3,2686931
-26.110,flush_begin,0,0
-26.097,flush_end,0,2686932
-26.081,trivial_move,3,2686931
-26.079,flush_begin,0,0
-26.066,flush_end,0,2686930
