t,type,level,bytes
-29.873,flush_begin,0,0
-29.863,flush_end,0,2686930
-29.854,flush_begin,0,0
-29.844,flush_end,0,2686931
-29.834,flush_begin,0,0
-29.825,flush_end,0,2686931
-29.815,flush_begin,0,0
-29.805,flush_end,0,2686931
-29.797,flush_begin,0,0
-29.787,flush_end,0,2686931
-29.778,flush_begin,0,0
-29.769,flush_end,0,2686930
-29.755,flush_begin,0,0
-29.745,flush_end,0,2686932
-29.735,flush_begin,0,0
-29.725,flush_end,0,2686930
-29.715,flush_begin,0,0
-29.705,flush_end,0,2686932
-29.695,flush_begin,0,0
-29.685,flush_end,0,2686930
-29.676,flush_begin,0,0
-29.667,flush_end,0,2686931
-29.658,flush_begin,0,0
-29.648,flush_end,0,2686931
-29.639,flush_begin,0,0
-29.630,flush_end,0,2686930
-29.620,flush_begin,0,0
-29.611,flush_end,0,2686932
-29.602,flush_begin,0,0
-29.592,flush_end,0,2686930
-29.583,flush_begin,0,0
-29.574,flush_end,0,2686931
-29.565,flush_begin,0,0
-29.555,flush_end,0,2686931
-29.546,flush_begin,0,0
-29.536,flush_end,0,2686931
-29.527,flush_begin,0,0
-29.517,flush_end,0,2686931
-29.507,flush_begin,0,0
-29.497,flush_end,0,2686931
-29.487,flush_begin,0,0
-29.477,flush_end,0,2686930
-29.468,flush_begin,0,0
-29.458,flush_end,0,2686933
-29.449,flush_begin,0,0
-29.439,flush_end,0,2686930
-29.429,flush_begin,0,0
-29.419,flush_end,0,2686932
-29.409,flush_begin,0,0
-29.399,flush_end,0,2686930
-29.389,flush_begin,0,0
-29.380,flush_end,0,2686930
-29.370,flush_begin,0,0
-29.361,flush_end,0,2686932
-29.351,flush_begin,0,0
-29.342,flush_end,0,2686930
-29.333,flush_begin,0,0
-29.323,flush_end,0,2686932
-29.314,flush_begin,0,0
-29.304,flush_end,0,2686930
-29.294,flush_begin,0,0
-29.284,flush_end,0,2686931
-29.274,flush_begin,0,0
-29.264,flush_end,0,2686931
-29.254,flush_begin,0,0
-29.244,flush_end,0,2686931
-29.234,flush_begin,0,0
-29.224,flush_end,0,2686931
-29.214,flush_begin,0,0
-29.204,flush_end,0,2686931
-29.194,flush_begin,0,0
-29.183,flush_end,0,2686930
-29.174,flush_begin,0,0
-29.164,flush_end,0,2686932
-29.154,flush_begin,0,0
-29.144,flush_end,0,2686930
-29.135,flush_begin,0,0
-29.124,flush_end,0,2686931
-29.114,flush_begin,0,0
-29.104,flush_end,0,2686931
-29.088,trivial_move,3,2686930
-29.088,flush_begin,0,0
-29.077,flush_end,0,2686930
-29.061,trivial_move,3,2686931
-29.061,flush_begin,0,0
-29.050,flush_end,0,2686932
-29.034,trivial_move,3,2686931
-29.033,flush_begin,0,0
-29.022,flush_end,0,2686930
-29.006,trivial_move,3,2686931
-29.004,flush_begin,0,0
-28.993,flush_end,0,2686933
-28.977,trivial_move,3,2686931
-28.976,flush_begin,0,0
-28.965,flush_end,0,2686930
-28.949,trivial_move,3,2686930
-28.948,flush_begin,0,0
-28.937,flush_end,0,2686931
-28.921,trivial_move,3,2686932
-28.920,flush_begin,0,0
-28.910,flush_end,0,2686931
-28.894,trivial_move,3,2686930
-28.893,flush_begin,0,0
-28.882,flush_end,0,2686931
-28.866,trivial_move,3,2686932
-28.865,flush_begin,0,0
-28.854,flush_end,0,2686931
-28.838,trivial_move,3,2686930
-28.836,flush_begin,0,0
-28.825,flush_end,0,2686930
-28.808,trivial_move,3,2686931
-28.807,flush_begin,0,0
-28.795,flush_end,0,2686930
-28.779,trivial_move,3,2686931
-28.778,flush_begin,0,0
-28.766,flush_end,0,2686931
-28.750,trivial_move,3,2686930
-28.749,flush_begin,0,0
-28.738,flush_end,0,2686931
-28.722,trivial_move,3,2686932
-28.720,flush_begin,0,0
-28.708,flush_end,0,2686931
-28.692,trivial_move,3,2686930
-28.691,flush_begin,0,0
-28.679,flush_end,0,2686931
-28.663,trivial_move,3,2686931
-28.661,flush_begin,0,0
-28.649,flush_end,0,2686930
-28.633,trivial_move,3,2686931
-28.631,flush_begin,0,0
-28.619,flush_end,0,2686932
-28.603,trivial_move,3,2686931
-28.601,flush_begin,0,0
-28.589,flush_end,0,2686930
