t,type,level,bytes
-29.877,flush_begin,0,0
-29.867,flush_end,0,2686930
-29.857,flush_begin,0,0
-29.848,flush_end,0,2686931
-29.839,flush_begin,0,0
-29.830,flush_end,0,2686931
-29.820,flush_begin,0,0
-29.811,flush_end,0,2686931
-29.801,flush_begin,0,0
-29.791,flush_end,0,2686931
-29.782,flush_begin,0,0
-29.773,flush_end,0,2686930
-29.763,flush_begin,0,0
-29.754,flush_end,0,2686932
-29.744,flush_begin,0,0
-29.735,flush_end,0,2686930
-29.725,flush_begin,0,0
-29.716,flush_end,0,2686932
-29.706,flush_begin,0,0
-29.697,flush_end,0,2686930
-29.687,flush_begin,0,0
-29.678,flush_end,0,2686931
-29.669,flush_begin,0,0
-29.659,flush_end,0,2686931
-29.649,flush_begin,0,0
-29.640,flush_end,0,2686930
-29.630,flush_begin,0,0
-29.621,flush_end,0,2686932
-29.611,flush_begin,0,0
-29.602,flush_end,0,2686930
-29.592,flush_begin,0,0
-29.583,flush_end,0,2686931
-29.574,flush_begin,0,0
-29.565,flush_end,0,2686931
-29.556,flush_begin,0,0
-29.547,flush_end,0,2686931
-29.538,flush_begin,0,0
-29.529,flush_end,0,2686931
-29.519,flush_begin,0,0
-29.510,flush_end,0,2686931
-29.500,flush_begin,0,0
-29.491,flush_end,0,2686930
-29.481,flush_begin,0,0
-29.472,flush_end,0,2686933
-29.462,flush_begin,0,0
-29.453,flush_end,0,2686930
-29.443,flush_begin,0,0
-29.434,flush_end,0,2686932
-29.424,flush_begin,0,0
-29.415,flush_end,0,2686930
-29.405,flush_begin,0,0
-29.396,flush_end,0,2686930
-29.386,flush_begin,0,0
-29.377,flush_end,0,2686932
-29.368,flush_begin,0,0
-29.358,flush_end,0,2686930
-29.348,flush_begin,0,0
-29.339,flush_end,0,2686932
-29.329,flush_begin,0,0
-29.320,flush_end,0,2686930
-29.310,flush_begin,0,0
-29.301,flush_end,0,2686931
-29.291,flush_begin,0,0
-29.282,flush_end,0,2686931
-29.272,flush_begin,0,0
-29.263,flush_end,0,2686931
-29.253,flush_begin,0,0
-29.244,flush_end,0,2686931
-29.234,flush_begin,0,0
-29.225,flush_end,0,2686931
-29.215,flush_begin,0,0
-29.206,flush_end,0,2686930
-29.195,flush_begin,0,0
-29.186,flush_end,0,2686932
-29.176,flush_begin,0,0
-29.167,flush_end,0,2686930
-29.157,flush_begin,0,0
-29.148,flush_end,0,2686931
-29.138,flush_begin,0,0
-29.128,flush_end,0,2686931
-29.112,trivial_move,3,2686930
-29.111,flush_begin,0,0
-29.101,flush_end,0,2686930
-29.085,trivial_move,3,2686931
-29.083,flush_begin,0,0
-29.074,flush_end,0,2686932
-29.058,trivial_move,3,2686931
-29.056,flush_begin,0,0
-29.046,flush_end,0,2686930
-29.030,trivial_move,3,2686931
-29.028,flush_begin,0,0
-29.018,flush_end,0,2686933
-29.002,trivial_move,3,2686931
-29.001,flush_begin,0,0
-28.990,flush_end,0,2686930
-28.974,trivial_move,3,2686930
-28.972,flush_begin,0,0
-28.962,flush_end,0,2686931
-28.946,trivial_move,3,2686932
-28.944,flush_begin,0,0
-28.934,flush_end,0,2686931
-28.918,trivial_move,3,2686930
-28.916,flush_begin,0,0
-28.905,flush_end,0,2686931
-28.889,trivial_move,3,2686932
-28.888,flush_begin,0,0
-28.877,flush_end,0,2686931
-28.861,trivial_move,3,2686930
-28.859,flush_begin,0,0
-28.848,flush_end,0,2686930
-28.832,trivial_move,3,2686931
-28.830,flush_begin,0,0
-28.819,flush_end,0,2686930
-28.803,trivial_move,3,2686931
-28.801,flush_begin,0,0
-28.790,flush_end,0,2686931
-28.774,trivial_move,3,2686930
-28.772,flush_begin,0,0
-28.761,flush_end,0,2686931
-28.745,trivial_move,3,2686932
-28.743,flush_begin,0,0
-28.731,flush_end,0,2686931
-28.716,trivial_move,3,2686930
-28.714,flush_begin,0,0
-28.702,flush_end,0,2686931
-28.687,trivial_move,3,2686931
-28.685,flush_begin,0,0
-28.674,flush_end,0,2686930
-28.658,trivial_move,3,2686931
-28.656,flush_begin,0,0
-28.647,flush_end,0,2686932
-28.631,trivial_move,3,2686931
-28.630,flush_begin,0,0
-28.621,flush_end,0,2686930
-28.605,trivial_move,3,2686931
-28.604,flush_begin,0,0
-28.595,flush_end,0,2686932
-28.580,trivial_move,3,2686931
-28.579,flush_begin,0,0
-28.563,flush_end,0,2686930
-28.549,trivial_move,3,2686930
-28.548,flush_begin,0,0
-28.538,flush_end,0,2686931
-28.522,trivial_move,3,2686933
-28.521,flush_begin,0,0
-28.511,flush_end,0,2686931
-28.495,trivial_move,3,2686930
-28.493,flush_begin,0,0
-28.483,flush_end,0,2686930
-28.468,trivial_move,3,2686932
-28.466,flush_begin,0,0
-28.456,flush_end,0,2686932
