t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59852,51436,8416,49695,39950,0.80390,3,12,23,3904,1,6,0,0,255.96,20.26,464,833,255.96,0,0,0,0,0,0,61142,2011
2,60449,51957,8492,49751,40828,0.82065,3,12,23,3776,1,6,0,0,255.97,24.11,497,822,255.97,0,0,0,0,0,0,122221,4268
3,60137,51657,8480,49717,40832,0.82129,3,13,24,3840,1,6,1,0,255.97,25.37,522,816,255.97,0,0,0,0,0,0,174592,7302
4,60182,51903,8279,51724,29547,0.57124,5,17,28,3584,1,5,0,0,255.96,19.35,445,842,255.96,0,0,0,0,0,0,224809,35870
5,60623,52173,8450,51170,33559,0.65583,3,13,23,3520,1,7,0,0,255.97,13.05,409,835,255.97,0,0,0,0,0,0,287274,39831
6,59857,51363,8494,49805,39037,0.78380,3,12,22,3584,1,6,0,0,255.97,18.21,414,824,255.97,0,0,0,0,0,0,349442,41641
7,59981,51545,8436,49505,40235,0.81275,3,12,22,3456,1,6,0,0,255.97,21.68,427,817,255.97,0,0,0,0,0,0,412452,44075
8,60320,51809,8511,49424,40715,0.82379,3,12,22,3392,1,6,0,0,255.97,24.85,448,800,255.97,0,0,0,0,0,0,474403,47294
9,59782,51397,8385,50905,37075,0.72832,4,16,29,3584,1,5,1,0,255.97,23.75,452,826,255.97,0,0,0,0,0,0,517673,69226
10,60211,51824,8387,51042,26810,0.52525,4,13,24,3584,1,6,0,0,255.97,11.79,370,820,255.97,0,0,0,0,0,0,580604,80520
11,60147,51752,8395,50368,38400,0.76239,3,12,23,3520,1,6,0,0,255.96,16.49,411,814,255.96,0,0,0,0,0,0,643039,82881
12,59928,51425,8503,49611,40142,0.80914,3,12,22,3648,1,7,0,0,255.96,21.20,443,807,255.96,0,0,0,0,0,0,705251,85199
13,60402,52028,8374,49781,40973,0.82307,3,12,22,3456,1,6,0,0,255.96,24.57,465,795,255.96,0,0,0,0,0,0,768045,87614
14,60397,52057,8340,50559,41691,0.82460,3,15,27,3648,1,5,1,0,255.97,24.83,477,791,255.97,0,0,0,0,0,0,812827,89840
15,60020,51589,8431,51283,30480,0.59435,4,15,26,3456,1,6,0,0,255.97,15.86,420,817,255.97,0,0,0,0,0,0,873046,114319
16,60427,51949,8478,50780,32339,0.63685,3,13,24,3520,1,7,0,0,255.97,13.60,402,810,255.97,0,0,0,0,0,0,936099,123758
17,60079,51561,8518,49923,38776,0.77672,3,12,23,3456,1,6,0,0,255.97,18.65,447,804,255.97,0,0,0,0,0,0,998469,126679
18,59931,51495,8436,49478,40144,0.81135,3,12,23,3456,1,6,0,0,255.97,21.20,466,792,255.97,0,0,0,0,0,0,1060958,128947
19,60442,52001,8441,49496,40831,0.82494,3,12,22,3584,1,6,0,0,255.97,22.38,473,786,255.97,0,0,0,0,0,0,1122744,131780
20,59997,51564,8433,51379,37627,0.73234,4,17,30,3520,1,5,1,0,255.98,22.46,465,814,255.97,0,0,0,0,0,0,1164042,156354
21,59966,51586,8380,50753,26337,0.51892,4,13,24,3584,1,6,0,0,255.97,13.16,439,803,255.97,0,0,0,0,0,0,1226562,164502
22,60499,51930,8569,50476,38206,0.75691,3,12,23,3520,1,6,0,0,255.97,16.36,450,797,255.97,0,0,0,0,0,0,1288107,166335
23,59902,51376,8526,49545,40064,0.80864,3,12,23,3456,1,6,0,0,255.97,22.80,475,791,255.97,0,0,0,0,0,0,1350882,168897
24,60315,51898,8417,49575,40744,0.82187,3,12,23,3584,1,7,0,0,255.97,26.55,477,779,255.97,0,0,0,0,0,0,1412105,170711
25,60362,51979,8383,50813,41627,0.81922,3,16,30,3584,1,5,1,0,255.97,25.38,470,806,255.97,0,0,0,0,0,0,1454530,174788
26,59764,51362,8402,50867,25484,0.50099,4,14,24,3520,1,6,0,0,255.98,13.61,414,800,255.98,0,0,0,0,0,0,1516760,202385
27,60156,51895,8261,50732,36029,0.71018,3,12,23,3392,1,6,0,0,255.96,13.78,386,794,255.96,0,0,0,0,0,0,1580201,204809
28,60248,51935,8313,50342,40010,0.79476,3,12,22,3456,1,6,0,0,255.96,18.32,400,788,255.96,0,0,0,0,0,0,1643224,209440
29,59695,51206,8489,49214,40068,0.81416,3,12,23,3456,1,6,0,0,255.97,22.70,428,776,255.97,0,0,0,0,0,0,1705635,212260
30,60520,52088,8432,49580,40859,0.82410,3,12,22,3456,1,7,1,0,255.97,24.91,433,770,255.97,0,0,0,0,0,0,1767193,214947
31,60428,51990,8438,51910,34645,0.66741,5,17,30,3584,1,5,0,0,255.97,21.22,399,797,255.97,0,0,0,0,0,0,1809119,240676
32,59686,51267,8419,50402,28944,0.57426,4,13,23,3520,1,6,0,0,255.97,15.28,387,791,255.97,0,0,0,0,0,0,1871581,245550
33,60374,51889,8485,50457,38948,0.77190,3,12,23,3456,1,7,0,0,255.97,17.90,385,784,255.97,0,0,0,0,0,0,1933951,247873
34,59954,51523,8431,49689,40375,0.81255,3,12,22,3456,1,6,0,0,255.97,24.57,411,778,255.97,0,0,0,0,0,0,1997177,253352
35,59828,51455,8373,49130,40125,0.81671,3,12,23,3456,1,6,0,0,255.97,24.20,389,766,255.97,0,0,0,0,0,0,2059951,255303
