t,type,level,bytes
-29.825,flush_begin,0,0
-29.813,flush_end,0,2686930
-29.803,flush_begin,0,0
-29.792,flush_end,0,2686931
-29.782,flush_begin,0,0
-29.771,flush_end,0,2686931
-29.761,flush_begin,0,0
-29.751,flush_end,0,2686931
-29.741,flush_begin,0,0
-29.731,flush_end,0,2686931
-29.721,flush_begin,0,0
-29.711,flush_end,0,2686930
-29.701,flush_begin,0,0
-29.691,flush_end,0,2686932
-29.681,flush_begin,0,0
-29.672,flush_end,0,2686930
-29.661,flush_begin,0,0
-29.650,flush_end,0,2686932
-29.641,flush_begin,0,0
-29.632,flush_end,0,2686930
-29.621,flush_begin,0,0
-29.611,flush_end,0,2686931
-29.601,flush_begin,0,0
-29.591,flush_end,0,2686931
-29.581,flush_begin,0,0
-29.571,flush_end,0,2686930
-29.561,flush_begin,0,0
-29.551,flush_end,0,2686932
-29.541,flush_begin,0,0
-29.532,flush_end,0,2686930
-29.521,flush_begin,0,0
-29.512,flush_end,0,2686931
-29.501,flush_begin,0,0
-29.492,flush_end,0,2686931
-29.481,flush_begin,0,0
-29.472,flush_end,0,2686931
-29.462,flush_begin,0,0
-29.453,flush_end,0,2686931
-29.442,flush_begin,0,0
-29.432,flush_end,0,2686931
-29.422,flush_begin,0,0
-29.414,flush_end,0,2686930
-29.403,flush_begin,0,0
-29.394,flush_end,0,2686933
-29.383,flush_begin,0,0
-29.373,flush_end,0,2686930
-29.363,flush_begin,0,0
-29.353,flush_end,0,2686932
-29.343,flush_begin,0,0
-29.333,flush_end,0,2686930
-29.322,flush_begin,0,0
-29.313,flush_end,0,2686930
-29.302,flush_begin,0,0
-29.292,flush_end,0,2686932
-29.282,flush_begin,0,0
-29.273,flush_end,0,2686930
-29.262,flush_begin,0,0
-29.252,flush_end,0,2686932
-29.242,flush_begin,0,0
-29.232,flush_end,0,2686930
-29.222,flush_begin,0,0
-29.212,flush_end,0,2686931
-29.202,flush_begin,0,0
-29.194,flush_end,0,2686931
-29.183,flush_begin,0,0
-29.173,flush_end,0,2686931
-29.163,flush_begin,0,0
-29.153,flush_end,0,2686931
-29.143,flush_begin,0,0
-29.133,flush_end,0,2686931
-29.123,flush_begin,0,0
-29.113,flush_end,0,2686930
-29.103,flush_begin,0,0
-29.093,flush_end,0,2686932
-29.083,flush_begin,0,0
-29.073,flush_end,0,2686930
-29.063,flush_begin,0,0
-29.053,flush_end,0,2686931
-29.043,flush_begin,0,0
-29.033,flush_end,0,2686931
-29.018,trivial_move,3,2686930
-29.016,flush_begin,0,0
-29.006,flush_end,0,2686930
-28.990,trivial_move,3,2686931
-28.989,flush_begin,0,0
-28.978,flush_end,0,2686932
-28.962,trivial_move,3,2686931
-28.961,flush_begin,0,0
-28.951,flush_end,0,2686930
-28.934,trivial_move,3,2686931
-28.932,flush_begin,0,0
-28.922,flush_end,0,2686933
-28.905,trivial_move,3,2686931
-28.904,flush_begin,0,0
-28.892,flush_end,0,2686930
-28.876,trivial_move,3,2686930
-28.874,flush_begin,0,0
-28.864,flush_end,0,2686931
-28.847,trivial_move,3,2686932
-28.845,flush_begin,0,0
-28.834,flush_end,0,2686931
-28.818,trivial_move,3,2686930
-28.816,flush_begin,0,0
-28.804,flush_end,0,2686931
-28.785,trivial_move,3,2686932
-28.783,flush_begin,0,0
-28.771,flush_end,0,2686931
-28.755,trivial_move,3,2686930
-28.753,flush_begin,0,0
-28.741,flush_end,0,2686930
-28.723,trivial_move,3,2686931
-28.721,flush_begin,0,0
-28.709,flush_end,0,2686930
-28.693,trivial_move,3,2686931
-28.689,flush_begin,0,0
-28.678,flush_end,0,2686931
-28.660,trivial_move,3,2686930
-28.657,flush_begin,0,0
-28.645,flush_end,0,2686931
-28.629,trivial_move,3,2686932
-28.627,flush_begin,0,0
-28.616,flush_end,0,2686931
-28.600,trivial_move,3,2686930
-28.596,flush_begin,0,0
-28.584,flush_end,0,2686931
-28.568,trivial_move,3,2686931
-28.566,flush_begin,0,0
-28.554,flush_end,0,2686930
-28.538,trivial_move,3,2686931
-28.535,flush_begin,0,0
-28.523,flush_end,0,2686932
-28.508,trivial_move,3,2686931
-28.505,flush_begin,0,0
-28.493,flush_end,0,2686930
-28.477,trivial_move,3,2686931
-28.475,flush_begin,0,0
-28.463,flush_end,0,2686932
-28.446,trivial_move,3,2686931
-28.443,flush_begin,0,0
-28.431,flush_end,0,2686930
-28.416,trivial_move,3,2686930
-28.412,flush_begin,0,0
-28.402,flush_end,0,2686931
-28.385,trivial_move,3,2686933
-28.382,flush_begin,0,0
-28.370,flush_end,0,2686931
-28.355,trivial_move,3,2686930
-28.351,flush_begin,0,0
-28.339,flush_end,0,2686930
-28.324,trivial_move,3,2686932
-28.320,flush_begin,0,0
-28.308,flush_end,0,2686932
-28.292,trivial_move,3,2686930
-28.289,flush_begin,0,0
-28.277,flush_end,0,2686930
-28.261,trivial_move,3,2686930
-28.259,flush_begin,0,0
-28.247,flush_end,0,2686932
-28.231,trivial_move,3,2686932
-28.228,flush_begin,0,0
-28.218,flush_end,0,2686931
-28.202,trivial_move,3,2686930
-28.199,flush_begin,0,0
-28.187,flush_end,0,2686931
-28.171,trivial_move,3,2686932
-28.168,flush_begin,0,0
-28.156,flush_end,0,2686931
-28.140,trivial_move,3,2686930
-28.138,flush_begin,0,0
-28.126,flush_end,0,2686931
-28.109,trivial_move,3,2686931
-28.106,flush_begin,0,0
-28.095,flush_end,0,2686930
-28.079,trivial_move,3,2686931
-28.077,flush_begin,0,0
-28.065,flush_end,0,2686932
-28.049,trivial_move,3,2686931
-28.046,flush_begin,0,0
-28.034,flush_end,0,2686930
-28.018,trivial_move,3,2686931
-28.015,flush_begin,0,0
-28.003,flush_end,0,2686932
-27.987,trivial_move,3,2686931
-27.983,flush_begin,0,0
-27.971,flush_end,0,2686930
-27.955,trivial_move,3,2686930
-27.952,flush_begin,0,0
-27.941,flush_end,0,2686930
-27.924,trivial_move,3,2686932
-27.921,flush_begin,0,0
-27.910,flush_end,0,2686932
-27.894,trivial_move,3,2686930
-27.891,flush_begin,0,0
-27.880,flush_end,0,2686930
-27.864,trivial_move,3,2686931
-27.861,flush_begin,0,0
-27.850,flush_end,0,2686932
-27.833,trivial_move,3,2686931
-27.831,flush_begin,0,0
-27.818,flush_end,0,2686930
-27.803,trivial_move,3,2686930
-27.799,flush_begin,0,0
-27.788,flush_end,0,2686931
-27.771,trivial_move,3,2686932
-27.768,flush_begin,0,0
-27.756,flush_end,0,2686931
-27.739,trivial_move,3,2686930
-27.736,flush_begin,0,0
-27.724,flush_end,0,2686931
-27.709,trivial_move,3,2686933
-27.706,flush_begin,0,0
-27.694,flush_end,0,2686931
-27.678,trivial_move,3,2686930
-27.674,flush_begin,0,0
-27.662,flush_end,0,2686931
-27.645,trivial_move,3,2686931
-27.642,flush_begin,0,0
-27.630,flush_end,0,2686930
-27.615,trivial_move,3,2686931
-27.611,flush_begin,0,0
-27.599,flush_end,0,2686933
-27.583,trivial_move,3,2686931
-27.579,flush_begin,0,0
-27.566,flush_end,0,2686930
-27.550,trivial_move,3,2686931
-27.547,flush_begin,0,0
-27.535,flush_end,0,2686931
-27.519,trivial_move,3,2686930
-27.515,flush_begin,0,0
-27.503,flush_end,0,2686931
-27.486,trivial_move,3,2686930
-27.483,flush_begin,0,0
-27.471,flush_end,0,2686930
-27.455,trivial_move,3,2686931
-27.452,flush_begin,0,0
-27.440,flush_end,0,2686932
-27.424,trivial_move,3,2686931
-27.421,flush_begin,0,0
-27.409,flush_end,0,2686930
-27.392,trivial_move,3,2686931
-27.390,flush_begin,0,0
-27.378,flush_end,0,2686932
-27.362,trivial_move,3,2686931
-27.360,flush_begin,0,0
-27.348,flush_end,0,2686930
-27.332,trivial_move,3,2686930
-27.329,flush_begin,0,0
-27.317,flush_end,0,2686931
-27.301,trivial_move,3,2686932
-27.297,flush_begin,0,0
-27.284,flush_end,0,2686931
-27.268,trivial_move,3,2686930
-27.266,flush_begin,0,0
-27.254,flush_end,0,2686931
-27.238,trivial_move,3,2686932
-27.235,flush_begin,0,0
-27.223,flush_end,0,2686931
-27.208,trivial_move,3,2686930
-27.206,flush_begin,0,0
-27.195,flush_end,0,2686930
-27.178,trivial_move,3,2686931
-27.176,flush_begin,0,0
-27.164,flush_end,0,2686930
-27.148,trivial_move,3,2686931
-27.145,flush_begin,0,0
-27.133,flush_end,0,2686931
-27.118,trivial_move,3,2686930
-27.115,flush_begin,0,0
-27.103,flush_end,0,2686931
-27.086,trivial_move,3,2686932
-27.083,flush_begin,0,0
-27.071,flush_end,0,2686931
-27.056,trivial_move,3,2686930
-27.052,flush_begin,0,0
-27.041,flush_end,0,2686931
-27.024,trivial_move,3,2686932
-27.021,flush_begin,0,0
-27.009,flush_end,0,2686930
-26.994,trivial_move,3,2686931
-26.990,flush_begin,0,0
-26.978,flush_end,0,2686932
-26.962,trivial_move,3,2686931
-26.960,flush_begin,0,0
-26.947,flush_end,0,2686930
-26.931,trivial_move,3,2686931
-26.927,flush_begin,0,0
-26.915,flush_end,0,2686933
-26.898,trivial_move,3,2686931
-26.896,flush_begin,0,0
-26.883,flush_end,0,2686930
-26.867,trivial_move,3,2686930
-26.864,flush_begin,0,0
-26.851,flush_end,0,2686931
-26.835,trivial_move,3,2686932
-26.833,flush_begin,0,0
-26.821,flush_end,0,2686931
-26.804,trivial_move,3,2686930
-26.801,flush_begin,0,0
-26.790,flush_end,0,2686930
-26.773,trivial_move,3,2686932
-26.770,flush_begin,0,0
-26.758,flush_end,0,2686932
-26.742,trivial_move,3,2686930
-26.739,flush_begin,0,0
-26.728,flush_end,0,2686930
-26.711,trivial_move,3,2686930
-26.709,flush_begin,0,0
-26.698,flush_end,0,2686931
-26.681,trivial_move,3,2686932
-26.678,flush_begin,0,0
-26.668,flush_end,0,2686931
-26.651,trivial_move,3,2686930
-26.648,flush_begin,0,0
-26.636,flush_end,0,2686931
-26.620,trivial_move,3,2686932
-26.618,flush_begin,0,0
-26.606,flush_end,0,2686931
-26.590,trivial_move,3,2686930
-26.588,flush_begin,0,0
-26.576,flush_end,0,2686931
-26.560,trivial_move,3,2686931
-26.558,flush_begin,0,0
-26.546,flush_end,0,2686930
-26.530,trivial_move,3,2686931
-26.528,flush_begin,0,0
-26.515,flush_end,0,2686932
-26.499,trivial_move,3,2686931
-26.497,flush_begin,0,0
-26.485,flush_end,0,2686930
-26.469,trivial_move,3,2686931
-26.466,flush_begin,0,0
-26.454,flush_end,0,2686932
-26.438,trivial_move,3,2686931
-26.435,flush_begin,0,0
-26.423,flush_end,0,2686930
-26.407,trivial_move,3,2686930
-26.405,flush_begin,0,0
-26.393,flush_end,0,2686930
-26.377,trivial_move,3,2686933
-26.374,flush_begin,0,0
-26.362,flush_end,0,2686932
-26.345,trivial_move,3,2686930
-26.343,flush_begin,0,0
-26.332,flush_end,0,2686930
-26.316,trivial_move,3,2686931
-26.313,flush_begin,0,0
-26.302,flush_end,0,2686932
-26.287,trivial_move,3,2686931
-26.283,flush_begin,0,0
-26.271,flush_end,0,2686930
-26.256,trivial_move,3,2686930
-26.253,flush_begin,0,0
-26.241,flush_end,0,2686932
-26.226,trivial_move,3,2686932
-26.222,flush_begin,0,0
-26.211,flush_end,0,2686931
-26.195,trivial_move,3,2686930
-26.192,flush_begin,0,0
-26.180,flush_end,0,2686931
-26.163,trivial_move,3,2686932
-26.161,flush_begin,0,0
-26.149,flush_end,0,2686931
-26.134,trivial_move,3,2686930
-26.130,flush_begin,0,0
-26.119,flush_end,0,2686931
-26.103,trivial_move,3,2686931
-26.099,flush_begin,0,0
-26.087,flush_end,0,2686930
-26.070,trivial_move,3,2686931
-26.068,flush_begin,0,0
-26.056,flush_end,0,2686932
-26.040,trivial_move,3,2686931
-26.036,flush_begin,0,0
-26.024,flush_end,0,2686930
-26.008,trivial_move,3,2686931
-26.005,flush_begin,0,0
-25.993,flush_end,0,2686931
-25.976,trivial_move,3,2686930
-25.974,flush_begin,0,0
-25.962,flush_end,0,2686931
-25.946,trivial_move,3,2686930
-25.943,flush_begin,0,0
-25.930,flush_end,0,2686930
-25.915,trivial_move,3,2686931
-25.912,flush_begin,0,0
-25.900,flush_end,0,2686932
-25.885,trivial_move,3,2686931
-25.882,flush_begin,0,0
-25.870,flush_end,0,2686930
-25.854,trivial_move,3,2686931
-25.850,flush_begin,0,0
-25.839,flush_end,0,2686932
-25.823,trivial_move,3,2686931
-25.819,flush_begin,0,0
-25.807,flush_end,0,2686930
-25.790,trivial_move,3,2686930
-25.787,flush_begin,0,0
-25.774,flush_end,0,2686931
-25.759,trivial_move,3,2686932
-25.756,flush_begin,0,0
-25.743,flush_end,0,2686931
-25.728,trivial_move,3,2686930
-25.724,flush_begin,0,0
-25.711,flush_end,0,2686931
-25.696,trivial_move,3,2686933
-25.693,flush_begin,0,0
-25.681,flush_end,0,2686931
-25.664,trivial_move,3,2686930
-25.661,flush_begin,0,0
-25.648,flush_end,0,2686930
-25.631,trivial_move,3,2686931
-25.628,flush_begin,0,0
-25.616,flush_end,0,2686930
-25.599,trivial_move,3,2686931
-25.596,flush_begin,0,0
-25.583,flush_end,0,2686931
-25.568,trivial_move,3,2686930
-25.564,flush_begin,0,0
-25.552,flush_end,0,2686932
