t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60114,51918,8196,50140,43130,0.86019,2,86,164,3392,1,5,0,0,255.87,13.28,445,966,255.89,176551,1109,294,0,6437,5826,46906,2659
2,60012,51540,8472,49396,41927,0.84879,2,86,160,3392,1,4,0,0,255.96,16.74,466,962,255.96,1707,6566,695,0,8421,8236,91781,4529
3,59784,51362,8422,48789,41075,0.84189,2,86,160,3008,1,4,0,0,255.97,17.90,473,958,255.97,1570,13206,842,0,10224,9555,125052,6183
4,60045,51576,8469,51266,43211,0.84288,2,78,128,272,1,1,1,0,255.97,18.21,450,952,255.97,764,19667,1711,0,10929,10553,135149,6342
5,60066,51630,8436,51054,42803,0.83839,3,90,156,3264,1,2,0,0,229.89,27.55,478,970,230.71,16791,39696,15233,0,24906,12481,150591,21643
6,60339,51797,8542,50436,42067,0.83407,2,86,160,3200,1,4,0,0,241.77,20.12,457,966,241.78,12821,57457,30684,0,50338,28916,188950,36662
7,60048,51656,8392,49714,42513,0.85515,2,88,160,3328,1,4,0,0,251.89,13.60,459,962,251.89,4625,58541,31606,0,59978,35525,225706,41216
8,59677,51475,8202,49104,42056,0.85647,2,78,132,1984,1,2,0,0,255.96,14.86,459,954,255.96,845,60318,31897,0,61357,38624,245534,42102
9,60631,52159,8472,51063,43539,0.85265,2,82,156,2432,1,1,1,0,255.97,16.99,476,954,255.97,761,65901,32226,0,62924,41137,255701,42939
10,59477,51239,8238,50791,42999,0.84659,3,82,160,3520,1,3,0,0,255.97,52.48,488,963,255.97,24581,94582,49926,0,89581,48970,287584,68300
11,60326,51879,8447,50635,42442,0.83819,2,82,160,3264,1,4,0,0,255.97,41.67,409,959,255.97,5899,107770,60161,0,111542,63100,327164,74141
12,59729,51449,8280,49730,42063,0.84583,2,84,156,3840,1,4,0,0,255.97,20.95,418,955,255.97,3549,112732,62715,0,116029,67128,362086,76357
13,60045,51640,8405,49406,40840,0.82662,2,82,160,4096,1,3,0,0,255.97,14.73,414,952,255.97,853,123488,64648,0,125158,69438,399439,79128
14,60156,51771,8385,49429,42081,0.85134,2,76,136,128,1,1,1,0,255.96,16.51,418,952,255.96,477,130164,64911,0,126202,71726,408650,79637
15,60311,51924,8387,51914,44421,0.85567,3,72,152,3648,1,3,0,0,222.49,19.72,423,958,223.40,18184,150746,76380,0,138617,74547,422983,91470
16,59836,51544,8292,50663,42974,0.84823,2,80,160,3968,1,4,0,0,233.39,8.86,440,954,234.60,16937,173777,94163,0,172653,87435,461853,114676
17,60372,51955,8417,50421,43501,0.86276,2,80,160,3840,1,3,0,0,255.92,16.30,487,951,255.92,1372,173986,94259,0,176097,99029,497780,116506
18,59871,51528,8343,49552,42533,0.85835,2,76,156,4224,1,4,0,0,254.10,22.61,485,947,254.11,1962,180492,94380,0,181082,102619,535553,118733
19,59723,51309,8414,48894,41403,0.84679,2,70,122,448,1,1,0,0,255.97,16.07,478,946,255.97,310,185668,94694,0,181082,104128,552925,119149
20,60150,51728,8422,50667,42754,0.84382,2,72,156,3200,1,2,1,0,255.97,20.03,487,939,255.97,1481,191341,95648,0,182894,105137,564359,120628
21,60235,51931,8304,51318,42985,0.83762,3,37,160,4096,1,4,0,0,232.76,14.74,458,950,232.81,25055,223137,123000,0,209666,115059,600655,145648
22,59794,51584,8210,50289,42476,0.84464,2,72,160,4224,1,4,0,0,253.31,19.89,479,946,253.31,5766,227835,124738,0,221334,127361,634917,151151
23,60017,51632,8385,49878,42513,0.85234,2,70,156,3520,1,3,0,0,255.96,24.64,404,943,255.96,4679,232954,126307,0,236585,131049,672881,156689
24,60339,51907,8432,49665,41972,0.84510,2,82,160,3520,1,6,0,0,254.78,16.05,438,937,254.78,2647,238131,127291,0,241145,133344,725546,159245
25,59757,51411,8346,49080,41331,0.84211,2,78,160,3136,1,2,1,0,255.96,15.94,484,936,255.96,858,243949,127933,0,242187,135031,754881,160412
26,60062,51793,8269,51684,43466,0.84100,3,86,160,3520,1,3,0,0,243.25,40.68,536,952,243.25,17491,266467,139540,0,259122,138621,773144,177821
27,60388,52155,8233,51153,42811,0.83692,2,78,160,3200,1,4,0,0,244.51,23.74,562,948,244.52,10472,281827,152858,0,271829,155145,812203,188113
28,59927,51383,8544,49854,42177,0.84601,2,80,160,3328,1,4,0,0,255.97,20.15,531,944,255.97,5890,289046,156651,0,285679,160014,850583,194221
29,59977,51691,8286,49707,41890,0.84274,2,78,160,3456,1,5,0,0,255.15,16.18,462,938,255.16,4567,296212,158451,0,301004,162535,895584,199590
30,59928,51513,8415,49071,41292,0.84147,2,80,160,3200,1,4,0,0,255.96,13.35,481,934,255.97,1694,300944,159329,0,302492,164785,936109,200716
31,60177,51722,8455,50800,42905,0.84459,2,82,156,3200,1,1,1,0,255.97,17.04,521,934,255.97,737,309082,159856,0,305430,166751,947154,202130
32,60240,51885,8355,51369,43057,0.83819,3,82,160,3328,1,4,0,0,230.35,14.83,517,949,230.43,25098,342669,183010,0,332054,178174,978264,226640
33,60147,51733,8414,50411,42625,0.84555,2,74,160,3392,1,5,0,0,251.70,21.41,625,944,251.72,3048,343848,183187,0,334090,189132,1027445,229846
34,59691,51242,8449,49389,41688,0.84407,2,80,160,3200,1,3,0,0,255.70,23.89,605,941,255.70,5462,351337,187359,0,346069,192005,1064771,236047
35,60078,51754,8324,49544,41881,0.84533,2,80,160,3328,1,5,0,0,245.12,14.08,501,936,245.13,5219,357730,189409,0,359330,194019,1109871,241479
36,60034,51507,8527,49413,41827,0.84648,2,80,160,3200,1,3,1,0,255.10,16.28,562,934,255.96,1292,359962,189942,0,360283,196516,1137632,242326
37,60345,51814,8531,51565,43891,0.85118,3,82,160,3328,1,3,0,0,226.77,16.43,616,950,226.77,24182,388601,208364,0,381283,202183,1160367,261888
38,59798,51508,8290,50454,43120,0.85464,2,82,164,3200,1,4,0,0,232.88,12.86,552,946,232.88,10474,407795,219537,0,406897,219556,1206209,277930
39,60061,51554,8507,49987,43190,0.86402,2,76,152,3072,1,3,0,0,255.97,14.28,597,943,255.97,1108,408139,219695,0,410949,225253,1237613,279216
40,60058,51771,8287,49741,42618,0.85680,2,72,156,3136,1,3,0,0,255.38,17.11,597,940,255.38,1854,413933,220129,0,415763,227809,1266831,281065
41,60101,51653,8448,49264,41655,0.84555,2,76,136,47,1,1,0,0,255.97,17.27,621,939,255.97,173,419468,220477,0,415792,229162,1280283,281407
42,60407,52016,8391,51198,43165,0.84310,3,70,152,3392,1,2,1,0,253.93,19.19,702,946,253.96,11171,426962,221681,0,417090,230326,1282409,282506
43,59757,51378,8379,50773,42339,0.83389,2,74,164,3200,1,4,0,0,255.80,31.97,676,942,255.81,18496,452614,242156,0,447818,241993,1327200,305066
44,60042,51638,8404,50284,42921,0.85357,2,72,160,3136,1,4,0,0,253.74,16.29,570,938,253.74,4426,463840,251013,0,466229,253377,1365269,315462
45,59790,51513,8277,49715,42757,0.86004,2,78,160,3328,0,4,0,0,255.96,16.58,515,935,255.96,1187,465612,251512,0,469323,257702,1404068,317201
46,60821,52188,8633,49862,42719,0.85674,2,76,160,4096,1,4,0,0,255.94,16.59,591,930,255.94,1685,470989,251586,0,470053,259865,1451477,318883
47,59686,51307,8379,49378,41667,0.84384,2,74,156,3584,1,3,1,0,255.79,22.24,587,928,255.97,2322,477648,252448,0,474214,261449,1474849,320583
48,60315,51989,8326,51750,43589,0.84230,3,76,156,3840,1,3,0,0,239.57,29.47,604,944,239.59,24471,506842,272408,0,498278,267182,1500315,343081
49,59746,51468,8278,50339,42833,0.85089,2,76,160,4032,1,4,0,0,255.74,18.74,548,940,255.83,7502,520539,282680,0,523921,283485,1537396,353164
50,60059,51615,8444,50015,43191,0.86356,2,78,164,4096,0,5,0,0,255.96,28.18,527,936,255.96,1944,525037,283025,0,530125,288941,1588007,355817
51,60368,51879,8489,49765,42005,0.84407,2,80,160,3904,1,3,0,0,255.96,15.33,543,932,255.96,1321,530000,283741,0,531996,291054,1625846,357237
52,59945,51541,8404,49051,41099,0.83788,2,74,144,2816,1,2,0,0,255.96,17.48,610,930,255.97,454,536610,283957,0,531996,292239,1646885,357734
53,59950,51570,8380,51063,42842,0.83900,3,43,152,3456,1,1,1,0,255.97,22.04,690,930,255.97,792,543830,284690,0,533269,293156,1649785,358567
54,60068,51673,8395,51040,42604,0.83472,3,72,160,3968,1,4,0,0,255.85,44.69,618,943,255.85,27832,575254,310431,0,566847,304783,1689521,386031
55,60103,51525,8578,50124,42831,0.85450,2,76,156,3840,1,4,0,0,255.93,21.21,603,939,255.93,3261,579145,313058,0,572950,316168,1725730,389422
56,60134,51616,8518,49738,42156,0.84756,2,78,160,3328,0,5,0,0,251.68,14.42,514,934,250.80,4791,582318,314339,0,584879,319459,1771823,394872
57,60015,51683,8332,49417,42189,0.85373,2,78,160,3328,1,4,0,0,255.97,21.35,590,930,255.97,2269,586896,314493,0,586258,321753,1814608,396450
58,60088,51834,8254,50156,42450,0.84636,2,78,156,3264,1,3,1,0,255.96,17.73,601,928,255.97,2126,594864,315729,0,593010,323476,1842692,398680
59,60507,52035,8472,51818,43735,0.84401,3,82,160,3456,1,3,0,0,223.18,20.69,650,944,223.19,18687,624017,335886,0,614035,328200,1864641,418194
60,59871,51498,8373,50312,42395,0.84264,2,80,160,3328,1,4,0,0,249.03,13.93,642,939,249.61,11991,638269,345076,0,639601,344651,1905283,430287
61,59891,51603,8288,49926,43357,0.86843,2,78,164,3264,1,4,0,0,255.95,18.57,662,935,255.96,1997,640446,345303,0,642421,350867,1945717,431896
62,60066,51640,8426,49586,42480,0.85669,2,78,160,3072,1,3,0,0,255.96,27.06,605,932,255.96,1807,644718,345844,0,647032,353669,1983198,434155
63,60103,51697,8406,49133,41453,0.84369,2,76,160,3200,1,4,0,0,255.97,19.95,629,928,255.97,1624,653390,346194,0,651466,355068,2019786,436097
64,60252,51701,8551,51401,43219,0.84082,3,76,156,3392,1,2,1,0,255.96,33.33,614,945,255.96,11172,661650,348676,0,656829,356361,2026328,441445
65,60135,51803,8332,51019,42613,0.83524,2,82,164,3328,1,4,0,0,248.90,16.71,595,941,248.90,17654,694111,374966,0,689782,371947,2072109,465145
66,59877,51516,8361,50068,42658,0.85200,2,80,160,3264,1,4,0,0,248.48,14.30,497,937,248.49,6428,700225,377172,0,704436,380372,2109182,471611
67,60570,52196,8374,50216,42304,0.84244,2,78,156,3072,1,3,0,0,255.96,14.27,509,934,255.96,1372,707182,377890,0,710030,383497,2138755,473098
68,59898,51456,8442,49128,41179,0.83820,2,80,156,3264,1,4,0,0,255.97,16.58,532,930,255.97,1662,713373,378384,0,711868,385001,2172732,474643
69,59821,51414,8407,49923,41979,0.84087,2,76,144,102,1,1,1,0,255.94,18.87,537,924,255.97,762,718954,379362,0,713246,386601,2181840,475263
70,60252,51713,8539,51397,43152,0.83958,3,74,156,3520,1,2,0,0,220.14,20.02,538,938,220.14,16783,741145,391338,0,725087,388203,2194550,487489
71,59978,51595,8383,50468,42570,0.84350,2,76,160,3264,1,4,0,0,228.63,8.70,440,934,229.75,14708,760662,407883,0,759573,402948,2234394,507435
72,59873,51568,8305,49864,43070,0.86375,2,78,160,3136,0,4,0,0,255.98,15.51,463,931,255.98,1542,761160,408114,0,766000,412571,2272259,509613
73,60698,52329,8369,50167,42570,0.84857,2,76,160,3200,0,4,0,0,255.97,14.00,455,927,255.97,2005,769366,408563,0,772567,415787,2312608,511790
74,59752,51526,8226,48994,41099,0.83886,2,78,156,3264,1,3,0,0,255.97,16.57,524,923,255.97,1338,775968,408748,0,773248,417099,2343030,512754
75,60040,51689,8351,51548,43282,0.83964,3,74,156,3456,1,2,1,0,255.97,28.51,559,939,255.97,11157,784634,410760,0,777692,418327,2358321,518195
76,60267,51772,8495,51073,42852,0.83903,2,76,160,3264,1,4,0,0,255.86,38.09,544,935,255.92,19674,819665,437860,0,817263,431779,2403427,543846
77,59942,51429,8513,49927,43146,0.86418,2,76,156,3136,1,4,0,0,255.93,17.35,549,931,255.94,2241,821311,438773,0,822609,442936,2437428,546466
78,60376,51945,8431,50006,43388,0.86766,2,34,140,58,1,1,0,0,255.97,16.94,523,924,255.97,704,822563,439077,0,823432,446837,2450268,547161
79,60236,51764,8472,49355,42045,0.85189,2,70,160,3264,1,4,0,0,254.18,21.46,608,920,254.19,1720,830427,439191,0,826901,448706,2489116,549097
80,59937,51509,8428,50281,42172,0.83873,2,43,156,3200,1,2,1,0,255.97,19.36,652,919,255.97,1954,837958,439964,0,831250,449900,2506923,550735
81,60015,51571,8444,51191,42744,0.83499,3,43,160,3584,0,4,0,0,255.97,54.21,572,930,225.31,24469,862476,460796,0,858411,457311,2538979,575975
82,60078,51626,8452,50325,42831,0.85109,2,78,160,3200,1,3,0,0,253.12,15.82,510,927,253.14,6547,877464,470729,0,878703,472306,2576534,582718
83,60091,51674,8417,49954,43323,0.86726,2,74,160,3328,1,4,0,0,255.96,16.47,462,923,255.96,2107,879385,471135,0,883561,477316,2613859,584796
84,60358,51919,8439,49777,42028,0.84433,2,76,148,2816,1,2,0,0,255.96,13.30,479,921,255.96,1033,887148,471709,0,887962,479336,2636402,586196
85,60005,51700,8305,49205,41363,0.84063,2,70,148,2688,1,2,1,0,255.97,16.49,546,914,255.97,924,894105,471955,0,888777,480521,2653718,586846
86,59885,51468,8417,51394,43143,0.83946,3,53,160,3520,1,2,0,0,255.96,51.11,548,927,255.96,11189,904543,475275,0,898968,481626,2671400,597858
87,60155,51787,8368,50876,42651,0.83833,2,30,156,3328,1,5,0,0,251.35,26.86,618,922,251.36,16367,929859,498163,0,920192,498000,2714963,614657
88,60077,51579,8498,50085,42353,0.84562,2,24,148,2752,1,2,0,0,255.97,20.67,667,920,255.97,1131,932983,498979,0,920672,504281,2738320,616076
89,60108,51669,8439,49684,42039,0.84613,2,29,160,3200,1,4,0,0,254.84,20.75,600,916,254.85,5741,936059,501477,0,932112,506481,2776679,622079
