t,type,level,bytes
-29.859,flush_begin,0,0
-29.848,flush_end,0,2686930
-29.838,flush_begin,0,0
-29.826,flush_end,0,2686931
-29.816,flush_begin,0,0
-29.805,flush_end,0,2686931
-29.795,flush_begin,0,0
-29.784,flush_end,0,2686931
-29.774,flush_begin,0,0
-29.762,flush_end,0,2686931
-29.753,flush_begin,0,0
-29.742,flush_end,0,2686930
-29.732,flush_begin,0,0
-29.721,flush_end,0,2686932
-29.711,flush_begin,0,0
-29.700,flush_end,0,2686930
-29.690,flush_begin,0,0
-29.679,flush_end,0,2686932
-29.669,flush_begin,0,0
-29.659,flush_end,0,2686930
-29.649,flush_begin,0,0
-29.639,flush_end,0,2686931
-29.629,flush_begin,0,0
-29.619,flush_end,0,2686931
-29.609,flush_begin,0,0
-29.599,flush_end,0,2686930
-29.589,flush_begin,0,0
-29.579,flush_end,0,2686932
-29.569,flush_begin,0,0
-29.558,flush_end,0,2686930
-29.549,flush_begin,0,0
-29.538,flush_end,0,2686931
-29.528,flush_begin,0,0
-29.517,flush_end,0,2686931
-29.507,flush_begin,0,0
-29.497,flush_end,0,2686931
-29.487,flush_begin,0,0
-29.476,flush_end,0,2686931
-29.466,flush_begin,0,0
-29.456,flush_end,0,2686931
-29.445,flush_begin,0,0
-29.435,flush_end,0,2686930
-29.425,flush_begin,0,0
-29.414,flush_end,0,2686933
-29.404,flush_begin,0,0
-29.393,flush_end,0,2686930
-29.383,flush_begin,0,0
-29.373,flush_end,0,2686932
-29.363,flush_begin,0,0
-29.353,flush_end,0,2686930
-29.343,flush_begin,0,0
-29.333,flush_end,0,2686930
-29.323,flush_begin,0,0
-29.312,flush_end,0,2686932
-29.302,flush_begin,0,0
-29.292,flush_end,0,2686930
-29.282,flush_begin,0,0
-29.271,flush_end,0,2686932
-29.261,flush_begin,0,0
-29.251,flush_end,0,2686930
-29.242,flush_begin,0,0
-29.225,flush_end,0,2686931
-29.216,flush_begin,0,0
-29.206,flush_end,0,2686931
-29.196,flush_begin,0,0
-29.187,flush_end,0,2686931
-29.177,flush_begin,0,0
-29.168,flush_end,0,2686931
-29.158,flush_begin,0,0
-29.148,flush_end,0,2686931
-29.139,flush_begin,0,0
-29.129,flush_end,0,2686930
-29.119,flush_begin,0,0
-29.110,flush_end,0,2686932
-29.100,flush_begin,0,0
-29.090,flush_end,0,2686930
-29.080,flush_begin,0,0
-29.070,flush_end,0,2686931
-29.060,flush_begin,0,0
-29.050,flush_end,0,2686931
-29.034,trivial_move,3,2686930
-29.033,flush_begin,0,0
-29.022,flush_end,0,2686930
-29.006,trivial_move,3,2686931
-29.005,flush_begin,0,0
-28.995,flush_end,0,2686932
-28.980,trivial_move,3,2686931
-28.979,flush_begin,0,0
-28.969,flush_end,0,2686930
-28.953,trivial_move,3,2686931
-28.952,flush_begin,0,0
-28.942,flush_end,0,2686933
-28.926,trivial_move,3,2686931
-28.925,flush_begin,0,0
-28.914,flush_end,0,2686930
-28.898,trivial_move,3,2686930
-28.897,flush_begin,0,0
-28.886,flush_end,0,2686931
-28.870,trivial_move,3,2686932
-28.868,flush_begin,0,0
-28.857,flush_end,0,2686931
-28.841,trivial_move,3,2686930
-28.839,flush_begin,0,0
-28.828,flush_end,0,2686931
-28.812,trivial_move,3,2686932
-28.810,flush_begin,0,0
-28.799,flush_end,0,2686931
-28.783,trivial_move,3,2686930
-28.781,flush_begin,0,0
-28.769,flush_end,0,2686930
-28.753,trivial_move,3,2686931
-28.751,flush_begin,0,0
-28.738,flush_end,0,2686930
-28.721,trivial_move,3,2686931
-28.719,flush_begin,0,0
-28.707,flush_end,0,2686931
-28.691,trivial_move,3,2686930
-28.688,flush_begin,0,0
-28.676,flush_end,0,2686931
-28.660,trivial_move,3,2686932
-28.658,flush_begin,0,0
-28.646,flush_end,0,2686931
-28.630,trivial_move,3,2686930
-28.628,flush_begin,0,0
-28.616,flush_end,0,2686931
-28.600,trivial_move,3,2686931
-28.598,flush_begin,0,0
-28.586,flush_end,0,2686930
-28.570,trivial_move,3,2686931
-28.568,flush_begin,0,0
-28.556,flush_end,0,2686932
-28.540,trivial_move,3,2686931
-28.538,flush_begin,0,0
-28.525,flush_end,0,2686930
-28.508,trivial_move,3,2686931
-28.506,flush_begin,0,0
-28.494,flush_end,0,2686932
-28.478,trivial_move,3,2686931
-28.476,flush_begin,0,0
-28.463,flush_end,0,2686930
-28.447,trivial_move,3,2686930
-28.444,flush_begin,0,0
-28.432,flush_end,0,2686931
-28.416,trivial_move,3,2686933
-28.414,flush_begin,0,0
-28.401,flush_end,0,2686931
-28.385,trivial_move,3,2686930
-28.383,flush_begin,0,0
-28.370,flush_end,0,2686930
-28.354,trivial_move,3,2686932
-28.353,flush_begin,0,0
-28.341,flush_end,0,2686932
-28.325,trivial_move,3,2686930
-28.322,flush_begin,0,0
-28.309,flush_end,0,2686930
-28.293,trivial_move,3,2686930
-28.291,flush_begin,0,0
-28.279,flush_end,0,2686932
-28.263,trivial_move,3,2686932
-28.261,flush_begin,0,0
-28.249,flush_end,0,2686931
-28.233,trivial_move,3,2686930
-28.230,flush_begin,0,0
-28.217,flush_end,0,2686931
-28.201,trivial_move,3,2686932
-28.198,flush_begin,0,0
-28.186,flush_end,0,2686931
-28.170,trivial_move,3,2686930
-28.168,flush_begin,0,0
-28.155,flush_end,0,2686931
-28.139,trivial_move,3,2686931
-28.137,flush_begin,0,0
-28.124,flush_end,0,2686930
-28.108,trivial_move,3,2686931
-28.106,flush_begin,0,0
-28.094,flush_end,0,2686932
-28.078,trivial_move,3,2686931
-28.076,flush_begin,0,0
-28.064,flush_end,0,2686930
-28.048,trivial_move,3,2686931
-28.046,flush_begin,0,0
-28.033,flush_end,0,2686932
-28.017,trivial_move,3,2686931
-28.015,flush_begin,0,0
-28.002,flush_end,0,2686930
-27.986,trivial_move,3,2686930
-27.983,flush_begin,0,0
-27.970,flush_end,0,2686930
-27.954,trivial_move,3,2686932
-27.952,flush_begin,0,0
-27.939,flush_end,0,2686932
-27.923,trivial_move,3,2686930
-27.920,flush_begin,0,0
-27.907,flush_end,0,2686930
-27.891,trivial_move,3,2686931
-27.888,flush_begin,0,0
-27.876,flush_end,0,2686932
-27.860,trivial_move,3,2686931
-27.858,flush_begin,0,0
-27.846,flush_end,0,2686930
-27.830,trivial_move,3,2686930
-27.828,flush_begin,0,0
-27.816,flush_end,0,2686931
-27.800,trivial_move,3,2686932
-27.798,flush_begin,0,0
-27.786,flush_end,0,2686931
-27.770,trivial_move,3,2686930
-27.767,flush_begin,0,0
-27.754,flush_end,0,2686931
-27.738,trivial_move,3,2686933
-27.735,flush_begin,0,0
-27.723,flush_end,0,2686931
-27.707,trivial_move,3,2686930
-27.705,flush_begin,0,0
-27.692,flush_end,0,2686931
-27.676,trivial_move,3,2686931
-27.673,flush_begin,0,0
-27.660,flush_end,0,2686930
-27.644,trivial_move,3,2686931
-27.641,flush_begin,0,0
-27.629,flush_end,0,2686933
-27.613,trivial_move,3,2686931
