t,type,level,bytes
-29.865,flush_begin,0,0
-29.854,flush_end,0,2686930
-29.845,flush_begin,0,0
-29.835,flush_end,0,2686931
-29.826,flush_begin,0,0
-29.816,flush_end,0,2686931
-29.807,flush_begin,0,0
-29.797,flush_end,0,2686931
-29.788,flush_begin,0,0
-29.778,flush_end,0,2686931
-29.769,flush_begin,0,0
-29.759,flush_end,0,2686930
-29.749,flush_begin,0,0
-29.739,flush_end,0,2686932
-29.730,flush_begin,0,0
-29.720,flush_end,0,2686930
-29.711,flush_begin,0,0
-29.701,flush_end,0,2686932
-29.692,flush_begin,0,0
-29.681,flush_end,0,2686930
-29.671,flush_begin,0,0
-29.661,flush_end,0,2686931
-29.652,flush_begin,0,0
-29.642,flush_end,0,2686931
-29.632,flush_begin,0,0
-29.621,flush_end,0,2686930
-29.611,flush_begin,0,0
-29.600,flush_end,0,2686932
-29.590,flush_begin,0,0
-29.579,flush_end,0,2686930
-29.569,flush_begin,0,0
-29.558,flush_end,0,2686931
-29.549,flush_begin,0,0
-29.538,flush_end,0,2686931
-29.529,flush_begin,0,0
-29.519,flush_end,0,2686931
-29.510,flush_begin,0,0
-29.499,flush_end,0,2686931
-29.489,flush_begin,0,0
-29.478,flush_end,0,2686931
-29.468,flush_begin,0,0
-29.457,flush_end,0,2686930
-29.447,flush_begin,0,0
-29.436,flush_end,0,2686933
-29.426,flush_begin,0,0
-29.415,flush_end,0,2686930
-29.406,flush_begin,0,0
-29.395,flush_end,0,2686932
-29.386,flush_begin,0,0
-29.376,flush_end,0,2686930
-29.366,flush_begin,0,0
-29.355,flush_end,0,2686930
-29.345,flush_begin,0,0
-29.334,flush_end,0,2686932
-29.324,flush_begin,0,0
-29.314,flush_end,0,2686930
-29.305,flush_begin,0,0
-29.294,flush_end,0,2686932
-29.285,flush_begin,0,0
-29.274,flush_end,0,2686930
-29.266,flush_begin,0,0
-29.255,flush_end,0,2686931
-29.245,flush_begin,0,0
-29.235,flush_end,0,2686931
-29.225,flush_begin,0,0
-29.215,flush_end,0,2686931
-29.206,flush_begin,0,0
-29.195,flush_end,0,2686931
-29.185,flush_begin,0,0
-29.174,flush_end,0,2686931
-29.164,flush_begin,0,0
-29.153,flush_end,0,2686930
-29.144,flush_begin,0,0
-29.133,flush_end,0,2686932
-29.123,flush_begin,0,0
-29.112,flush_end,0,2686930
-29.104,flush_begin,0,0
-29.093,flush_end,0,2686931
-29.083,flush_begin,0,0
-29.072,flush_end,0,2686931
-29.056,trivial_move,3,2686930
-29.056,flush_begin,0,0
-29.044,flush_end,0,2686930
-29.029,trivial_move,3,2686931
-29.028,flush_begin,0,0
-29.018,flush_end,0,2686932
-29.002,trivial_move,3,2686931
-29.000,flush_begin,0,0
-28.989,flush_end,0,2686930
-28.972,trivial_move,3,2686931
-28.972,flush_begin,0,0
-28.960,flush_end,0,2686933
-28.944,trivial_move,3,2686931
-28.943,flush_begin,0,0
-28.930,flush_end,0,2686930
-28.918,trivial_move,3,2686930
-28.916,flush_begin,0,0
-28.903,flush_end,0,2686931
-28.889,trivial_move,3,2686932
-28.887,flush_begin,0,0
-28.875,flush_end,0,2686931
-28.859,trivial_move,3,2686930
-28.857,flush_begin,0,0
-28.845,flush_end,0,2686931
-28.829,trivial_move,3,2686932
-28.827,flush_begin,0,0
-28.814,flush_end,0,2686931
-28.798,trivial_move,3,2686930
-28.796,flush_begin,0,0
-28.781,flush_end,0,2686930
-28.766,trivial_move,3,2686931
-28.764,flush_begin,0,0
-28.750,flush_end,0,2686930
-28.734,trivial_move,3,2686931
-28.732,flush_begin,0,0
-28.719,flush_end,0,2686931
-28.703,trivial_move,3,2686930
-28.700,flush_begin,0,0
-28.686,flush_end,0,2686931
-28.670,trivial_move,3,2686932
-28.667,flush_begin,0,0
-28.653,flush_end,0,2686931
-28.637,trivial_move,3,2686930
-28.635,flush_begin,0,0
-28.622,flush_end,0,2686931
-28.606,trivial_move,3,2686931
-28.603,flush_begin,0,0
-28.588,flush_end,0,2686930
-28.573,trivial_move,3,2686931
-28.571,flush_begin,0,0
-28.557,flush_end,0,2686932
-28.541,trivial_move,3,2686931
-28.538,flush_begin,0,0
-28.524,flush_end,0,2686930
-28.508,trivial_move,3,2686931
-28.505,flush_begin,0,0
-28.491,flush_end,0,2686932
-28.475,trivial_move,3,2686931
-28.473,flush_begin,0,0
-28.459,flush_end,0,2686930
-28.443,trivial_move,3,2686930
-28.441,flush_begin,0,0
-28.428,flush_end,0,2686931
-28.412,trivial_move,3,2686933
-28.410,flush_begin,0,0
-28.397,flush_end,0,2686931
-28.381,trivial_move,3,2686930
-28.380,flush_begin,0,0
-28.367,flush_end,0,2686930
-28.351,trivial_move,3,2686932
-28.349,flush_begin,0,0
-28.336,flush_end,0,2686932
-28.320,trivial_move,3,2686930
-28.318,flush_begin,0,0
-28.304,flush_end,0,2686930
-28.288,trivial_move,3,2686930
-28.286,flush_begin,0,0
-28.273,flush_end,0,2686932
-28.257,trivial_move,3,2686932
-28.255,flush_begin,0,0
-28.242,flush_end,0,2686931
-28.226,trivial_move,3,2686930
-28.224,flush_begin,0,0
-28.211,flush_end,0,2686931
-28.195,trivial_move,3,2686932
-28.193,flush_begin,0,0
-28.180,flush_end,0,2686931
-28.164,trivial_move,3,2686930
-28.163,flush_begin,0,0
-28.150,flush_end,0,2686931
-28.134,trivial_move,3,2686931
-28.132,flush_begin,0,0
-28.119,flush_end,0,2686930
-28.103,trivial_move,3,2686931
-28.101,flush_begin,0,0
-28.088,flush_end,0,2686932
-28.072,trivial_move,3,2686931
-28.070,flush_begin,0,0
-28.057,flush_end,0,2686930
-28.041,trivial_move,3,2686931
-28.039,flush_begin,0,0
-28.025,flush_end,0,2686932
-28.008,trivial_move,3,2686931
-28.006,flush_begin,0,0
-27.992,flush_end,0,2686930
-27.976,trivial_move,3,2686930
-27.974,flush_begin,0,0
-27.961,flush_end,0,2686930
-27.945,trivial_move,3,2686932
-27.943,flush_begin,0,0
-27.929,flush_end,0,2686932
-27.913,trivial_move,3,2686930
-27.911,flush_begin,0,0
-27.897,flush_end,0,2686930
-27.881,trivial_move,3,2686931
-27.879,flush_begin,0,0
-27.866,flush_end,0,2686932
-27.850,trivial_move,3,2686931
-27.848,flush_begin,0,0
-27.835,flush_end,0,2686930
-27.819,trivial_move,3,2686930
-27.816,flush_begin,0,0
-27.804,flush_end,0,2686931
-27.788,trivial_move,3,2686932
-27.786,flush_begin,0,0
-27.772,flush_end,0,2686931
-27.756,trivial_move,3,2686930
-27.754,flush_begin,0,0
-27.740,flush_end,0,2686931
-27.724,trivial_move,3,2686933
-27.722,flush_begin,0,0
-27.709,flush_end,0,2686931
-27.693,trivial_move,3,2686930
-27.691,flush_begin,0,0
-27.676,flush_end,0,2686931
-27.660,trivial_move,3,2686931
-27.658,flush_begin,0,0
-27.644,flush_end,0,2686930
-27.628,trivial_move,3,2686931
-27.626,flush_begin,0,0
-27.613,flush_end,0,2686933
-27.597,trivial_move,3,2686931
-27.595,flush_begin,0,0
-27.582,flush_end,0,2686930
-27.566,trivial_move,3,2686931
-27.564,flush_begin,0,0
-27.551,flush_end,0,2686931
-27.535,trivial_move,3,2686930
-27.533,flush_begin,0,0
-27.520,flush_end,0,2686931
-27.504,trivial_move,3,2686930
-27.502,flush_begin,0,0
-27.489,flush_end,0,2686930
-27.473,trivial_move,3,2686931
-27.470,flush_begin,0,0
-27.457,flush_end,0,2686932
-27.441,trivial_move,3,2686931
-27.439,flush_begin,0,0
-27.426,flush_end,0,2686930
-27.410,trivial_move,3,2686931
-27.408,flush_begin,0,0
-27.395,flush_end,0,2686932
-27.379,trivial_move,3,2686931
-27.377,flush_begin,0,0
-27.363,flush_end,0,2686930
-27.346,trivial_move,3,2686930
-27.345,flush_begin,0,0
-27.330,flush_end,0,2686931
-27.315,trivial_move,3,2686932
-27.313,flush_begin,0,0
-27.299,flush_end,0,2686931
-27.283,trivial_move,3,2686930
-27.281,flush_begin,0,0
-27.267,flush_end,0,2686931
-27.251,trivial_move,3,2686932
-27.249,flush_begin,0,0
-27.235,flush_end,0,2686931
-27.220,trivial_move,3,2686930
-27.219,flush_begin,0,0
-27.206,flush_end,0,2686930
-27.190,trivial_move,3,2686931
-27.188,flush_begin,0,0
-27.175,flush_end,0,2686930
-27.159,trivial_move,3,2686931
-27.157,flush_begin,0,0
-27.144,flush_end,0,2686931
-27.128,trivial_move,3,2686930
-27.126,flush_begin,0,0
-27.113,flush_end,0,2686931
-27.097,trivial_move,3,2686932
-27.095,flush_begin,0,0
-27.082,flush_end,0,2686931
-27.066,trivial_move,3,2686930
-27.065,flush_begin,0,0
-27.053,flush_end,0,2686931
-27.037,trivial_move,3,2686932
-27.036,flush_begin,0,0
-27.024,flush_end,0,2686930
-27.008,trivial_move,3,2686931
-27.007,flush_begin,0,0
-26.994,flush_end,0,2686932
-26.978,trivial_move,3,2686931
-26.977,flush_begin,0,0
-26.965,flush_end,0,2686930
-26.949,trivial_move,3,2686931
-26.947,flush_begin,0,0
-26.935,flush_end,0,2686933
-26.919,trivial_move,3,2686931
-26.918,flush_begin,0,0
-26.904,flush_end,0,2686930
-26.890,trivial_move,3,2686930
-26.889,flush_begin,0,0
-26.876,flush_end,0,2686931
-26.860,trivial_move,3,2686932
-26.858,flush_begin,0,0
-26.846,flush_end,0,2686931
-26.830,trivial_move,3,2686930
-26.829,flush_begin,0,0
-26.816,flush_end,0,2686930
-26.800,trivial_move,3,2686932
-26.799,flush_begin,0,0
-26.786,flush_end,0,2686932
-26.770,trivial_move,3,2686930
-26.768,flush_begin,0,0
-26.755,flush_end,0,2686930
-26.739,trivial_move,3,2686930
-26.738,flush_begin,0,0
-26.724,flush_end,0,2686931
-26.708,trivial_move,3,2686932
-26.707,flush_begin,0,0
-26.693,flush_end,0,2686931
