t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60014,51576,8438,49822,30639,0.61497,3,28,160,3328,1,6,0,0,255.97,32.95,441,971,255.97,172498,58032,6601,0,51345,831,52004,905
2,60068,51624,8444,49455,34246,0.69247,2,20,122,2816,1,2,0,0,255.97,39.00,468,958,255.97,336,90936,8061,0,76520,1378,76929,1242
3,60038,51483,8555,49762,34749,0.69830,2,22,124,2880,1,2,1,0,255.96,43.41,471,957,255.96,200,117031,9607,0,101947,2168,101701,1619
4,60341,51896,8445,51689,40023,0.77430,3,32,160,3520,1,5,0,0,249.15,34.96,544,968,249.16,24940,142152,12726,0,138306,12015,139037,25805
5,59888,51496,8392,50473,38124,0.75533,2,25,160,3456,1,5,0,0,255.96,44.70,408,963,255.96,2484,190903,19238,0,193980,22693,194796,29563
6,59995,51566,8429,50049,30738,0.61416,3,20,160,3392,1,6,0,0,255.97,24.55,420,957,255.97,953,254555,28725,0,249393,23452,249585,30503
7,60124,51760,8364,49741,30258,0.60831,3,26,160,3328,1,6,0,0,255.97,37.95,402,951,255.97,603,312205,32204,0,303903,24164,304854,31252
8,60159,51755,8404,49380,29590,0.59923,3,24,160,3456,1,5,0,0,255.97,34.87,407,934,255.97,589,368386,33951,0,358908,24601,359364,31909
9,60077,51583,8494,51311,35209,0.68619,3,26,116,3136,1,2,1,0,255.96,40.37,468,927,255.96,722,393589,34235,0,375316,25753,374673,32096
10,60044,51527,8517,50980,40450,0.79345,3,43,164,3584,1,5,0,0,233.96,17.79,513,948,233.96,24288,420927,36247,0,416568,37348,417450,57064
11,59904,51448,8456,50109,36214,0.72270,2,34,164,3392,1,5,0,0,255.97,37.03,390,943,255.97,1027,470614,43975,0,472068,45574,472932,58437
12,60072,51717,8355,49958,33872,0.67801,2,23,122,2624,1,2,0,0,255.97,47.09,418,935,255.97,469,505579,48016,0,496302,46208,497107,59051
13,59718,51200,8518,49006,33488,0.68334,3,23,160,3520,1,6,0,0,255.96,40.32,355,929,255.96,1992,555043,53036,0,549321,47501,549997,61175
14,59534,51133,8401,49659,30837,0.62098,4,35,160,3648,0,5,1,0,253.68,7.74,456,946,253.88,1024,600167,56510,0,587513,48458,586837,62256
15,61160,52692,8468,52230,41191,0.78865,2,26,164,3456,1,5,0,0,255.97,20.24,463,941,255.97,22981,636732,59042,0,641220,63982,642079,85791
