t,type,level,bytes
-29.870,flush_begin,0,0
-29.859,flush_end,0,2686930
-29.849,flush_begin,0,0
-29.838,flush_end,0,2686931
-29.828,flush_begin,0,0
-29.818,flush_end,0,2686931
-29.809,flush_begin,0,0
-29.799,flush_end,0,2686931
-29.789,flush_begin,0,0
-29.778,flush_end,0,2686931
-29.770,flush_begin,0,0
-29.759,flush_end,0,2686930
-29.750,flush_begin,0,0
-29.739,flush_end,0,2686932
-29.730,flush_begin,0,0
-29.720,flush_end,0,2686930
-29.710,flush_begin,0,0
-29.700,flush_end,0,2686932
-29.690,flush_begin,0,0
-29.680,flush_end,0,2686930
-29.670,flush_begin,0,0
-29.659,flush_end,0,2686931
-29.648,flush_begin,0,0
-29.635,flush_end,0,2686931
-29.625,flush_begin,0,0
-29.615,flush_end,0,2686930
-29.606,flush_begin,0,0
-29.595,flush_end,0,2686932
-29.585,flush_begin,0,0
-29.574,flush_end,0,2686930
-29.565,flush_begin,0,0
-29.554,flush_end,0,2686931
-29.545,flush_begin,0,0
-29.534,flush_end,0,2686931
-29.524,flush_begin,0,0
-29.513,flush_end,0,2686931
-29.503,flush_begin,0,0
-29.492,flush_end,0,2686931
-29.483,flush_begin,0,0
-29.472,flush_end,0,2686931
-29.463,flush_begin,0,0
-29.452,flush_end,0,2686930
-29.443,flush_begin,0,0
-29.433,flush_end,0,2686933
-29.424,flush_begin,0,0
-29.414,flush_end,0,2686930
-29.405,flush_begin,0,0
-29.395,flush_end,0,2686932
-29.386,flush_begin,0,0
-29.376,flush_end,0,2686930
-29.367,flush_begin,0,0
-29.357,flush_end,0,2686930
-29.348,flush_begin,0,0
-29.338,flush_end,0,2686932
-29.329,flush_begin,0,0
-29.319,flush_end,0,2686930
-29.310,flush_begin,0,0
-29.301,flush_end,0,2686932
-29.292,flush_begin,0,0
-29.281,flush_end,0,2686930
-29.271,flush_begin,0,0
-29.261,flush_end,0,2686931
-29.252,flush_begin,0,0
-29.241,flush_end,0,2686931
-29.232,flush_begin,0,0
-29.222,flush_end,0,2686931
-29.213,flush_begin,0,0
-29.202,flush_end,0,2686931
-29.193,flush_begin,0,0
-29.182,flush_end,0,2686931
