t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60229,51666,8563,49930,40210,0.80533,2,26,160,3456,1,5,0,0,255.97,20.75,598,932,255.97,0,0,0,0,0,0,51763,1809
2,59721,51333,8388,49163,40525,0.82430,2,21,152,3264,1,4,0,0,255.97,24.76,666,922,255.97,0,0,0,0,0,0,89894,3743
3,60302,51758,8544,50167,41263,0.82251,3,24,156,3520,1,5,1,0,255.97,27.24,689,945,255.97,0,0,0,0,0,0,130817,7446
4,60010,51526,8484,51110,26314,0.51485,3,23,164,3520,1,5,0,0,255.97,15.21,515,940,255.97,0,0,0,0,0,0,190714,35260
5,59702,51269,8433,50134,34955,0.69723,2,21,164,3520,1,6,0,0,255.96,14.18,475,934,255.96,0,0,0,0,0,0,250115,39534
6,60168,51767,8401,50169,39874,0.79479,2,26,148,3328,1,4,0,0,255.96,20.51,545,930,255.96,0,0,0,0,0,0,289977,40934
7,59976,51469,8507,49411,40479,0.81923,2,18,106,656,1,1,0,0,255.96,21.37,557,923,255.96,0,0,0,0,0,0,303810,41827
8,60402,51856,8546,49331,40749,0.82603,2,14,124,3072,1,3,0,0,255.96,21.35,575,914,255.96,0,0,0,0,0,0,333750,43144
9,59941,51583,8358,51495,42580,0.82688,3,26,118,3200,1,2,1,0,255.97,21.74,594,907,255.97,0,0,0,0,0,0,345181,44358
10,60171,51839,8332,51098,26754,0.52358,3,22,164,3456,1,6,0,0,255.97,15.24,526,922,255.97,0,0,0,0,0,0,402836,75544
11,59755,51407,8348,49992,34206,0.68423,2,19,160,3520,1,6,0,0,255.97,12.59,494,916,255.97,0,0,0,0,0,0,462809,77453
12,60140,51807,8333,49931,39620,0.79350,2,19,160,3456,1,6,0,0,255.97,17.62,536,910,255.97,0,0,0,0,0,0,523201,79772
13,60169,51710,8459,49445,40470,0.81849,2,15,128,3136,1,3,0,0,255.97,22.28,531,907,255.97,0,0,0,0,0,0,553104,81270
14,59924,51468,8456,50287,41163,0.81856,3,23,160,3648,1,5,1,0,255.96,24.13,556,921,255.96,0,0,0,0,0,0,587766,85225
15,59828,51462,8366,50966,25465,0.49965,3,19,164,3520,1,6,0,0,255.97,14.49,455,915,255.97,0,0,0,0,0,0,648674,114084
16,60188,51720,8468,50585,35800,0.70772,2,17,152,3392,1,4,0,0,255.97,12.91,429,911,255.97,0,0,0,0,0,0,692291,115507
17,60350,51880,8470,50277,40221,0.79999,2,15,148,3264,1,4,0,0,255.97,17.51,463,901,255.97,0,0,0,0,0,0,735141,117686
18,59612,51272,8340,49201,40299,0.81907,2,16,156,3520,1,6,0,0,255.97,21.94,495,895,255.97,0,0,0,0,0,0,790452,121303
19,60031,51641,8390,49219,40733,0.82759,2,12,126,3136,1,3,0,0,255.97,23.02,473,886,255.97,0,0,0,0,0,0,820647,122949
20,60063,51603,8460,51567,37760,0.73225,3,24,156,3584,1,4,1,0,255.98,18.55,443,907,255.98,0,0,0,0,0,0,861266,146082
21,60426,51882,8544,50956,26685,0.52369,3,19,160,3456,1,6,0,0,255.98,9.55,391,901,255.98,0,0,0,0,0,0,922141,157177
22,59673,51278,8395,49862,37874,0.75958,2,14,128,3136,1,3,0,0,255.97,13.36,421,898,255.97,0,0,0,0,0,0,952030,157849
23,60535,51944,8591,50081,40594,0.81057,2,16,156,3456,1,6,0,0,255.96,16.21,504,886,255.96,0,0,0,0,0,0,1007985,160115
24,59998,51739,8259,49530,40694,0.82160,2,17,160,3584,1,6,0,0,255.96,23.35,584,880,255.96,0,0,0,0,0,0,1067991,163758
25,60108,51697,8411,50623,41751,0.82474,2,16,112,3264,1,2,1,0,255.96,26.27,589,879,255.96,0,0,0,0,0,0,1085741,164303
26,59574,51228,8346,50776,29394,0.57890,4,24,164,3648,1,5,0,0,255.96,16.72,533,899,255.96,0,0,0,0,0,0,1133563,190773
27,60338,52041,8297,50813,33013,0.64970,2,19,164,3520,1,6,0,0,255.97,13.18,474,893,255.97,0,0,0,0,0,0,1193922,197529
28,60138,51738,8400,50098,39202,0.78251,2,21,160,3584,1,6,0,0,255.97,17.92,511,887,255.97,0,0,0,0,0,0,1253564,199490
29,59702,51343,8359,49299,39960,0.81056,2,20,164,3456,1,6,0,0,255.97,22.34,566,881,255.97,0,0,0,0,0,0,1313938,201900
30,60380,51869,8511,49659,40613,0.81784,2,17,122,3072,1,3,1,0,255.96,25.74,567,873,255.96,0,0,0,0,0,0,1340246,203345
31,59909,51581,8328,51442,31726,0.61673,3,25,160,3584,1,4,0,0,255.97,19.96,517,894,255.97,0,0,0,0,0,0,1381462,229023
32,59978,51665,8313,50687,31244,0.61641,3,18,160,4224,1,6,0,0,255.96,14.72,460,888,255.96,0,0,0,0,0,0,1438245,235111
33,60123,51659,8464,50234,39161,0.77957,2,16,114,3392,1,2,0,0,255.96,16.83,468,880,255.96,0,0,0,0,0,0,1463458,235875
34,59898,51360,8538,49497,40293,0.81405,2,16,160,4096,1,6,0,0,255.96,20.62,519,874,255.96,0,0,0,0,0,0,1520571,239380
35,60383,51884,8499,49529,40737,0.82249,2,13,116,3392,1,3,0,0,255.97,24.49,521,865,255.97,0,0,0,0,0,0,1546743,240971
36,59720,51159,8561,50433,41515,0.82317,2,13,120,3840,1,2,1,0,255.97,23.62,487,864,255.97,0,0,0,0,0,0,1574284,242722
37,60240,51770,8470,51375,36619,0.71278,4,21,156,4032,1,5,0,0,255.97,18.41,458,876,255.97,0,0,0,0,0,0,1610246,265318
