t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59928,51401,8527,49712,40142,0.80749,2,92,124,47,1,1,0,0,255.97,27.46,1132,1021,255.97,262903,0,0,0,0,0,13259,1148
2,60065,51609,8456,49456,40920,0.82740,2,90,120,216,1,2,0,0,255.97,24.17,1024,1013,255.97,905,0,0,0,0,0,26240,1568
3,60109,51615,8494,50077,41949,0.83769,2,92,120,208,1,1,1,0,255.98,21.85,904,1007,255.98,231,0,0,0,643,463,39150,2294
4,60070,51513,8557,51448,43004,0.83587,3,102,152,3840,1,2,0,0,255.97,20.28,874,1011,255.97,11063,643,585,0,643,585,55347,12540
5,59439,51108,8331,50145,29194,0.58219,3,96,156,3136,0,4,0,0,236.20,24.99,974,1007,236.30,14972,643,585,0,643,585,87067,28785
6,60434,51950,8484,50417,34726,0.68878,2,92,132,1952,1,2,0,0,237.47,26.24,986,1005,237.50,12065,643,585,0,643,585,107975,40262
7,60028,51517,8511,49468,38283,0.77389,2,90,120,180,1,1,0,0,255.97,24.36,931,998,255.97,1509,643,585,0,643,585,121440,41604
8,59762,51346,8416,48864,39876,0.81606,2,90,120,118,1,1,0,0,255.96,23.31,831,997,255.96,1098,643,585,0,643,585,135631,43554
9,60295,51844,8451,51634,37348,0.72332,3,106,168,3904,1,4,1,0,213.04,25.38,890,1003,213.08,19676,1286,1066,0,1286,1066,164752,63416
10,59618,51362,8256,50513,27908,0.55249,3,102,176,3584,1,5,0,0,242.77,28.33,980,998,242.83,15349,1286,1066,0,1286,1066,212176,78270
11,60320,51939,8381,50489,38368,0.75993,2,90,118,736,1,1,0,0,255.97,25.88,907,997,255.97,1493,1286,1066,0,1286,1066,225748,80121
12,59922,51625,8297,49775,40506,0.81378,2,88,118,36,1,1,0,0,255.97,24.69,853,990,255.97,463,1286,1066,0,1286,1066,239411,81229
13,60046,51587,8459,49389,40905,0.82822,2,88,118,336,1,2,0,0,255.80,22.52,798,982,255.80,2585,1286,1066,0,1286,1066,253421,83069
14,60034,51575,8459,50277,42158,0.83851,2,88,118,208,1,1,1,0,255.97,22.01,703,976,255.97,978,1286,1066,0,1929,1562,267174,84683
15,60281,51862,8419,51701,40198,0.77751,3,98,148,3712,1,3,0,0,232.96,21.59,674,980,232.96,19435,1929,1661,0,1929,1661,285726,97825
16,59852,51385,8467,50349,27737,0.55089,3,92,152,3072,1,3,0,0,253.09,22.00,697,977,253.10,7872,1929,1661,0,1929,1661,317197,111972
17,60402,51914,8488,50385,37908,0.75237,2,94,148,2688,1,3,0,0,255.96,19.69,647,968,255.96,7217,1929,1661,0,1929,1661,347670,116910
18,59636,51276,8360,49213,40130,0.81543,2,90,120,376,1,2,0,0,248.69,21.32,624,966,248.71,2435,1929,1661,0,1929,1661,363824,121859
19,60183,51888,8295,49444,40684,0.82283,2,92,132,2432,1,2,0,0,246.36,22.42,623,964,246.39,5674,1929,1661,0,1929,1661,388052,128015
20,60109,51615,8494,51667,42640,0.82528,3,98,148,3776,1,2,1,0,255.96,18.38,575,969,255.96,11061,2572,2241,0,2572,2241,403448,137450
21,60047,51525,8522,50741,25669,0.50588,3,98,164,3392,1,5,0,0,237.58,20.63,637,964,237.62,19781,2572,2241,0,2572,2241,450630,158926
22,60349,51837,8512,50389,36356,0.72151,2,90,140,3328,1,3,0,0,253.34,20.53,582,961,253.35,5321,2572,2241,0,2572,2241,476895,161700
23,59988,51514,8474,49681,40063,0.80640,2,88,128,2432,1,2,0,0,255.13,19.79,566,953,255.14,2735,2572,2241,0,2572,2241,498110,166078
24,59624,51415,8209,49246,40288,0.81810,2,88,114,304,1,1,0,0,255.96,18.60,525,952,255.96,1149,2572,2241,0,2572,2241,512934,168566
25,60391,51928,8463,50865,42381,0.83321,2,88,118,296,1,1,1,0,255.96,16.09,443,952,255.96,413,2572,2241,0,3215,2774,526202,169477
26,59936,51546,8390,51225,35892,0.70067,3,102,156,3840,1,4,0,0,229.07,16.23,473,955,229.09,25927,3215,2833,0,3215,2833,552576,188933
27,60080,51805,8275,50584,29436,0.58192,3,90,140,3136,1,3,0,0,239.96,17.11,490,952,239.97,5956,3215,2833,0,3215,2833,579537,201285
28,59939,51571,8368,49966,38937,0.77927,2,92,136,2944,1,2,0,0,255.76,16.95,478,944,255.76,800,3215,2833,0,3215,2833,602731,202343
29,59942,51452,8490,49431,40532,0.81997,2,92,126,528,1,2,0,0,255.84,15.88,466,942,255.84,1683,3215,2833,0,3215,2833,622051,203917
30,60205,51829,8376,49627,41123,0.82864,2,90,118,264,1,1,1,0,255.97,15.34,436,936,255.97,217,3215,2833,0,3858,3014,635051,204416
31,60020,51688,8332,51751,41631,0.80445,3,100,144,3648,1,3,0,0,224.51,14.88,422,938,224.53,15903,3858,3396,0,3858,3396,653096,216399
32,59938,51595,8343,50806,34953,0.68797,3,96,148,3136,1,3,0,0,218.13,16.42,451,935,218.14,15517,3858,3396,0,3858,3396,683980,231574
33,60275,51806,8469,50439,31321,0.62097,3,92,140,2048,1,2,0,0,249.68,20.98,460,933,249.70,5947,3858,3396,0,3858,3396,708840,241730
34,60407,51757,8650,49908,38390,0.76922,2,90,118,200,1,2,0,0,248.30,19.76,423,931,248.31,2189,3858,3396,0,3858,3396,723088,244426
35,59786,51349,8437,49010,40118,0.81857,2,90,116,33,1,1,0,0,255.96,18.28,373,924,255.96,533,3858,3396,0,3858,3396,735727,244778
36,60007,51534,8473,50745,42210,0.83181,3,98,140,3840,1,2,1,0,255.45,14.80,333,927,255.45,11106,4501,3949,0,4501,3949,745477,247121
37,59986,51438,8548,50813,26695,0.52536,3,102,168,3392,1,5,0,0,211.73,16.16,385,922,211.75,23884,4501,3949,0,4501,3949,795922,279716
38,60149,51661,8488,50357,35551,0.70598,2,88,112,228,1,1,0,0,255.97,15.39,366,917,255.97,448,4501,3949,0,4501,3949,809490,280746
39,60079,51740,8339,49971,40143,0.80333,2,90,126,2752,1,2,0,0,255.97,14.41,359,909,255.97,2371,4501,3949,0,4501,3949,830842,283099
40,59988,51595,8393,49469,40750,0.82375,2,90,114,392,1,2,0,0,255.94,13.07,323,901,255.94,953,4501,3949,0,4501,3949,844029,283696
41,59877,51590,8287,49731,41434,0.83316,2,90,122,1472,1,1,1,0,255.97,11.93,308,901,255.97,904,4501,3949,0,5144,4337,856748,284718
42,60328,51758,8570,51757,43471,0.83991,3,100,144,3776,1,2,0,0,255.83,10.99,293,911,255.83,11086,5144,4556,0,5144,4556,868286,289607
43,59834,51431,8403,50544,28475,0.56337,3,96,156,3264,1,4,0,0,221.91,12.21,300,907,221.97,24343,5144,4556,0,5144,4556,907731,316632
44,60153,51796,8357,50260,33723,0.67097,2,90,116,480,1,1,0,0,255.97,12.41,292,906,255.97,1429,5144,4556,0,5144,4556,924436,322325
45,59992,51691,8301,49672,39508,0.79538,2,88,114,1728,1,2,0,0,255.97,12.55,286,904,255.97,1539,5144,4556,0,5144,4556,938179,323579
46,60199,51878,8321,49540,40735,0.82226,2,90,126,2944,1,2,0,0,255.97,11.46,263,902,255.97,948,5144,4556,0,5144,4556,959600,324977
47,60012,51522,8490,50941,42329,0.83094,3,98,140,3776,1,2,1,0,255.96,11.79,272,905,255.96,11111,5787,5111,0,5787,5111,972166,330395
48,60002,51408,8594,50768,26526,0.52249,3,94,148,3072,1,3,0,0,255.96,12.56,307,902,255.96,15714,5787,5111,0,5787,5111,1005029,351879
49,60285,51819,8466,50529,36241,0.71723,2,92,132,1888,1,2,0,0,237.04,12.89,335,900,237.06,5122,5787,5111,0,5787,5111,1026595,357317
50,60196,51746,8450,50053,40383,0.80680,2,96,148,3200,1,3,0,0,255.96,14.84,375,897,255.96,2255,5787,5111,0,5787,5111,1055126,359554
51,60025,51682,8343,49553,40855,0.82447,2,92,122,1984,1,2,0,0,239.96,14.18,390,895,239.97,5273,5787,5111,0,5787,5111,1070707,364713
52,59913,51467,8446,49908,41309,0.82770,2,88,116,288,1,1,1,0,255.97,14.73,406,895,255.97,1876,5787,5111,0,6430,5592,1084703,366321
53,59936,51700,8236,51673,42165,0.81600,3,104,156,3840,1,3,0,0,219.90,16.29,451,904,220.03,19568,6430,5718,0,6430,5718,1103643,379593
54,60140,51797,8343,50830,26723,0.52573,3,92,148,3008,1,3,0,0,246.43,18.65,469,901,246.43,10596,6430,5718,0,6430,5718,1136895,396687
55,60071,51642,8429,50099,36183,0.72223,2,90,116,1824,1,2,0,0,238.92,17.52,431,899,238.92,5912,6430,5718,0,6430,5718,1154122,403389
56,60081,51600,8481,49545,39622,0.79972,2,88,112,172,1,1,0,0,255.97,15.79,389,898,255.97,1408,6430,5718,0,6430,5718,1168166,404640
57,60111,51657,8454,49265,40470,0.82148,2,88,114,70,1,1,0,0,255.97,14.21,345,897,255.97,1283,6430,5718,0,6430,5718,1182707,406728
58,59751,51387,8364,51175,42830,0.83693,2,92,124,3776,1,2,1,0,255.97,13.79,309,896,255.97,2012,6430,5718,0,7073,6299,1194091,408691
59,60104,51711,8393,51140,30253,0.59157,3,106,168,3840,0,5,0,0,220.80,15.04,338,901,220.97,26356,7073,6305,0,7073,6305,1235462,435353
60,60582,52115,8467,50738,33261,0.65554,2,94,152,3264,1,3,0,0,249.68,17.12,358,898,249.71,10462,7073,6305,0,7073,6305,1269349,445565
61,59916,51518,8398,49662,39158,0.78849,2,88,112,136,1,1,0,0,255.96,14.92,350,891,255.96,1096,7073,6305,0,7073,6305,1283183,446771
62,60425,51851,8574,49630,40686,0.81979,2,88,124,3072,1,2,0,0,255.96,14.10,352,883,255.96,1341,7073,6305,0,7073,6305,1303675,448562
63,59644,51312,8332,49980,41646,0.83325,2,88,116,3200,1,2,1,0,250.85,12.97,325,876,250.90,2699,7073,6305,0,7716,6795,1316726,450595
64,60600,52188,8412,51822,31912,0.61580,3,106,168,3776,1,4,0,0,218.62,13.77,354,884,218.63,29401,7716,6852,0,7716,6852,1359015,480979
65,59735,51397,8338,50215,31463,0.62657,2,90,148,3136,1,3,0,0,254.71,14.83,378,881,254.72,5105,7716,6852,0,7716,6852,1387990,486000
66,60026,51541,8485,49948,39389,0.78860,2,100,164,3520,1,5,0,0,255.55,15.25,388,871,255.56,5158,7716,6852,0,7716,6852,1438862,491198
67,60356,51891,8465,49892,40754,0.81684,2,86,116,504,1,2,0,0,255.96,16.99,358,863,255.96,990,7716,6852,0,7716,6852,1453313,492337
68,59837,51398,8439,48907,40456,0.82720,2,86,110,96,1,1,0,0,255.96,12.88,303,862,255.96,1414,7716,6852,0,7716,6852,1467308,493487
69,60350,51813,8537,51827,41051,0.79208,3,100,156,3776,1,3,1,0,228.32,12.92,310,875,228.35,17510,8359,7408,0,8359,7408,1490326,511460
70,59842,51472,8370,50613,26306,0.51975,3,98,164,3648,1,5,0,0,221.94,13.91,333,870,221.95,19559,8359,7408,0,8359,7408,1540731,531248
71,60168,51878,8290,50500,37397,0.74053,2,86,118,1920,1,2,0,0,255.96,14.44,310,868,255.96,2554,8359,7408,0,8359,7408,1556573,533018
72,60194,51695,8499,49846,40453,0.81156,2,86,112,216,1,1,0,0,255.97,13.88,280,867,255.97,623,8359,7408,0,8359,7408,1570288,534315
73,59956,51527,8429,49297,40705,0.82571,2,86,112,224,1,1,0,0,255.96,13.04,258,866,255.96,654,8359,7408,0,8359,7408,1584218,535438
74,60201,51809,8392,50874,42523,0.83585,2,90,148,3648,1,3,1,0,255.97,13.24,249,864,255.97,2997,8359,7408,0,9002,7941,1612536,538421
75,60185,51679,8506,51369,38171,0.74307,3,104,160,4224,1,4,0,0,209.02,13.92,284,874,209.02,25931,9002,7998,0,9002,7998,1640663,562288
76,60066,51651,8415,50519,27614,0.54661,3,86,120,1728,1,2,0,0,255.97,13.97,286,872,255.97,1932,9002,7998,0,9002,7998,1658884,565606
77,60123,51813,8310,50167,39176,0.78091,2,92,144,3072,1,3,0,0,244.71,13.44,286,869,244.72,10165,9002,7998,0,9002,7998,1688098,571861
