t,type,level,bytes
-29.839,flush_begin,0,0
-29.829,flush_end,0,2686930
-29.818,flush_begin,0,0
-29.809,flush_end,0,2686931
-29.799,flush_begin,0,0
-29.789,flush_end,0,2686931
-29.779,flush_begin,0,0
-29.769,flush_end,0,2686931
-29.758,flush_begin,0,0
-29.749,flush_end,0,2686931
-29.738,flush_begin,0,0
-29.729,flush_end,0,2686930
-29.719,flush_begin,0,0
-29.709,flush_end,0,2686932
-29.699,flush_begin,0,0
-29.689,flush_end,0,2686930
-29.679,flush_begin,0,0
-29.669,flush_end,0,2686932
-29.659,flush_begin,0,0
-29.649,flush_end,0,2686930
-29.639,flush_begin,0,0
-29.629,flush_end,0,2686931
-29.619,flush_begin,0,0
-29.609,flush_end,0,2686931
-29.599,flush_begin,0,0
-29.589,flush_end,0,2686930
-29.579,flush_begin,0,0
-29.569,flush_end,0,2686932
-29.559,flush_begin,0,0
-29.549,flush_end,0,2686930
-29.538,flush_begin,0,0
-29.529,flush_end,0,2686931
-29.518,flush_begin,0,0
-29.509,flush_end,0,2686931
-29.498,flush_begin,0,0
-29.488,flush_end,0,2686931
-29.477,flush_begin,0,0
-29.468,flush_end,0,2686931
-29.457,flush_begin,0,0
-29.448,flush_end,0,2686931
-29.437,flush_begin,0,0
-29.428,flush_end,0,2686930
-29.418,flush_begin,0,0
-29.408,flush_end,0,2686933
-29.400,flush_begin,0,0
-29.388,flush_end,0,2686930
-29.378,flush_begin,0,0
-29.368,flush_end,0,2686932
-29.358,flush_begin,0,0
-29.348,flush_end,0,2686930
-29.338,flush_begin,0,0
-29.328,flush_end,0,2686930
-29.318,flush_begin,0,0
-29.308,flush_end,0,2686932
-29.297,flush_begin,0,0
-29.288,flush_end,0,2686930
-29.278,flush_begin,0,0
-29.268,flush_end,0,2686932
-29.258,flush_begin,0,0
-29.248,flush_end,0,2686930
-29.238,flush_begin,0,0
-29.229,flush_end,0,2686931
-29.219,flush_begin,0,0
-29.209,flush_end,0,2686931
-29.199,flush_begin,0,0
-29.189,flush_end,0,2686931
-29.179,flush_begin,0,0
-29.169,flush_end,0,2686931
-29.159,flush_begin,0,0
-29.149,flush_end,0,2686931
-29.139,flush_begin,0,0
-29.130,flush_end,0,2686930
-29.119,flush_begin,0,0
-29.110,flush_end,0,2686932
-29.100,flush_begin,0,0
-29.090,flush_end,0,2686930
-29.080,flush_begin,0,0
-29.070,flush_end,0,2686931
-29.060,flush_begin,0,0
-29.050,flush_end,0,2686931
-29.034,trivial_move,3,2686930
-29.033,flush_begin,0,0
-29.023,flush_end,0,2686930
-29.007,trivial_move,3,2686931
-29.006,flush_begin,0,0
-28.997,flush_end,0,2686932
-28.981,trivial_move,3,2686931
-28.980,flush_begin,0,0
-28.971,flush_end,0,2686930
-28.955,trivial_move,3,2686931
-28.954,flush_begin,0,0
-28.944,flush_end,0,2686933
-28.928,trivial_move,3,2686931
-28.927,flush_begin,0,0
-28.917,flush_end,0,2686930
-28.901,trivial_move,3,2686930
-28.899,flush_begin,0,0
