t,type,level,bytes
-29.934,flush_begin,0,0
-29.918,flush_end,0,2686930
-29.905,flush_begin,0,0
-29.891,flush_end,0,2686931
-29.879,flush_begin,0,0
-29.866,flush_end,0,2686931
-29.854,flush_begin,0,0
-29.842,flush_end,0,2686931
-29.830,flush_begin,0,0
-29.818,flush_end,0,2686931
-29.807,flush_begin,0,0
-29.796,flush_end,0,2686930
-29.786,flush_begin,0,0
-29.775,flush_end,0,2686932
-29.764,flush_begin,0,0
-29.754,flush_end,0,2686930
-29.743,flush_begin,0,0
-29.733,flush_end,0,2686932
-29.723,flush_begin,0,0
-29.712,flush_end,0,2686930
-29.702,flush_begin,0,0
-29.691,flush_end,0,2686931
-29.681,flush_begin,0,0
-29.670,flush_end,0,2686931
-29.659,flush_begin,0,0
-29.649,flush_end,0,2686930
-29.638,flush_begin,0,0
-29.628,flush_end,0,2686932
-29.618,flush_begin,0,0
-29.608,flush_end,0,2686930
-29.598,flush_begin,0,0
-29.588,flush_end,0,2686931
-29.577,flush_begin,0,0
-29.567,flush_end,0,2686931
-29.557,flush_begin,0,0
-29.547,flush_end,0,2686931
-29.536,flush_begin,0,0
-29.526,flush_end,0,2686931
-29.517,flush_begin,0,0
-29.506,flush_end,0,2686931
-29.496,flush_begin,0,0
-29.486,flush_end,0,2686930
-29.476,flush_begin,0,0
-29.465,flush_end,0,2686933
-29.454,flush_begin,0,0
-29.444,flush_end,0,2686930
-29.434,flush_begin,0,0
-29.424,flush_end,0,2686932
-29.414,flush_begin,0,0
-29.404,flush_end,0,2686930
-29.394,flush_begin,0,0
-29.384,flush_end,0,2686930
-29.374,flush_begin,0,0
-29.364,flush_end,0,2686932
-29.354,flush_begin,0,0
-29.345,flush_end,0,2686930
-29.335,flush_begin,0,0
-29.326,flush_end,0,2686932
-29.317,flush_begin,0,0
-29.307,flush_end,0,2686930
-29.297,flush_begin,0,0
-29.288,flush_end,0,2686931
-29.278,flush_begin,0,0
-29.269,flush_end,0,2686931
-29.259,flush_begin,0,0
-29.250,flush_end,0,2686931
-29.241,flush_begin,0,0
-29.231,flush_end,0,2686931
-29.222,flush_begin,0,0
-29.212,flush_end,0,2686931
-29.202,flush_begin,0,0
-29.193,flush_end,0,2686930
-29.183,flush_begin,0,0
-29.174,flush_end,0,2686932
-29.164,flush_begin,0,0
-29.155,flush_end,0,2686930
-29.145,flush_begin,0,0
-29.135,flush_end,0,2686931
-29.125,flush_begin,0,0
-29.116,flush_end,0,2686931
-29.100,trivial_move,3,2686930
-29.099,flush_begin,0,0
