t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59650,51353,8297,49521,39316,0.79393,3,12,23,3520,0,7,0,0,255.97,19.12,423,815,255.97,0,0,0,0,0,0,61717,3016
2,59979,51433,8546,49311,40295,0.81716,3,12,22,3520,1,6,0,0,255.96,22.85,450,801,255.96,0,0,0,0,0,0,123237,5661
3,59794,51569,8225,49929,40705,0.81526,3,16,28,3584,0,5,1,0,255.97,24.79,468,826,255.97,0,0,0,0,0,0,164334,8091
4,60153,51810,8343,51384,26267,0.51119,4,15,27,3520,1,5,0,0,255.98,15.41,396,821,255.98,0,0,0,0,0,0,223758,36172
5,60208,51796,8412,50708,35443,0.69896,3,12,23,3520,1,6,0,0,255.97,13.50,390,814,255.97,0,0,0,0,0,0,285166,39682
6,59896,51453,8443,49873,39517,0.79235,3,12,23,3520,1,6,0,0,255.98,16.93,414,807,255.97,0,0,0,0,0,0,346594,42103
7,59932,51660,8272,49543,40508,0.81763,3,12,22,3520,1,6,0,0,255.97,21.78,427,796,255.97,0,0,0,0,0,0,408609,44626
8,60237,51769,8468,49365,40836,0.82723,3,12,23,3520,1,7,0,0,255.96,23.50,440,783,255.96,0,0,0,0,0,0,469227,47714
9,59688,51236,8452,50881,37727,0.74148,4,17,30,3520,1,5,1,0,255.96,22.19,429,811,255.96,0,0,0,0,0,0,510289,67230
10,60169,51701,8468,50906,26321,0.51705,4,13,24,3776,1,6,0,0,255.96,12.96,373,800,255.96,0,0,0,0,0,0,569063,77822
11,59971,51659,8312,50306,38160,0.75856,3,13,24,3904,0,6,0,0,255.97,15.02,378,794,255.97,0,0,0,0,0,0,628393,81684
12,59915,51446,8469,49688,40163,0.80830,3,12,22,3776,1,5,0,0,255.97,18.70,391,789,255.97,0,0,0,0,0,0,689037,84250
13,60452,52011,8441,49859,40882,0.81995,3,12,23,3904,1,6,0,0,255.97,23.51,417,783,255.97,0,0,0,0,0,0,748817,86702
14,59876,51574,8302,50130,41285,0.82356,3,15,29,3776,1,5,1,0,255.97,23.34,407,779,255.97,0,0,0,0,0,0,792690,89541
15,59921,51472,8449,51140,28204,0.55151,4,15,26,3904,1,6,0,0,255.97,15.46,374,803,255.97,0,0,0,0,0,0,848989,118632
16,60004,51576,8428,50436,33685,0.66788,3,13,24,3584,1,6,0,0,255.96,12.81,369,797,255.96,0,0,0,0,0,0,908931,122409
17,59696,51291,8405,49657,39067,0.78674,3,12,23,3520,1,6,0,0,255.96,16.88,374,791,255.96,0,0,0,0,0,0,971010,125010
18,60277,51702,8575,49666,40493,0.81531,3,12,22,3392,1,6,0,0,255.97,19.81,379,785,255.97,0,0,0,0,0,0,1033159,128041
19,59970,51648,8322,49238,40559,0.82373,3,12,22,3456,1,6,0,0,255.96,22.13,395,773,255.96,0,0,0,0,0,0,1094604,130494
20,59821,51431,8390,51207,34889,0.68133,4,18,31,3520,1,5,1,0,255.97,18.65,385,799,255.97,0,0,0,0,0,0,1135393,156036
21,60443,51959,8484,50995,28367,0.55627,4,13,24,3520,1,6,0,0,255.97,10.90,335,793,255.97,0,0,0,0,0,0,1197405,163459
22,59526,51053,8473,49647,38166,0.76875,3,12,23,3584,1,6,0,0,255.97,14.25,363,787,255.97,0,0,0,0,0,0,1258516,165240
23,60076,51876,8200,50034,40580,0.81105,3,12,23,3520,1,6,0,0,255.97,18.57,389,781,255.97,0,0,0,0,0,0,1319783,167855
24,60155,51806,8349,49466,40718,0.82315,3,12,23,3520,1,6,0,0,255.97,22.60,407,775,255.97,0,0,0,0,0,0,1381596,170227
25,59843,51669,8174,50392,41319,0.81995,4,17,33,3520,1,5,1,0,255.97,24.48,418,801,255.97,0,0,0,0,0,0,1421988,176673
26,60227,51834,8393,51300,25086,0.48901,4,13,25,3520,1,6,0,0,255.97,15.90,398,794,255.97,0,0,0,0,0,0,1485176,203210
27,59794,51533,8261,50310,36121,0.71797,3,13,24,3584,1,6,0,0,255.97,14.14,396,788,255.97,0,0,0,0,0,0,1546901,205462
28,59891,51667,8224,50047,40008,0.79941,3,12,22,3392,1,6,0,0,255.97,20.14,422,782,255.97,0,0,0,0,0,0,1608432,207437
29,60292,51773,8519,49746,40849,0.82115,3,12,22,3520,1,6,0,0,255.97,23.30,446,771,255.97,0,0,0,0,0,0,1670337,210221
30,59840,51448,8392,48957,40466,0.82656,3,12,23,3456,1,6,0,0,255.97,26.79,458,765,255.97,0,0,0,0,0,0,1731823,213261
31,60147,51824,8323,51687,33723,0.65245,4,17,31,3584,1,5,1,0,255.96,20.56,423,792,255.96,0,0,0,0,0,0,1773193,241178
32,59987,51554,8433,50701,29665,0.58510,4,13,24,3456,1,6,0,0,255.97,11.04,356,786,255.97,0,0,0,0,0,0,1835182,245872
