t,type,level,bytes
-29.877,flush_begin,0,0
-29.867,flush_end,0,2686930
-29.858,flush_begin,0,0
-29.849,flush_end,0,2686931
-29.839,flush_begin,0,0
-29.829,flush_end,0,2686931
-29.820,flush_begin,0,0
-29.810,flush_end,0,2686931
-29.801,flush_begin,0,0
-29.791,flush_end,0,2686931
-29.782,flush_begin,0,0
-29.772,flush_end,0,2686930
-29.762,flush_begin,0,0
-29.752,flush_end,0,2686932
-29.743,flush_begin,0,0
-29.733,flush_end,0,2686930
-29.724,flush_begin,0,0
-29.714,flush_end,0,2686932
-29.704,flush_begin,0,0
-29.693,flush_end,0,2686930
-29.684,flush_begin,0,0
-29.674,flush_end,0,2686931
-29.664,flush_begin,0,0
-29.653,flush_end,0,2686931
-29.643,flush_begin,0,0
-29.633,flush_end,0,2686930
-29.624,flush_begin,0,0
-29.614,flush_end,0,2686932
-29.604,flush_begin,0,0
-29.593,flush_end,0,2686930
-29.584,flush_begin,0,0
-29.574,flush_end,0,2686931
-29.564,flush_begin,0,0
-29.555,flush_end,0,2686931
-29.545,flush_begin,0,0
-29.534,flush_end,0,2686931
-29.524,flush_begin,0,0
-29.514,flush_end,0,2686931
-29.504,flush_begin,0,0
-29.494,flush_end,0,2686931
-29.484,flush_begin,0,0
-29.473,flush_end,0,2686930
-29.463,flush_begin,0,0
-29.452,flush_end,0,2686933
-29.443,flush_begin,0,0
-29.433,flush_end,0,2686930
-29.424,flush_begin,0,0
-29.414,flush_end,0,2686932
-29.405,flush_begin,0,0
-29.395,flush_end,0,2686930
-29.386,flush_begin,0,0
-29.376,flush_end,0,2686930
-29.367,flush_begin,0,0
-29.357,flush_end,0,2686932
-29.348,flush_begin,0,0
-29.337,flush_end,0,2686930
-29.328,flush_begin,0,0
-29.318,flush_end,0,2686932
-29.309,flush_begin,0,0
-29.299,flush_end,0,2686930
-29.289,flush_begin,0,0
-29.279,flush_end,0,2686931
-29.270,flush_begin,0,0
-29.260,flush_end,0,2686931
-29.251,flush_begin,0,0
-29.241,flush_end,0,2686931
-29.232,flush_begin,0,0
-29.221,flush_end,0,2686931
-29.211,flush_begin,0,0
-29.201,flush_end,0,2686931
-29.192,flush_begin,0,0
-29.182,flush_end,0,2686930
-29.173,flush_begin,0,0
-29.163,flush_end,0,2686932
-29.154,flush_begin,0,0
-29.145,flush_end,0,2686930
-29.135,flush_begin,0,0
-29.126,flush_end,0,2686931
-29.117,flush_begin,0,0
-29.107,flush_end,0,2686931
-29.091,trivial_move,3,2686930
-29.091,flush_begin,0,0
-29.082,flush_end,0,2686930
-29.066,trivial_move,3,2686931
-29.066,flush_begin,0,0
-29.055,flush_end,0,2686932
-29.039,trivial_move,3,2686931
-29.039,flush_begin,0,0
-29.028,flush_end,0,2686930
-29.012,trivial_move,3,2686931
-29.011,flush_begin,0,0
-29.000,flush_end,0,2686933
-28.983,trivial_move,3,2686931
-28.983,flush_begin,0,0
-28.972,flush_end,0,2686930
-28.955,trivial_move,3,2686930
-28.954,flush_begin,0,0
-28.942,flush_end,0,2686931
-28.925,trivial_move,3,2686932
-28.924,flush_begin,0,0
-28.912,flush_end,0,2686931
-28.895,trivial_move,3,2686930
-28.894,flush_begin,0,0
-28.882,flush_end,0,2686931
-28.865,trivial_move,3,2686932
-28.864,flush_begin,0,0
-28.852,flush_end,0,2686931
-28.835,trivial_move,3,2686930
-28.833,flush_begin,0,0
-28.821,flush_end,0,2686930
-28.804,trivial_move,3,2686931
-28.802,flush_begin,0,0
-28.790,flush_end,0,2686930
-28.773,trivial_move,3,2686931
-28.771,flush_begin,0,0
-28.757,flush_end,0,2686931
-28.741,trivial_move,3,2686930
-28.739,flush_begin,0,0
-28.725,flush_end,0,2686931
-28.708,trivial_move,3,2686932
-28.706,flush_begin,0,0
-28.692,flush_end,0,2686931
-28.676,trivial_move,3,2686930
-28.675,flush_begin,0,0
-28.661,flush_end,0,2686931
-28.645,trivial_move,3,2686931
-28.643,flush_begin,0,0
-28.629,flush_end,0,2686930
-28.613,trivial_move,3,2686931
-28.611,flush_begin,0,0
-28.597,flush_end,0,2686932
-28.582,trivial_move,3,2686931
-28.581,flush_begin,0,0
-28.567,flush_end,0,2686930
-28.551,trivial_move,3,2686931
-28.549,flush_begin,0,0
-28.535,flush_end,0,2686932
-28.519,trivial_move,3,2686931
-28.517,flush_begin,0,0
-28.503,flush_end,0,2686930
-28.487,trivial_move,3,2686930
-28.486,flush_begin,0,0
-28.472,flush_end,0,2686931
-28.456,trivial_move,3,2686933
-28.454,flush_begin,0,0
-28.441,flush_end,0,2686931
-28.425,trivial_move,3,2686930
-28.423,flush_begin,0,0
-28.409,flush_end,0,2686930
-28.393,trivial_move,3,2686932
-28.392,flush_begin,0,0
-28.378,flush_end,0,2686932
