t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59838,51484,8354,49614,40149,0.80923,3,12,23,3456,1,6,0,0,245.78,23.71,375,837,245.79,343696,0,0,0,0,0,61123,7836
2,60370,51782,8588,49582,40726,0.82139,3,12,24,3584,1,7,0,0,253.22,24.46,356,818,253.22,5875,0,0,0,0,0,120793,13549
3,60150,51853,8297,50368,41807,0.83003,4,16,30,3648,1,5,1,0,254.37,22.51,331,845,254.40,13241,643,493,0,643,493,162221,17581
4,59970,51650,8320,51201,26684,0.52116,4,14,26,3520,1,5,0,0,242.01,20.79,337,840,242.03,20788,643,493,0,643,493,222517,47736
5,60474,51989,8485,50855,36129,0.71043,3,12,23,3456,1,6,0,0,241.24,23.75,336,829,241.25,10196,643,493,0,643,493,283327,58905
6,60078,51670,8408,50068,40051,0.79993,3,12,23,3520,1,6,0,0,255.97,21.24,319,811,255.97,4209,643,493,0,643,493,344452,63155
7,60039,51779,8260,49626,40767,0.82148,3,13,24,3520,1,6,0,0,254.13,23.34,343,805,254.13,7733,643,493,0,643,493,405210,70954
8,60602,52029,8573,49563,41140,0.83005,3,12,23,3520,1,6,0,0,249.96,23.44,331,799,249.97,6275,643,493,0,643,493,465777,77267
9,59746,51306,8440,51199,37897,0.74019,4,17,31,3520,1,5,1,0,242.05,22.45,307,826,242.07,25414,1286,1004,0,1286,1004,505905,99479
10,60105,51621,8484,50766,27202,0.53583,4,14,24,3456,1,6,0,0,226.18,22.01,304,820,226.19,14599,1286,1004,0,1286,1004,565407,117067
11,60280,51959,8321,50524,38939,0.77070,3,13,24,3520,1,6,0,0,244.57,22.27,296,808,244.58,6528,1286,1004,0,1286,1004,625844,123824
12,59885,51382,8503,49574,40383,0.81460,3,13,24,3392,1,6,0,0,252.62,24.32,303,802,252.63,5830,1286,1004,0,1286,1004,686653,129660
13,60334,51924,8410,49729,41068,0.82584,3,12,23,3584,1,6,0,0,253.17,24.49,297,789,253.18,5384,1286,1004,0,1286,1004,747778,135510
14,60081,51813,8268,50603,42226,0.83446,4,16,29,3520,1,5,1,0,255.96,21.57,264,815,255.97,14523,1929,1502,0,1929,1502,787052,143037
15,59768,51282,8486,50818,26040,0.51242,4,13,24,3520,1,6,0,0,194.34,18.17,258,809,194.35,25067,1929,1502,0,1929,1502,848231,175038
16,60361,51934,8427,50712,36040,0.71068,3,12,23,3456,1,6,0,0,232.46,18.84,257,803,232.46,5491,1929,1502,0,1929,1502,909306,180149
17,59818,51348,8470,49628,39915,0.80428,3,12,23,3456,1,6,0,0,246.87,20.40,273,797,246.88,5444,1929,1502,0,1929,1502,969983,185948
18,60051,51541,8510,49483,40823,0.82499,4,14,25,3520,1,6,0,0,254.56,23.27,302,790,254.57,5525,1929,1502,0,1929,1502,1029581,192013
19,60468,52048,8420,49699,41328,0.83157,3,14,24,3456,1,6,1,0,252.28,22.90,317,785,252.29,7183,1929,1502,0,2572,1652,1088494,199276
20,59874,51478,8396,51381,37239,0.72476,4,17,31,3584,1,5,0,0,224.23,21.55,306,805,224.25,26374,2572,2017,0,2572,2017,1129667,218695
21,60087,51690,8397,50756,29283,0.57694,3,12,23,3456,1,6,0,0,225.07,21.26,293,799,225.09,13015,2572,2017,0,2572,2017,1191428,238339
22,60251,51669,8582,50207,37426,0.74543,3,12,23,3520,1,6,0,0,254.44,18.19,301,793,254.45,4929,2572,2017,0,2572,2017,1251862,243842
23,59949,51733,8216,49820,40317,0.80925,3,12,24,3520,1,6,0,0,253.74,15.80,293,781,253.74,3907,2572,2017,0,2572,2017,1312449,247679
24,60116,51783,8333,49399,40860,0.82714,3,12,24,3584,1,6,0,0,249.35,18.20,317,775,249.35,6253,2572,2017,0,2572,2017,1372592,253953
25,59626,51477,8149,50522,42001,0.83134,4,16,29,3648,0,5,1,0,241.49,18.92,306,801,215.39,12919,3215,2500,0,3215,2500,1412070,267390
26,60280,51877,8403,51228,24863,0.48534,4,13,24,3456,0,6,0,0,232.54,19.42,300,796,232.54,22198,3215,2500,0,3215,2500,1474036,289732
27,60691,52364,8327,51047,38018,0.74476,3,12,23,3456,1,6,0,0,236.06,20.08,317,789,236.08,12347,3215,2500,0,3215,2500,1535849,301230
28,59910,51653,8257,49985,40407,0.80838,3,12,23,3456,1,6,0,0,246.30,24.07,335,783,246.30,7156,3215,2500,0,3215,2500,1597540,308251
29,59951,51473,8478,49411,40750,0.82472,3,12,23,3456,1,6,0,0,254.62,24.14,312,771,254.63,3055,3215,2500,0,3215,2500,1658478,312348
30,60522,52002,8520,49677,41171,0.82877,3,12,23,3584,1,6,1,0,252.22,24.42,305,766,252.22,8073,3215,2500,0,3858,2697,1717155,319933
31,59739,51508,8231,51451,32540,0.63245,4,17,32,3520,0,5,0,0,196.38,23.19,261,792,196.58,29421,3858,2974,0,3858,2974,1759115,350220
32,60443,51922,8521,51000,31567,0.61896,3,12,23,3520,1,6,0,0,236.48,18.64,242,786,236.49,9015,3858,2974,0,3858,2974,1819573,359343
33,60336,51673,8663,50235,39476,0.78583,3,12,23,3392,1,6,0,0,255.49,18.21,249,780,255.50,5926,3858,2974,0,3858,2974,1881198,364277
