t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40055,36049,4006,36550,32057,0.87707,4,8,16,28,0,0,0,0,0,0,0,0,0
2,40059,36053,4006,36434,34117,0.93641,4,8,16,30,0,0,0,0,0,0,0,0,0
3,40040,36036,4004,36294,33520,0.92357,4,8,15,27,0,0,0,0,0,0,0,0,0
4,40115,36105,4010,36083,32151,0.89103,4,8,15,24,0,0,0,0,0,0,0,0,0
5,40057,36050,4007,36029,32842,0.91154,4,8,16,22,0,0,0,0,0,0,0,0,0
6,40089,36080,4009,36020,31674,0.87934,4,8,18,29,0,0,0,0,0,0,0,0,0
7,40027,36024,4003,35916,32013,0.89133,4,8,17,22,0,0,0,0,0,0,0,0,0
8,40083,36075,4008,35919,31350,0.87280,4,8,16,38,0,0,0,0,0,0,0,0,0
9,40003,36003,4000,35719,30633,0.85761,4,9,18,31,0,0,0,0,0,0,0,0,0
10,40003,36002,4001,35713,30823,0.86308,4,9,16,24,0,0,0,0,0,0,0,0,0
11,40010,36009,4001,35692,29476,0.82584,4,10,16,28,0,0,0,0,0,0,0,0,0
12,40074,36067,4007,35730,29303,0.82012,4,10,16,42,0,0,0,0,0,0,0,0,0
13,40007,36006,4001,35534,30528,0.85912,4,9,16,51,0,0,0,0,0,0,0,0,0
14,40067,36061,4006,36558,31129,0.85150,4,8,15,45,0,0,6,0,0,0,0,0,0
15,40066,36060,4006,36885,30456,0.82570,4,9,17,68,0,0,0,0,0,0,0,0,0
16,40095,36084,4011,36884,30776,0.83440,3,8,16,41,0,0,0,0,0,0,0,0,0
17,40085,36077,4008,36736,30718,0.83618,4,8,16,24,0,0,0,0,0,0,0,0,0
18,40085,36076,4009,36758,31335,0.85247,4,8,17,31,0,0,0,0,0,0,0,0,0
19,39998,35999,3999,36581,30408,0.83125,4,9,18,36,0,0,0,0,0,0,0,0,0
20,40061,36054,4007,36707,29189,0.79519,4,8,17,27,0,0,0,0,0,0,0,0,0
21,40056,36051,4005,36732,31163,0.84839,4,8,17,20,0,0,0,0,0,0,0,0,0
22,40107,36096,4011,36658,31660,0.86366,4,9,17,43,0,0,0,0,0,0,0,0,0
23,40085,36077,4008,36610,29875,0.81603,4,10,17,33,0,0,0,0,0,0,0,0,0
24,40111,36100,4011,36538,27952,0.76501,4,12,18,38,0,0,0,0,0,0,0,0,0
25,40062,36055,4007,36351,27000,0.74276,4,12,18,43,0,0,0,0,0,0,0,0,0
26,40098,36089,4009,36380,27461,0.75484,4,11,17,34,0,0,0,0,0,0,0,0,0
27,40004,36004,4000,36140,27994,0.77460,4,10,17,34,0,0,0,0,0,0,0,0,0
28,40065,36058,4007,42756,31872,0.74544,4,8,15,2432,0,24,6,0,0,0,0,0,0
29,40012,36011,4001,36065,30338,0.84120,4,8,17,32,0,0,0,0,0,0,0,0,0
30,40075,36067,4008,36083,30670,0.84998,4,9,16,21,0,0,0,0,0,0,0,0,0
31,40076,36068,4008,35988,30603,0.85037,3,10,16,29,0,0,0,0,0,0,0,0,0
32,40084,36076,4008,35987,30797,0.85578,4,9,16,31,0,0,0,0,0,0,0,0,0
33,40069,36062,4007,35775,31451,0.87913,3,8,15,26,0,0,0,0,0,0,0,0,0
34,40039,36035,4004,35586,30750,0.86410,4,8,16,38,0,0,0,0,0,0,0,0,0
35,40102,36091,4011,35654,31134,0.87323,4,9,16,34,0,0,0,0,0,0,0,0,0
36,40150,36136,4014,35553,30599,0.86066,4,9,16,33,0,0,0,0,0,0,0,0,0
37,40086,36077,4009,35368,31188,0.88181,4,8,16,24,0,0,0,0,0,0,0,0,0
38,39995,35996,3999,35098,30978,0.88261,4,9,16,32,0,0,0,0,0,0,0,0,0
39,40174,36157,4017,35299,29385,0.83246,4,10,16,31,0,0,0,0,0,0,0,0,0
40,40007,36006,4001,35302,27733,0.78559,4,9,16,33,0,0,0,0,0,0,0,0,0
41,40101,36091,4010,35466,27777,0.78320,4,10,17,35,0,0,0,0,0,0,0,0,0
42,40206,36187,4019,35601,27986,0.78610,4,11,18,49,0,0,0,0,0,0,0,0,0
43,40011,36008,4003,36563,28597,0.78213,4,9,16,42,0,0,6,0,0,0,0,0,0
44,40064,36058,4006,36505,27875,0.76359,4,11,16,31,0,0,0,0,0,0,0,0,0
45,40004,36004,4000,36377,30862,0.84839,4,9,16,44,0,0,0,0,0,0,0,0,0
46,40090,36080,4010,36333,30963,0.85220,4,9,16,36,0,0,0,0,0,0,0,0,0
47,40122,36110,4012,36402,29533,0.81130,4,9,17,35,0,0,0,0,0,0,0,0,0
48,40078,36070,4008,36385,28999,0.79700,4,9,16,36,0,0,0,0,0,0,0,0,0
49,40184,36166,4018,36492,29130,0.79826,4,10,17,34,0,0,0,0,0,0,0,0,0
50,40062,36056,4006,36318,28813,0.79335,4,11,17,33,0,0,0,0,0,0,0,0,0
51,40035,36031,4004,36204,29792,0.82289,4,8,15,21,0,0,0,0,0,0,0,0,0
52,40096,36087,4009,36189,30038,0.83003,4,9,16,25,0,0,0,0,0,0,0,0,0
53,40005,36004,4001,36010,31461,0.87367,4,10,16,31,0,0,0,0,0,0,0,0,0
54,40076,36068,4008,35990,32324,0.89814,4,8,15,24,0,0,0,0,0,0,0,0,0
55,40156,36141,4015,35962,31671,0.88068,4,10,16,28,0,0,0,0,0,0,0,0,0
56,40196,36176,4020,35944,32164,0.89484,4,10,15,33,0,0,0,0,0,0,0,0,0
57,40110,36099,4011,36364,32443,0.89217,4,8,15,52,0,0,6,0,0,0,0,0,0
58,40086,36077,4009,36882,31990,0.86736,4,10,16,36,0,0,0,0,0,0,0,0,0
59,40081,36074,4007,36809,30922,0.84007,4,9,15,29,0,0,0,0,0,0,0,0,0
60,40106,36095,4011,36752,29146,0.79305,4,8,14,21,0,0,0,0,0,0,0,0,0
61,40176,36158,4018,36841,30961,0.84040,4,8,15,35,0,0,0,0,0,0,0,0,0
62,40121,36109,4012,36741,29405,0.80033,4,9,16,28,0,0,0,0,0,0,0,0,0
63,39992,35993,3999,36578,28611,0.78219,4,11,17,38,0,0,0,0,0,0,0,0,0
64,40012,36010,4002,36692,27843,0.75883,5,10,18,26,0,0,0,0,0,0,0,0,0
65,40078,36071,4007,36680,28451,0.77565,5,11,17,38,0,0,0,0,0,0,0,0,0
66,40103,36093,4010,36570,28928,0.79103,4,9,16,47,0,0,0,0,0,0,0,0,0
67,40036,36033,4003,36358,29870,0.82155,4,9,16,26,0,0,0,0,0,0,0,0,0
68,40102,36091,4011,36481,29992,0.82213,4,10,17,31,0,0,0,0,0,0,0,0,0
69,40108,36097,4011,36368,31211,0.85820,4,8,16,28,0,0,0,0,0,0,0,0,0
70,40102,36092,4010,36394,31090,0.85426,4,9,16,26,0,0,0,0,0,0,0,0,0
71,40151,36135,4016,36705,29573,0.80569,4,10,17,54,0,0,6,0,0,0,0,0,0
72,40192,36174,4018,37362,29096,0.77876,4,10,16,29,0,0,0,0,0,0,0,0,0
73,40084,36075,4009,37169,29161,0.78455,4,11,17,28,0,0,0,0,0,0,0,0,0
74,40142,36128,4014,37110,30091,0.81086,4,10,16,28,0,0,0,0,0,0,0,0,0
75,40055,36049,4006,36952,31101,0.84166,4,10,17,37,0,0,0,0,0,0,0,0,0
76,40081,36074,4007,36980,30981,0.83778,4,9,16,30,0,0,0,0,0,0,0,0,0
77,40104,36093,4011,36982,32321,0.87397,4,9,16,29,0,0,0,0,0,0,0,0,0
78,40106,36096,4010,36906,31521,0.85409,4,10,16,27,0,0,0,0,0,0,0,0,0
79,40113,36101,4012,36911,31853,0.86297,4,9,16,26,0,0,0,0,0,0,0,0,0
80,40119,36107,4012,36872,30185,0.81864,4,11,17,37,0,0,0,0,0,0,0,0,0
81,40197,36177,4020,36936,30714,0.83155,4,9,17,29,0,0,0,0,0,0,0,0,0
82,40002,36003,3999,36523,31403,0.85981,4,11,17,32,0,0,0,0,0,0,0,0,0
