t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59988,51056,8932,52109,52109,1.00000,13,20,26,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550899,1550899
2,60633,51443,9190,52596,52596,1.00000,14,20,24,62,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,1555996,1555996
3,60124,51231,8893,51760,51760,1.00000,9,16,20,57,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
4,60471,51530,8941,51918,51918,1.00000,12,18,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
5,59999,50865,9134,51170,51170,1.00000,13,18,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
6,60107,51182,8925,51476,51476,1.00000,11,18,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
7,60118,51101,9017,51352,51352,1.00000,12,18,22,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
8,60013,50961,9052,51109,51109,1.00000,13,19,23,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
9,60483,51320,9163,51421,51421,1.00000,13,19,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565319,1565319
10,60146,51118,9028,51270,51270,1.00000,12,19,22,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
11,60619,51649,8970,52558,52558,1.00000,12,18,22,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
12,60366,51145,9221,52025,52025,1.00000,13,19,23,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
13,60001,51055,8946,51921,51921,1.00000,12,19,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
14,60026,51120,8906,51858,51858,1.00000,13,19,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565319,1565319
15,60021,50988,9033,51692,51692,1.00000,13,19,23,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
16,60102,50986,9116,51633,51633,1.00000,14,20,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
17,60066,51048,9018,51670,51670,1.00000,12,19,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
18,60471,51321,9150,51992,51992,1.00000,13,20,23,64,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
19,60008,51043,8965,52476,52476,1.00000,12,18,22,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
20,60036,51024,9012,52378,52378,1.00000,14,20,24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
21,60002,51015,8987,52306,52306,1.00000,13,19,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
22,60012,51079,8933,52332,52332,1.00000,13,20,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
23,60205,51426,8779,52664,52664,1.00000,14,20,24,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
24,60251,51180,9071,52314,52314,1.00000,14,20,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
25,60261,51386,8875,52540,52540,1.00000,13,19,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
26,60449,51423,9026,52572,52572,1.00000,12,19,24,55,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
27,60142,51230,8912,53101,53101,1.00000,13,19,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
28,60154,51192,8962,53036,53036,1.00000,14,20,24,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565317,1565317
29,60096,51017,9079,52791,52791,1.00000,12,19,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565321,1565321
30,60454,51370,9084,53082,53082,1.00000,14,21,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
31,60042,51104,8938,52808,52808,1.00000,8,16,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565320,1565320
32,60149,51092,9057,52782,52782,1.00000,14,21,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565318,1565318
33,60409,51187,9222,52670,52670,1.00000,15,21,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565322,1565322
34,60149,51053,9096,52591,52591,1.00000,13,20,24,55,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0,1573591,1573591
35,60610,51590,9020,52192,52192,1.00000,7,16,20,62,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1593895,1593895
36,60227,51255,8972,51629,51629,1.00000,13,18,22,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593890,1593890
37,60074,50958,9116,51267,51267,1.00000,13,18,22,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593894,1593894
38,60263,51288,8975,51534,51534,1.00000,11,18,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593894,1593894
39,60430,51363,9067,51579,51579,1.00000,13,19,22,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593890,1593890
40,60036,51003,9033,51147,51147,1.00000,13,19,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593894,1593894
41,60290,51114,9176,51244,51244,1.00000,14,20,24,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593896,1593896
