t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60182,23947,36235,16950,16336,0.96378,10,19,26,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,540908,508160
2,60021,23824,36197,15533,14950,0.96247,10,20,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540908,508160
3,60133,23968,36165,16890,13724,0.81255,5,15,20,50,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,572106,528248
4,59997,24059,35938,15304,12649,0.82652,12,22,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572106,528247
5,60134,23955,36179,16746,15002,0.89586,9,19,27,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572107,528248
6,60018,23903,36115,15544,14182,0.91238,12,21,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572106,528247
7,60027,24229,35798,17243,16103,0.93389,8,19,26,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572104,528245
8,60304,24045,36259,15750,14806,0.94006,11,20,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572107,528248
9,60244,24223,36021,17170,16301,0.94939,10,20,27,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572107,528248
10,60043,24011,36032,15736,15013,0.95405,12,21,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572106,528247
11,60294,24160,36134,17133,13660,0.79729,5,15,21,49,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,609032,550508
12,59996,23963,36033,15268,12332,0.80770,12,23,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609032,550508
13,60269,24057,36212,16847,14767,0.87654,9,21,28,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,609031,550507
14,60221,24031,36190,15622,14064,0.90027,10,20,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609031,550507
15,60383,24252,36131,17192,15908,0.92531,8,19,27,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,609032,550508
16,60160,24084,36076,15670,14524,0.92687,11,20,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609032,550508
