t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60399,24056,36343,17218,17134,0.99512,3,7,12,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8261869,7777320
2,60604,24040,36564,15370,15370,1.00000,8,19,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8261869,7777320
3,60149,23952,36197,16957,16609,0.97948,3,7,13,58,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,9169234,8654193
4,60123,24033,36090,15034,15034,1.00000,6,17,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9169232,8654191
5,60401,24203,36198,17010,16947,0.99630,3,7,12,38,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9610811,9093391
6,60130,23980,36150,15370,15370,1.00000,8,17,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9610811,9093391
7,60599,24354,36245,17221,17154,0.99611,3,7,12,34,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10058826,9539034
8,60606,24244,36362,15697,15697,1.00000,7,15,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10058826,9539034
9,60016,24088,35928,17203,17114,0.99483,3,7,11,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10513019,9990927
10,60006,23996,36010,15501,15501,1.00000,8,19,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10513019,9990927
11,60484,24226,36258,17135,16729,0.97631,3,7,12,60,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,11437578,10879644
12,60025,23958,36067,15071,15071,1.00000,5,15,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11437578,10879644
13,60536,24169,36367,17110,17056,0.99684,3,6,11,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11884538,11324231
14,60129,24034,36095,15342,15342,1.00000,8,17,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11884538,11324231
15,60594,24286,36308,17379,17275,0.99402,3,7,12,33,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12337920,11775293
16,60128,24078,36050,15418,15418,1.00000,7,15,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12337919,11775292
17,60135,24169,35966,17314,17232,0.99526,3,7,12,34,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12797746,12232764
18,60608,24314,36294,15733,15733,1.00000,8,19,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12797746,12232764
19,60580,24402,36178,17325,16915,0.97633,3,9,15,57,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,13705911,13099814
20,60128,23966,36162,15013,15013,1.00000,5,16,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13738589,13132492
21,60416,24018,36398,16864,16798,0.99609,3,8,14,38,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14190530,13582061
22,60135,23909,36226,15268,15268,1.00000,7,16,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14190530,13582061
23,60021,24038,35983,17107,17012,0.99445,3,8,14,38,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14649102,14038307
24,60126,24002,36124,15542,15542,1.00000,7,15,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14649102,14038307
25,60544,24108,36436,17375,17285,0.99482,3,9,16,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15114113,14500980
26,60614,24445,36169,15712,15712,1.00000,7,18,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15114113,14500980
27,60185,24208,35977,17110,16637,0.97236,3,9,15,61,0,164,9,0,0,0,0,0,0,0,0,0,0,0,0,16015107,15355974
28,60602,24299,36303,15301,15301,1.00000,5,15,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16070396,15411263
29,60300,23830,36470,16866,16801,0.99615,3,8,13,35,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16527375,15865874
30,60614,24246,36368,15409,15409,1.00000,7,18,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16527375,15865874
31,60506,24423,36083,17309,17220,0.99486,3,8,15,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16990798,16326942
32,60123,23894,36229,15407,15407,1.00000,6,12,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16990798,16326942
33,60491,24232,36259,17324,17229,0.99452,3,9,14,35,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17460763,16794570
34,60132,23934,36198,15501,15501,1.00000,7,19,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17460763,16794570
35,60331,24190,36141,17069,16550,0.96959,3,10,17,57,0,183,9,0,0,0,0,0,0,0,0,0,0,0,0,18336645,17619699
36,60272,23959,36313,15138,15138,1.00000,4,10,14,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432074,17715128
37,60378,24198,36180,17182,17124,0.99662,3,6,11,38,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18893891,18174571
38,60610,24413,36197,15583,15583,1.00000,8,18,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18893894,18174574
39,60073,23932,36141,16938,16847,0.99463,3,10,16,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19362142,18640483
40,60132,23964,36168,15475,15475,1.00000,7,17,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19362142,18640483
41,60093,24037,36056,17201,17120,0.99529,3,10,17,43,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19836802,19112811
42,60614,24273,36341,15791,15791,1.00000,7,18,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19836801,19112810
43,60063,23929,36134,17014,16475,0.96832,3,12,18,63,0,200,9,0,0,0,0,0,0,0,0,0,0,0,0,20698340,19919060
44,60609,24325,36284,15456,15456,1.00000,4,15,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20822253,20042973
45,60013,23967,36046,16790,16721,0.99589,3,10,16,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21288616,20506972
46,60145,23850,36295,15243,15243,1.00000,6,16,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21288616,20506972
47,60060,24091,35969,17091,17007,0.99509,3,8,12,33,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21761370,20977414
48,60131,24013,36118,15492,15492,1.00000,7,19,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21761370,20977414
49,60272,24052,36220,17097,17006,0.99468,3,10,16,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22240544,21454258
50,60128,24014,36114,15569,15569,1.00000,7,18,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22240544,21454258
51,60002,24071,35931,16924,16324,0.96455,3,12,17,61,0,217,9,0,0,0,0,0,0,0,0,0,0,0,0,23080498,22235041
52,60002,23955,36047,15095,15095,1.00000,4,12,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23239660,22393711
53,60087,23874,36213,16699,16615,0.99497,3,10,15,37,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23710436,22862123
54,60133,23983,36150,15301,15301,1.00000,6,17,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23710436,22862123
55,60197,23947,36250,16888,16808,0.99526,3,10,13,35,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24187643,23336977
56,60611,24264,36347,15665,15665,1.00000,6,17,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24187643,23336977
57,60441,23964,36477,17083,16998,0.99502,3,13,18,43,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24671155,23818159
58,60130,24212,35918,15843,15843,1.00000,6,17,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24671154,23818158
59,60600,24200,36400,16972,16399,0.96624,3,14,19,61,0,234,9,0,0,0,0,0,0,0,0,0,0,0,0,25467220,24551685
60,60126,24162,35964,15347,15346,0.99993,4,14,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25683615,24766577
61,60033,24033,36000,16880,16810,0.99585,3,12,18,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26158627,25239243
62,60243,24125,36118,15770,15770,1.00000,6,17,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26158627,25239243
63,60312,24151,36161,17012,16912,0.99412,3,9,12,33,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26639971,25718246
