t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60143,23912,36231,17136,12170,0.71020,11,27,34,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,541691,307752
2,60613,24103,36510,15461,11197,0.72421,10,26,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541691,307752
3,60359,24075,36284,17155,9990,0.58234,6,18,26,54,0,104,9,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
4,60443,24067,36376,15120,9633,0.63710,12,26,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
5,60322,24129,36193,17169,11556,0.67307,11,26,32,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
6,60426,24108,36318,15381,10844,0.70503,11,26,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
7,60027,24156,35871,17231,12131,0.70402,11,26,34,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572755,322400
8,60017,23930,36087,15455,11404,0.73788,12,27,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
9,60603,24448,36155,17555,12768,0.72731,10,26,34,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,572755,322399
10,60159,23994,36165,15538,11698,0.75286,12,28,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572756,322400
11,60204,24194,36010,17154,10053,0.58604,5,18,28,53,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,609582,339405
12,60385,24146,36239,15150,9816,0.64792,11,26,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609583,339406
13,60018,23942,36076,16931,11487,0.67846,10,25,31,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,609582,339405
14,60578,24105,36473,15417,11075,0.71836,12,27,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609583,339406
15,60037,24101,35936,17394,12641,0.72674,10,24,32,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,609583,339406
16,60184,24129,36055,15497,11546,0.74505,12,28,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609583,339406
17,60030,24119,35911,17398,12947,0.74417,11,26,34,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,609582,339405
18,60343,24271,36072,15803,12077,0.76422,9,25,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609583,339406
19,60613,24398,36215,17494,10556,0.60341,5,15,22,53,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,651851,358225
20,60596,24022,36574,15094,9725,0.64430,9,23,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651851,358225
21,60046,24034,36012,16985,11706,0.68920,10,25,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,651851,358225
22,60046,23756,36290,15203,10950,0.72025,12,28,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651851,358225
23,60274,24236,36038,17425,12735,0.73085,11,26,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,651850,358224
24,60013,23857,36156,15409,11593,0.75235,12,27,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651850,358224
25,60110,24027,36083,17372,13019,0.74942,10,24,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,651850,358224
26,60329,24262,36067,15775,12229,0.77521,9,23,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651850,358225
27,60014,24189,35825,17196,10584,0.61549,5,14,21,78,0,164,9,0,0,0,0,0,0,0,0,0,0,0,0,699279,378756
28,60146,24091,36055,15267,9730,0.63732,7,20,29,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699282,378759
29,60282,23940,36342,16951,11631,0.68615,9,23,30,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699279,378756
30,60034,24003,36031,15357,11150,0.72605,12,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699280,378757
31,60281,24174,36107,17199,12687,0.73766,11,26,33,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699282,378759
32,60013,24029,35984,15496,11792,0.76097,12,27,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699281,378758
33,60007,23921,36086,17078,12896,0.75512,11,26,34,70,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699281,378758
34,60015,24011,36004,15666,12155,0.77588,10,25,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699282,378759
35,60008,23997,36011,17003,10550,0.62048,5,16,24,46,0,183,9,0,0,0,0,0,0,0,0,0,0,0,0,751675,400761
36,60017,23851,36166,15182,9511,0.62647,10,23,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751675,400761
37,60059,24029,36030,16941,11739,0.69293,11,26,33,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,751676,400762
38,60012,24063,35949,15447,11259,0.72888,12,26,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751676,400762
39,60017,24054,35963,17063,12482,0.73152,11,25,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,751676,400762
40,60407,24073,36334,15635,12047,0.77051,12,27,34,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751675,400762
41,60055,24006,36049,17163,13111,0.76391,11,24,31,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,751675,400761
42,60360,24128,36232,15895,12444,0.78289,11,25,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751676,400762
43,60615,24185,36430,17230,10918,0.63366,5,16,26,49,0,200,9,0,0,0,0,0,0,0,0,0,0,0,0,808787,424247
44,60383,24211,36172,15538,9758,0.62801,9,21,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808787,424247
45,60251,24040,36211,16945,11652,0.68764,9,22,29,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,808787,424247
46,60403,23921,36482,15380,11213,0.72906,12,26,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808787,424247
47,60099,24081,36018,17129,12633,0.73752,11,25,32,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,808786,424247
48,60175,24101,36074,15612,11963,0.76627,12,27,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808785,424245
49,60237,24061,36176,17164,13084,0.76229,10,23,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,808786,424246
50,60035,23975,36060,15649,12239,0.78209,12,27,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808785,424245
51,60227,24117,36110,17013,10657,0.62640,5,15,24,56,0,217,9,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
52,60126,24090,36036,15313,9600,0.62692,5,17,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
53,60175,23836,36339,16867,11535,0.68388,9,22,29,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,870377,448773
54,60131,23976,36155,15263,11042,0.72345,10,25,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
55,60168,24069,36099,17060,12535,0.73476,11,25,32,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
56,60054,23892,36162,15246,11737,0.76984,12,27,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
57,60026,23893,36133,17187,13099,0.76215,11,25,32,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,870376,448772
58,60095,24165,35930,15848,12486,0.78786,12,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870378,448774
59,60305,24179,36126,17079,10916,0.63915,5,15,24,48,0,233,9,0,0,0,0,0,0,0,0,0,0,0,0,936398,474699
60,60043,23978,36065,15196,9409,0.61918,10,24,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936398,474699
61,60178,24112,36066,16857,11455,0.67954,9,23,30,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,936399,474700
62,60149,24115,36034,15851,11396,0.71895,11,26,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936398,474699
63,60114,24182,35932,17130,12682,0.74034,10,24,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,936399,474700
64,60142,24007,36135,15580,12013,0.77105,11,24,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936399,474700
65,60314,24084,36230,17087,13072,0.76503,10,24,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,936399,474700
66,60023,23988,36035,15544,12191,0.78429,13,27,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936398,474699
67,60335,24113,36222,17036,10946,0.64252,5,15,24,46,0,249,9,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
68,60276,24207,36069,15444,9383,0.60755,11,25,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
69,60579,24228,36351,17035,11558,0.67849,10,23,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
70,60612,24063,36549,15521,11143,0.71793,12,27,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
71,60105,23982,36123,16994,12498,0.73544,10,24,32,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
72,60024,23783,36241,15375,11780,0.76618,11,24,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006659,501644
73,60403,23874,36529,17053,13038,0.76456,11,25,32,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
74,60291,24085,36206,15762,12479,0.79171,12,26,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006661,501645
75,60605,24347,36258,17324,10747,0.62035,4,16,25,60,0,349,9,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
76,60599,24469,36130,15614,8530,0.54630,9,21,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120127,551852
77,60068,23900,36168,16750,10627,0.63445,9,23,29,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
78,60257,24089,36168,15473,10549,0.68177,12,26,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120127,551852
79,60042,24032,36010,17023,12070,0.70904,11,25,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
80,60613,24086,36527,15684,11700,0.74598,10,23,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
81,60604,24195,36409,17225,12938,0.75112,9,21,29,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
82,60026,23962,36064,15610,12070,0.77322,12,26,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120128,551853
83,60311,23906,36405,17021,12072,0.70924,5,16,26,47,0,227,9,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
84,60322,24323,35999,15545,11307,0.72737,9,22,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
85,60018,23764,36254,16682,12414,0.74416,11,24,31,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
86,60288,24368,35920,15792,12345,0.78172,8,22,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
87,60503,24083,36420,17187,13295,0.77355,11,24,32,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
88,60008,24052,35956,15480,12321,0.79593,12,25,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
89,60433,24194,36239,17347,13604,0.78423,10,23,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
90,60479,24109,36370,15823,12837,0.81129,12,26,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181387,567082
91,60310,23988,36322,16997,12179,0.71654,5,16,25,48,0,250,9,0,0,0,0,0,0,0,0,0,0,0,0,1250059,586701
92,60047,23888,36159,15319,10929,0.71343,11,24,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250061,586702
93,60018,24213,35805,17026,12803,0.75197,11,23,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1250060,586701
94,60576,24301,36275,15768,12319,0.78127,12,25,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250061,586702
95,60606,24145,36461,17114,13296,0.77691,9,20,28,50,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1250061,586702
96,60037,23923,36114,15549,12478,0.80250,12,26,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250061,586702
97,60264,24115,36149,17109,13579,0.79368,11,24,33,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1250058,586699
98,60024,23925,36099,15740,12906,0.81995,12,25,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250061,586702
99,60597,23906,36691,17006,11487,0.67547,4,17,27,60,0,411,9,0,0,0,0,0,0,0,0,0,0,0,0,1377279,644867
100,60615,24044,36571,15436,7440,0.48199,8,22,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377279,644867
101,60249,24098,36151,16756,9909,0.59137,10,25,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1377278,644867
102,60023,24026,35997,15492,10242,0.66112,12,26,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377278,644867
103,60342,24220,36122,17028,11601,0.68129,9,22,30,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1377277,644865
104,60020,23914,36106,15447,11099,0.71852,12,26,33,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377279,644867
105,60358,24308,36050,17295,12483,0.72177,11,26,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1377279,644867
106,60490,24114,36376,15777,11881,0.75306,12,26,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377279,644867
107,60417,23991,36426,16987,11751,0.69176,5,18,27,56,0,237,9,0,0,0,0,0,0,0,0,0,0,0,0,1441029,658309
108,60257,24310,35947,15584,11311,0.72581,9,20,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441029,658309
109,60150,23991,36159,16889,12635,0.74812,10,24,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1441029,658309
110,60085,23868,36217,15350,11855,0.77231,11,24,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441027,658307
111,60304,24108,36196,17102,13123,0.76734,11,24,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1441028,658308
112,60047,23878,36169,15480,12270,0.79264,13,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441029,658309
113,60030,24060,35970,17194,13490,0.78458,11,25,34,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1441028,658308
114,60213,24188,36025,15813,12760,0.80693,13,26,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441029,658309
115,60594,24144,36450,17027,12434,0.73025,4,18,28,60,0,472,9,0,0,0,0,0,0,0,0,0,0,0,0,1582987,729872
116,60149,24114,36035,15472,10005,0.64665,6,18,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582987,729872
117,60269,24181,36088,16917,11651,0.68872,10,24,34,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1582986,729871
118,60036,24073,35963,15659,11211,0.71595,11,26,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582985,729870
119,60545,24072,36473,17040,12293,0.72142,9,21,31,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1582987,729872
120,60599,24153,36446,16007,11908,0.74392,12,27,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582987,729872
121,60423,24179,36244,17162,12629,0.73587,11,25,34,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1582987,729872
122,60279,24042,36237,15872,12044,0.75882,13,27,36,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582986,729871
123,60370,24060,36310,17059,11125,0.65215,4,13,156,51,0,222,9,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
124,60120,23918,36202,15311,10173,0.66442,8,24,192,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
125,60041,24190,35851,16920,11830,0.69917,10,25,188,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
126,60141,23972,36169,15608,11509,0.73738,11,26,196,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
127,60616,24481,36135,17244,12566,0.72872,10,25,188,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1644505,746964
128,60038,23972,36066,15641,11649,0.74477,11,26,188,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
129,60086,24049,36037,17101,12814,0.74931,8,24,144,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1644505,746964
130,60226,24032,36194,15687,11889,0.75789,11,27,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644506,746965
131,60601,24214,36387,17263,11412,0.66107,4,20,164,62,0,242,9,0,0,0,0,0,0,0,0,0,0,0,0,1711746,766609
132,60633,24234,36399,15374,9763,0.63503,8,24,192,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711746,766609
