t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60002,23973,36029,16925,13649,0.80644,8,24,31,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,537963,368590
2,60233,24210,36023,15861,12666,0.79856,12,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537965,368591
3,59770,23910,35860,16663,13553,0.81336,5,18,28,55,0,104,9,0,0,0,0,0,0,0,0,0,0,0,0,569062,399688
4,59996,23938,36058,15246,12161,0.79765,11,26,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569063,399689
5,59996,24000,35996,16716,13703,0.81975,8,23,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569061,399688
6,60547,24317,36230,15639,12529,0.80114,9,24,31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569062,399688
7,59534,23966,35568,16910,14009,0.82844,7,19,28,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569062,399689
8,59953,24073,35880,15734,12946,0.82280,12,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569063,399689
9,59975,23902,36073,16852,14081,0.83557,7,21,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569063,399689
10,60212,23942,36270,15792,13010,0.82383,12,26,33,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569063,399689
11,60047,24020,36027,16807,14102,0.83906,5,18,30,72,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,605855,436481
12,59964,24105,35859,15456,12846,0.83113,9,22,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605856,436482
13,60084,24323,35761,16780,14244,0.84887,9,23,31,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,605853,436479
14,59919,24000,35919,15551,13034,0.83815,12,25,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605856,436482
15,60369,24199,36170,16794,14335,0.85358,5,19,31,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,605856,436482
16,59997,24036,35961,15688,13323,0.84925,8,20,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605856,436482
17,59390,23862,35528,16709,14339,0.85816,7,19,29,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,605853,436479
18,60306,24009,36297,15995,13574,0.84864,11,25,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605856,436482
