t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60512,24338,36174,17302,17302,1.00000,10,19,23,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,539962,539962
2,60029,23950,36079,15664,15664,1.00000,6,15,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539962,539962
3,60006,24082,35924,16946,16946,1.00000,4,11,15,53,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,571113,571113
4,59421,23925,35496,15518,15518,1.00000,11,18,21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571112,571112
5,60451,23976,36475,16599,16599,1.00000,10,18,22,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571111,571111
6,59819,23882,35937,15581,15581,1.00000,11,18,22,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571113,571113
7,59728,23930,35798,16770,16770,1.00000,9,18,21,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571110,571110
8,60266,23950,36316,15720,15720,1.00000,10,18,22,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571113,571113
9,60306,24102,36204,16940,16940,1.00000,10,19,23,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571113,571113
10,60004,23994,36010,15687,15687,1.00000,8,18,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571113,571113
11,59681,23829,35852,16703,16703,1.00000,4,16,21,59,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,608010,608010
12,59811,24081,35730,15647,15647,1.00000,8,17,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608011,608011
13,59930,23812,36118,16339,16339,1.00000,10,18,21,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608012,608012
14,60150,23917,36233,15769,15769,1.00000,12,19,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608012,608012
15,60270,24121,36149,16781,16781,1.00000,10,19,23,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608009,608009
16,59830,24001,35829,15833,15833,1.00000,10,18,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608011,608011
17,59813,23931,35882,16707,16707,1.00000,8,18,22,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608012,608012
18,59921,23993,35928,15998,15998,1.00000,9,18,22,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608012,608012
19,60592,24375,36217,16983,16983,1.00000,4,16,21,55,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,650326,650326
20,60006,23776,36230,15464,15464,1.00000,7,18,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650325,650325
21,59404,23851,35553,16294,16294,1.00000,9,17,20,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650323,650323
22,60370,24247,36123,15982,15982,1.00000,11,19,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650326,650326
23,59641,23898,35743,16623,16623,1.00000,9,18,21,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650326,650326
24,59978,23975,36003,16068,16068,1.00000,10,18,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650325,650325
25,60110,24224,35886,16847,16847,1.00000,10,19,23,74,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650325,650325
