t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59637,23939,35698,17062,11982,0.70226,11,27,35,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,540001,306523
2,59960,23974,35986,15759,11399,0.72333,9,23,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540002,306524
3,60203,24135,36068,16893,10399,0.61558,5,20,30,58,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,571159,321388
4,59826,24144,35682,15644,9808,0.62695,10,24,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571158,321387
5,59985,23781,36204,16517,11026,0.66755,10,25,32,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571158,321388
6,60384,24107,36277,15716,10999,0.69986,8,23,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571159,321388
7,59990,24044,35946,16872,11914,0.70614,9,22,30,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571158,321387
8,60114,23868,36246,15628,11374,0.72780,12,27,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571159,321388
9,59517,23837,35680,16771,12120,0.72268,11,26,34,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571157,321386
10,60546,24101,36445,15775,11723,0.74314,12,27,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571159,321388
11,59621,23880,35741,16736,10443,0.62398,5,17,29,54,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,608030,338197
12,59861,24091,35770,15645,9877,0.63132,10,24,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608028,338196
13,59968,23792,36176,16350,10976,0.67131,8,21,29,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608029,338197
14,59986,23876,36110,15640,11147,0.71272,11,27,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608030,338197
15,60206,24156,36050,16711,12026,0.71965,10,24,32,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608030,338197
16,59882,24041,35841,15881,11824,0.74454,12,27,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608029,338196
17,59912,23869,36043,16577,12137,0.73216,11,26,34,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608027,338194
18,60038,24056,35982,16073,12269,0.76333,12,27,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608030,338197
19,60559,24292,36267,16940,11087,0.65449,5,23,33,72,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,650373,356934
20,59402,23583,35819,15365,9517,0.61939,10,24,30,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650373,356934
21,60597,24351,36246,16651,11316,0.67960,8,20,27,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650373,356934
22,59455,23864,35591,15760,11283,0.71593,12,27,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650373,356934
23,60154,24157,35997,16758,12166,0.72598,10,26,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650372,356933
24,60153,24030,36123,16118,11974,0.74290,12,27,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650373,356934
25,59924,24187,35737,16844,12573,0.74644,9,24,32,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,650371,356934
26,59726,24045,35681,16084,12423,0.77238,12,27,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650372,356934
27,60364,24363,36001,16869,11609,0.68819,5,20,31,66,0,165,9,0,0,0,0,0,0,0,0,0,0,0,0,697890,377422
28,60235,23976,36259,15810,9530,0.60278,10,24,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697891,377423
29,59431,23904,35527,16266,10870,0.66827,11,26,33,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,697891,377423
30,60014,23942,36072,15960,11500,0.72055,9,23,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697890,377422
31,60545,24317,36228,16705,12224,0.73176,9,24,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,697891,377423
32,59506,23920,35586,16051,12176,0.75858,10,25,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697891,377423
33,60498,24111,36387,16621,12466,0.75002,8,22,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,697891,377423
34,59490,23736,35754,15958,12349,0.77384,12,27,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697888,377422
35,60513,24214,36299,16722,11933,0.71361,5,23,32,70,0,183,9,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
36,60003,24052,35951,15850,9308,0.58726,9,23,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
37,59389,23843,35546,16137,10673,0.66140,10,25,32,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,750365,399546
38,60261,24175,36086,16073,11628,0.72345,12,26,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
39,60246,24228,36018,16741,12227,0.73036,11,25,33,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,750365,399546
40,59507,23665,35842,15959,12123,0.75963,9,25,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
41,60595,24236,36359,16703,12630,0.75615,8,20,28,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
42,59921,24154,35767,16284,12642,0.77634,12,27,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750366,399547
43,60080,23779,36301,16486,12342,0.74864,6,25,34,64,0,200,9,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
44,59995,23851,36144,15787,8898,0.56363,8,21,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
45,59862,23666,36196,15957,10470,0.65614,8,25,32,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
46,59671,23854,35817,15946,11369,0.71297,11,25,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807513,422938
47,59878,23884,35994,16325,11908,0.72943,9,25,33,63,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,807514,422938
48,60016,23978,36038,16156,12327,0.76300,11,26,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
49,60348,24123,36225,16364,12333,0.75367,10,25,34,62,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
50,60133,24121,36012,16558,12887,0.77829,7,20,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807515,422939
51,59609,23689,35920,16155,12575,0.77840,6,22,31,51,0,216,9,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
52,60488,24269,36219,16193,8790,0.54283,7,21,28,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
53,59531,23990,35541,16230,10748,0.66223,9,24,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
54,60121,24070,36051,16308,11630,0.71315,12,27,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
55,59755,23927,35828,16150,11636,0.72050,10,25,32,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,869272,447590
56,60094,24148,35946,16580,12664,0.76381,12,26,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
57,60389,24056,36333,16370,12438,0.75980,9,23,31,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,869272,447589
58,59590,23797,35793,16465,12948,0.78640,10,24,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869273,447590
59,60258,24026,36232,16330,12861,0.78757,7,24,32,53,0,159,9,0,0,0,0,0,0,0,0,0,0,0,0,916233,471326
60,60248,24102,36146,16316,9233,0.56589,6,15,21,44,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,935440,473488
61,59591,23938,35653,15703,10104,0.64344,8,22,29,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,935439,473487
62,59820,23792,36028,16130,11352,0.70378,12,26,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935440,473488
63,60002,24081,35921,16126,11673,0.72386,11,25,32,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,935438,473486
64,60018,23918,36100,16429,12414,0.75562,12,26,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935440,473488
65,59977,23953,36024,16114,12243,0.75977,10,25,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,935440,473488
66,60131,23924,36207,16506,12979,0.78632,11,25,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935440,473488
67,59898,24027,35871,15972,12540,0.78512,8,25,34,55,0,122,9,0,0,0,0,0,0,0,0,0,0,0,0,972907,495553
68,60130,23889,36241,16271,9369,0.57581,5,17,25,48,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1005849,500389
69,60340,24181,36159,15940,10152,0.63689,9,22,30,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1005849,500389
70,59757,24096,35661,16458,11545,0.70148,10,23,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005848,500389
71,59742,23979,35763,15845,11447,0.72244,10,24,32,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1005847,500387
72,60008,24085,35923,16761,12688,0.75700,12,26,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005849,500389
73,60381,23905,36476,16042,12192,0.76000,11,24,32,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1005848,500388
74,59990,23654,36336,16540,13006,0.78634,12,25,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005848,500388
75,60215,24218,35997,16180,12707,0.78535,8,24,34,56,0,110,9,0,0,0,0,0,0,0,0,0,0,0,0,1039910,521783
76,60005,23972,36033,16565,8773,0.52961,4,14,19,50,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,1119447,550378
77,59589,23785,35804,15420,8959,0.58100,9,22,29,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1119447,550378
