t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60123,23955,36168,17308,12192,0.70441,10,25,33,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,543438,309308
2,60101,24047,36054,15600,11328,0.72615,12,27,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543437,309307
3,60251,24246,36005,17129,9920,0.57913,5,19,28,56,0,104,9,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
4,60028,24118,35910,15333,9802,0.63927,12,27,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
5,60435,24131,36304,17197,11744,0.68291,4,13,20,63,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574490,324063
6,60396,24104,36292,15493,11078,0.71503,6,19,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
7,60017,24031,35986,17201,12209,0.70978,4,11,16,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
8,60034,24052,35982,15579,11397,0.73156,10,25,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
9,60302,24247,36055,17494,12777,0.73036,11,26,34,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574490,324062
10,60008,23868,36140,15545,11548,0.74288,7,16,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574491,324063
11,60373,24076,36297,16957,10041,0.59214,5,14,20,82,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,611334,341000
12,60278,24109,36169,15367,9945,0.64717,7,15,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611333,340999
13,60127,23882,36245,16853,11581,0.68718,4,12,17,76,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611334,341000
14,60613,24085,36528,15591,11127,0.71368,6,14,19,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611334,341000
15,60034,23975,36059,17115,12337,0.72083,7,15,19,37,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611334,341000
16,60009,24177,35832,15487,11522,0.74398,7,15,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611332,340999
17,60354,24128,36226,17162,12701,0.74007,7,15,19,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611333,341000
18,60364,24246,36118,15825,12081,0.76341,7,15,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611334,341000
19,60023,24029,35994,17175,10346,0.60239,5,13,18,59,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,653560,359656
