t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60447,24000,36447,17206,16589,0.96414,8,18,25,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,541999,509188
2,60507,24077,36430,15547,14984,0.96379,7,18,25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541999,509188
3,60537,24128,36409,17072,13621,0.79786,5,13,19,58,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,573199,529306
4,60318,24121,36197,15269,12736,0.83411,10,21,28,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573197,529304
5,60489,24071,36418,16951,15272,0.90095,10,19,27,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573199,529306
6,60242,24109,36133,15475,14107,0.91160,10,19,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573199,529306
7,60163,24228,35935,17259,16143,0.93534,10,19,27,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573198,529306
8,60444,24076,36368,15608,14692,0.94131,11,20,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573198,529305
9,60016,24187,35829,17318,16464,0.95069,9,18,24,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573197,529304
10,60470,24168,36302,15805,15064,0.95312,6,17,23,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573199,529306
11,60142,24153,35989,16985,13384,0.78799,5,15,21,56,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,610165,551674
12,60610,24035,36575,15215,12372,0.81314,8,19,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610165,551674
13,60015,23968,36047,16908,14865,0.87917,10,20,28,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610164,551673
14,60027,24017,36010,15562,14010,0.90027,12,22,30,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610163,551672
15,60453,24384,36069,17254,15941,0.92390,10,20,27,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610164,551673
16,60064,24026,36038,15587,14460,0.92770,11,21,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610165,551674
17,60267,24089,36178,17254,16279,0.94349,9,19,27,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610165,551674
18,60615,24429,36186,15967,15055,0.94288,11,21,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610165,551674
19,60594,24379,36215,17383,13681,0.78703,5,13,18,46,0,146,9,0,0,0,0,0,0,0,0,0,0,0,0,652543,575776
20,60365,23982,36383,15232,11895,0.78092,11,23,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652543,575776
21,60017,23900,36117,16663,14362,0.86191,7,17,23,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,652543,575776
22,60051,23849,36202,15419,13520,0.87684,12,22,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652542,575776
