t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60589,24052,36537,17359,12324,0.70995,9,26,34,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,542765,308807
2,60087,23851,36236,15279,11140,0.72911,5,17,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542764,308806
3,60305,24049,36256,17115,9961,0.58200,5,19,27,57,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,573895,323441
4,60016,23921,36095,15051,9573,0.63604,10,24,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573897,323443
5,60464,24226,36238,17193,11599,0.67464,6,19,27,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573898,323444
6,60584,24165,36419,15507,10986,0.70845,5,13,18,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573897,323443
7,60514,24279,36235,17304,12244,0.70758,6,21,30,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573898,323444
8,60603,24261,36342,15743,11580,0.73557,7,24,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573897,323444
9,60012,24113,35899,17270,12560,0.72727,8,23,31,66,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573898,323444
10,60253,24086,36167,15553,11735,0.75452,12,28,36,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573898,323444
11,60532,24242,36290,17187,10069,0.58585,5,16,23,53,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,610757,340460
12,60598,24216,36382,15366,9985,0.64981,9,24,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610758,340460
13,60433,24162,36271,17163,11708,0.68217,10,25,32,62,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610757,340459
14,60303,24107,36196,15416,11080,0.71873,6,20,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610758,340460
15,60607,24246,36361,17530,12726,0.72596,4,10,16,68,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610758,340460
16,60602,24338,36264,15554,11607,0.74624,9,22,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610758,340460
17,60546,24292,36254,17510,13044,0.74495,7,20,29,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610756,340458
18,60266,24179,36087,15703,12011,0.76489,12,28,36,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610757,340459
19,60101,24194,35907,17386,10356,0.59565,5,18,26,66,0,145,9,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
20,60513,24143,36370,15123,9834,0.65027,9,23,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
21,60020,23812,36208,16854,11571,0.68654,10,26,33,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
22,60394,24013,36381,15365,11116,0.72346,9,22,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653061,359234
23,60031,24007,36024,17207,12537,0.72860,11,26,33,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,653061,359234
24,60481,24138,36343,15566,11699,0.75157,11,26,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
25,60299,23987,36312,17353,13066,0.75295,8,22,31,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
26,60030,24293,35737,15712,12214,0.77737,11,25,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653062,359235
27,60001,24152,35849,17122,10351,0.60454,5,17,24,74,0,164,9,0,0,0,0,0,0,0,0,0,0,0,0,700543,379794
28,60051,24068,35983,15234,9769,0.64126,12,27,33,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700544,379795
29,60275,23876,36399,16945,11771,0.69466,10,25,33,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,700544,379795
30,60096,24046,36050,15295,11054,0.72272,9,23,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700543,379794
31,60277,24227,36050,17246,12738,0.73861,11,25,32,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,700542,379793
32,60022,23888,36134,15488,11729,0.75730,12,26,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700544,379795
33,60004,23960,36044,17124,13011,0.75981,10,25,33,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,700544,379795
34,60398,24158,36240,15619,12151,0.77796,5,16,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700542,379793
35,60066,24032,36034,17202,10560,0.61388,5,16,24,60,0,183,9,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
36,60563,24109,36454,15289,9714,0.63536,12,26,32,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752991,401795
37,60417,24133,36284,17050,11845,0.69472,9,23,31,74,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
38,60523,24404,36119,15703,11342,0.72228,5,20,28,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
39,60592,24179,36413,17367,12849,0.73985,7,22,30,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
40,60301,23993,36308,15446,11932,0.77250,8,22,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
41,60606,24308,36298,17662,13552,0.76730,5,16,24,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,752991,401795
42,60224,24121,36103,15771,12389,0.78556,12,27,35,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752992,401796
43,60113,24001,36112,17000,10523,0.61900,5,16,25,56,0,200,9,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
44,60015,23953,36062,15352,9796,0.63809,4,14,21,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
45,60022,24034,35988,16850,11620,0.68961,8,21,28,66,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
46,60612,24007,36605,15351,11074,0.72139,4,12,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
47,60605,24290,36315,17281,12741,0.73728,6,17,25,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
48,60111,24084,36027,15666,12017,0.76708,11,26,34,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810157,425256
49,60613,24132,36481,17410,13304,0.76416,6,21,31,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
50,60440,24241,36199,15796,12433,0.78710,12,27,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810158,425257
51,60538,24188,36350,17116,10516,0.61440,5,16,25,59,0,217,9,0,0,0,0,0,0,0,0,0,0,0,0,871822,449858
52,60091,23918,36173,15084,9566,0.63418,11,24,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
53,60202,24112,36090,17154,11805,0.68818,5,16,25,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
54,60607,24063,36544,15338,11097,0.72350,8,21,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
55,60261,23983,36278,16953,12460,0.73497,10,25,34,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
56,60251,24125,36126,15605,12025,0.77059,6,18,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
57,60028,23841,36187,17068,12989,0.76101,10,23,31,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
58,60620,24345,36275,15793,12481,0.79029,8,21,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871823,449859
59,60331,24146,36185,17187,10723,0.62390,5,16,23,70,0,234,9,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
60,60032,24021,36011,15231,9545,0.62668,12,25,32,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937899,475860
61,60160,24110,36050,17081,11573,0.67754,5,17,25,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
62,60597,24274,36323,15778,11564,0.73292,7,20,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
63,60205,24117,36088,17196,12765,0.74232,9,22,30,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,937897,475858
64,60614,24271,36343,15723,12194,0.77555,6,17,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
65,60212,24056,36156,17310,13236,0.76464,4,11,19,136,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
66,60603,24151,36452,15634,12337,0.78911,4,15,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937900,475861
67,60015,24185,35830,16950,10656,0.62867,4,14,23,80,0,250,9,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
68,60347,24141,36206,15421,9518,0.61721,4,10,17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
69,60606,24208,36398,17287,11852,0.68560,4,11,16,448,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
70,60318,23928,36390,15366,11077,0.72088,4,13,18,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
71,60490,24062,36428,17140,12633,0.73705,4,15,24,70,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
72,60613,24032,36581,15526,11948,0.76955,6,14,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
73,60309,24004,36305,17263,13288,0.76974,8,20,30,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1008244,502803
74,60371,24084,36287,15757,12469,0.79133,12,26,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008242,502801
75,60333,24362,35971,17345,10232,0.58991,4,15,24,70,0,349,9,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
76,60171,24145,36026,15393,8679,0.56383,7,20,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
77,60330,23931,36399,16811,10819,0.64357,9,23,30,62,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
78,60602,24330,36272,15622,10737,0.68730,5,20,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
79,60596,24232,36364,17350,12345,0.71153,7,19,27,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
80,60471,23907,36564,15518,11631,0.74952,7,22,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
81,60363,24216,36147,17429,13106,0.75197,4,13,20,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1121789,552965
82,60404,24142,36262,15734,12233,0.77749,11,24,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121788,552965
83,60021,23905,36116,16961,11909,0.70214,5,14,20,54,0,227,9,0,0,0,0,0,0,0,0,0,0,0,0,1183102,568189
84,60174,23998,36176,15268,11181,0.73232,12,26,33,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183103,568189
85,60609,24174,36435,17178,12867,0.74904,6,19,27,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1183104,568190
86,60386,24350,36036,15686,12284,0.78312,5,14,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183102,568188
87,60602,24143,36459,17402,13516,0.77669,4,10,16,76,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1183104,568190
88,60601,24332,36269,15646,12510,0.79957,8,21,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183103,568189
89,60583,24241,36342,17477,13749,0.78669,4,12,20,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1183104,568190
90,59997,23949,36048,15646,12728,0.81350,9,24,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183104,568190
91,60074,23773,36301,16975,11781,0.69402,4,10,17,84,0,250,9,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
92,60602,24151,36451,15279,11194,0.73264,6,16,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
93,60203,24244,35959,17179,12958,0.75429,5,19,28,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
94,59629,23957,35672,15481,12122,0.78302,4,10,16,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
95,61118,24380,36738,17274,13435,0.77776,4,11,17,296,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
96,60396,24027,36369,15494,12484,0.80573,5,14,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
97,60264,24090,36174,17268,13786,0.79836,9,21,29,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1251802,587671
98,60030,23912,36118,15629,12833,0.82110,12,26,34,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251801,587670
99,60271,23834,36437,17113,10207,0.59645,4,12,20,88,0,411,9,0,0,0,0,0,0,0,0,0,0,0,0,1379050,645774
100,60616,23929,36687,15127,7846,0.51868,10,25,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379051,645775
101,60019,24201,35818,17049,10391,0.60948,6,21,28,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1379050,645774
102,59995,23965,36030,15307,10207,0.66682,12,26,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379050,645774
103,60026,24067,35959,17098,11847,0.69289,10,25,33,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1379051,645775
104,60049,23975,36074,15406,11077,0.71901,11,27,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379050,645774
105,60283,24141,36142,17291,12564,0.72662,8,21,30,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1379051,645775
106,60205,24043,36162,15628,11851,0.75832,11,25,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379051,645775
107,60025,23984,36041,16962,11638,0.68612,5,16,23,52,0,238,9,0,0,0,0,0,0,0,0,0,0,0,0,1442849,659277
108,60430,24225,36205,15480,11433,0.73857,12,26,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
109,60479,24197,36282,17154,12810,0.74676,7,18,26,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
110,60619,24023,36596,15401,12031,0.78118,11,24,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
111,60373,24127,36246,17233,13203,0.76615,9,22,31,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
112,60091,23886,36205,15426,12286,0.79645,11,25,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442846,659275
113,60620,24410,36210,17413,13620,0.78217,10,24,33,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
114,60602,24157,36445,15773,12757,0.80879,10,24,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442851,659279
115,60060,24063,35997,17026,11866,0.69693,4,14,22,64,0,472,9,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
116,60607,24269,36338,15506,10275,0.66265,7,19,26,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
117,60005,24226,35779,16964,11695,0.68940,10,23,30,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
118,60240,24019,36221,15511,11167,0.71994,12,26,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
119,60423,23957,36466,17125,12332,0.72012,11,25,33,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
120,60021,24036,35985,15666,11678,0.74544,11,25,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584879,730854
121,60443,24141,36302,17250,12794,0.74168,10,23,31,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1584879,730854
122,60021,24001,36020,15692,11918,0.75950,11,26,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584880,730854
123,60501,24148,36353,17143,10997,0.64149,4,13,21,59,0,222,9,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
124,60602,24179,36423,15527,10464,0.67392,9,24,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
125,60150,24049,36101,16982,11968,0.70475,10,24,29,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
126,60008,24068,35940,15528,11474,0.73892,5,18,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
127,60030,24188,35842,17005,12431,0.73102,10,24,31,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
128,60028,23861,36167,15443,11528,0.74649,12,27,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646489,748083
129,60270,24171,36099,17199,12870,0.74830,10,23,30,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1646489,748084
130,60267,23946,36321,15612,11906,0.76262,11,26,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646490,748084
131,60059,24010,36049,16931,10967,0.64775,5,15,23,62,0,243,9,0,0,0,0,0,0,0,0,0,0,0,0,1713831,767734
132,60188,24025,36163,15323,9834,0.64178,12,26,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713832,767735
133,60103,23934,36169,16785,11576,0.68966,11,25,31,72,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1713831,767734
134,60607,24252,36355,15715,11283,0.71798,12,27,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713830,767733
135,60605,24658,35947,17441,12674,0.72668,9,23,30,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1713832,767735
136,60190,24104,36086,15650,11915,0.76134,12,26,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713831,767734
137,60037,24207,35830,17110,12743,0.74477,9,22,30,61,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1713832,767735
138,60167,24156,36011,15891,12123,0.76288,4,10,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713832,767735
139,60172,23835,36337,16988,10036,0.59077,4,9,15,61,0,392,9,0,0,0,0,0,0,0,0,0,0,0,0,1833968,822395
140,60617,24232,36385,15470,7192,0.46490,9,24,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833970,822396
141,60016,23986,36030,17038,9575,0.56198,5,19,27,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1833970,822396
142,60044,23828,36216,15528,9630,0.62017,11,25,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833970,822396
143,60009,23981,36028,16778,10787,0.64293,11,25,31,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1833969,822396
144,60459,23994,36465,15669,10648,0.67956,12,27,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833968,822395
145,60243,24094,36149,17065,11735,0.68766,11,25,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1833970,822396
146,60315,24093,36222,15846,11336,0.71539,10,25,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833967,822393
147,60015,24075,35940,16976,11126,0.65540,5,17,25,58,0,238,9,0,0,0,0,0,0,0,0,0,0,0,0,1897868,835125
148,60046,24149,35897,15523,10553,0.67983,12,26,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897869,835126
149,60021,23769,36252,16678,11638,0.69781,9,23,30,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1897868,835126
150,60343,24433,35910,15851,11621,0.73314,10,24,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897868,835125
151,60408,23980,36428,16927,12302,0.72677,11,26,32,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1897869,835126
152,60599,23843,36756,15507,11567,0.74592,10,25,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897869,835126
153,60130,24069,36061,17044,12798,0.75088,6,19,28,50,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1897869,835126
154,60504,24352,36152,16074,12278,0.76384,11,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897869,835126
155,60604,24135,36469,16953,10819,0.63818,4,15,24,63,0,459,9,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
156,60610,24080,36530,15413,6353,0.41218,9,24,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
157,60578,24129,36449,16832,9044,0.53731,10,23,28,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
158,60615,24101,36514,15532,9064,0.58357,11,25,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
159,60592,24181,36411,16964,10568,0.62297,10,24,30,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
160,60057,23829,36228,15406,10069,0.65358,13,28,33,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036417,898032
161,60613,24317,36296,17353,11587,0.66772,6,16,22,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
162,60605,24370,36235,16022,11217,0.70010,7,19,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036419,898034
163,60055,23883,36172,16946,11042,0.65160,5,18,27,70,0,231,9,0,0,0,0,0,0,0,0,0,0,0,0,2098199,908962
164,60013,23633,36380,15211,10327,0.67892,12,25,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098199,908961
165,60606,24179,36427,16995,11852,0.69738,5,16,24,64,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2098200,908962
166,60603,24077,36526,15533,11245,0.72394,7,20,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098200,908962
167,60457,24286,36171,17228,12495,0.72527,9,23,29,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2098199,908961
168,60534,24103,36431,15656,11762,0.75128,6,22,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098198,908960
169,60167,23909,36258,17020,12637,0.74248,9,21,28,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2098199,908961
170,60028,23896,36132,15646,11981,0.76575,11,26,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098199,908962
171,60137,23822,36315,16888,11449,0.67794,4,17,27,51,0,255,9,0,0,0,0,0,0,0,0,0,0,0,0,2167833,924315
172,60305,24054,36251,15473,10740,0.69411,11,25,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167832,924314
173,60411,24079,36332,16718,12046,0.72054,10,24,30,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2167832,924314
174,60013,23990,36023,15527,11702,0.75365,12,27,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167833,924315
175,60084,23982,36102,16924,12710,0.75100,11,25,31,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2167832,924315
176,60395,24240,36155,15868,12296,0.77489,6,20,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167833,924315
177,60212,24136,36076,17184,13133,0.76426,8,23,30,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2167831,924314
178,60119,24107,36012,15731,12273,0.78018,13,27,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167833,924315
179,60604,24335,36269,17289,11635,0.67297,4,17,27,64,0,553,9,0,0,0,0,0,0,0,0,0,0,0,0,2331760,1004864
180,60616,24542,36074,15739,5833,0.37061,8,23,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331759,1004863
181,60113,24034,36079,16740,8447,0.50460,11,25,30,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2331759,1004864
182,60118,24058,36060,15556,8611,0.55355,12,26,31,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331759,1004864
183,60014,23953,36061,16832,9981,0.59298,11,25,30,53,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2331760,1004864
184,60119,23958,36161,15511,9774,0.63013,10,26,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331760,1004864
185,60110,24153,35957,17249,11110,0.64410,11,25,31,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2331759,1004863
