t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60375,24028,36347,17009,13738,0.80769,7,21,30,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,538868,369752
2,60033,23816,36217,15407,12200,0.79185,11,26,33,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538867,369752
3,60010,23986,36024,16827,13616,0.80918,4,15,24,52,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
4,60450,24152,36298,15243,12189,0.79965,9,23,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569994,400878
5,60019,23955,36064,16713,13656,0.81709,7,20,30,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569995,400879
6,60020,23940,36080,15412,12501,0.81112,10,24,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
7,60094,24133,35961,16978,14081,0.82937,7,21,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
8,60006,23989,36017,15679,12855,0.81989,11,25,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
9,60088,24210,35878,17047,14300,0.83886,7,18,26,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
10,60005,23991,36014,15711,13098,0.83368,10,24,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569996,400880
11,60022,24069,35953,16841,14048,0.83415,4,15,24,52,0,125,9,0,0,0,0,0,0,0,0,0,0,0,0,606852,437736
12,60498,24083,36415,15250,12673,0.83102,10,23,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606852,437736
13,60104,24012,36092,16871,14199,0.84162,7,19,27,50,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,606849,437733
