t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60590,24115,36475,17201,17201,1.00000,11,19,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542133,542133
2,60017,23772,36245,15387,15387,1.00000,9,19,23,62,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,549828,549828
3,60604,24170,36434,16936,16936,1.00000,5,16,19,54,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,573216,573216
4,60095,24017,36078,15134,15134,1.00000,9,18,22,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573218,573218
5,60605,24315,36290,17124,17124,1.00000,9,17,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573216,573216
6,60618,24182,36436,15581,15581,1.00000,11,18,22,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573218,573218
7,60115,24076,36039,17111,17111,1.00000,10,18,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573218,573218
8,60286,24213,36073,15706,15706,1.00000,12,19,23,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,573218,573218
9,60613,24277,36336,17413,17413,1.00000,10,19,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573218,573218
10,60568,24315,36253,15909,15909,1.00000,6,15,20,48,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,581044,581044
11,60596,24229,36367,16986,16986,1.00000,5,16,20,56,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,610089,610089
12,60510,24061,36449,15356,15356,1.00000,10,18,21,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610089,610089
13,60306,24105,36201,16849,16849,1.00000,9,17,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610088,610088
14,60023,24022,36001,15551,15551,1.00000,11,19,22,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610087,610087
15,60114,24111,36003,17156,17156,1.00000,10,18,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610088,610088
16,60068,23977,36091,15526,15526,1.00000,11,19,22,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,610089,610089
17,60618,24393,36225,17504,17504,1.00000,10,19,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610089,610089
18,60112,24233,35879,15947,15947,1.00000,9,18,22,50,0,31,9,0,0,0,0,0,0,0,0,0,0,0,0,622219,622219
19,60609,24312,36297,17143,17143,1.00000,5,16,20,56,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,652326,652326
20,60612,24027,36585,15202,15202,1.00000,10,18,21,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,652326,652326
21,60605,24196,36409,17011,17011,1.00000,10,19,22,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652326,652326
22,60168,23963,36205,15408,15408,1.00000,9,19,23,66,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,652325,652325
23,60607,24269,36338,17294,17294,1.00000,9,18,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652324,652324
24,60127,24027,36100,15775,15775,1.00000,11,19,23,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,652326,652326
25,60040,23977,36063,17135,17135,1.00000,11,19,23,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652326,652326
26,60338,24359,35979,15863,15863,1.00000,9,18,22,51,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,662516,662516
27,60614,24305,36309,17002,17002,1.00000,4,14,18,58,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,699727,699727
28,60470,24133,36337,15383,15383,1.00000,10,18,21,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699726,699726
29,60306,24053,36253,16916,16916,1.00000,10,18,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699726,699726
30,60549,24027,36522,15407,15407,1.00000,11,18,22,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699727,699727
31,60596,24377,36219,17212,17212,1.00000,8,18,22,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699727,699727
32,60103,24013,36090,15669,15669,1.00000,9,20,23,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,699727,699727
33,60601,24244,36357,17315,17315,1.00000,11,20,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699727,699727
