t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60438,24004,36434,17041,11939,0.70060,11,26,34,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,543074,308931
2,60618,24317,36301,16036,11681,0.72842,9,24,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543075,308932
3,60265,24228,36037,16977,10227,0.60240,6,20,30,56,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,574312,323779
4,60162,24194,35968,15660,9841,0.62842,12,27,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574312,323780
5,60608,24189,36419,16830,11270,0.66964,7,22,30,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574313,323780
6,60015,23909,36106,15664,11100,0.70863,12,27,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574312,323780
7,60028,24122,35906,16795,11865,0.70646,11,26,33,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574313,323780
8,60012,23958,36054,15889,11689,0.73567,13,28,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574310,323778
9,60151,24220,35931,17071,12332,0.72239,11,26,33,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,574313,323780
10,60154,24027,36127,16001,11871,0.74189,9,23,31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574313,323780
11,60618,24117,36501,16760,10623,0.63383,5,20,29,56,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,611342,340824
12,60605,24211,36394,15752,9908,0.62900,11,25,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611342,340824
13,60385,24037,36348,16729,11309,0.67601,6,21,28,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611341,340823
14,60228,23869,36359,15734,11189,0.71114,12,26,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611341,340823
15,60438,24177,36261,16789,11980,0.71356,10,24,31,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611341,340824
16,60398,24291,36107,15871,11782,0.74236,12,26,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611342,340824
17,60013,23957,36056,16635,12291,0.73886,11,27,34,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,611341,340823
18,60007,24169,35838,16176,12288,0.75964,11,26,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611342,340824
19,60612,24219,36393,16972,11045,0.65078,5,22,33,72,0,146,9,0,0,0,0,0,0,0,0,0,0,0,0,653790,359630
